,Provincia di TARANTO,
,TAR v.Alto Adige,
Parm,SO2,NO2



01/01/2005 1.00,"2,155577",
01/01/2005 2.00,"3,252903",
01/01/2005 3.00,"3,226354",
01/01/2005 4.00,"3,196366",
01/01/2005 5.00,"2,454252",
01/01/2005 6.00,"2,561563",
01/01/2005 7.00,"2,221874",
01/01/2005 8.00,"2,302812",
01/01/2005 9.00,"1,877013",
01/01/2005 10.00,"2,168925",
01/01/2005 11.00,"2,075639",
01/01/2005 12.00,"2,42788",
01/01/2005 13.00,"3,083471",
01/01/2005 14.00,"3,342808",
01/01/2005 15.00,"3,468022",
01/01/2005 16.00,"3,478635",
01/01/2005 17.00,"2,690334",
01/01/2005 18.00,"1,864106",
01/01/2005 19.00,"1,594626",
01/01/2005 20.00,"1,885863",
01/01/2005 21.00,"2,829749",
01/01/2005 22.00,"2,850799",
01/01/2005 23.00,"2,646293",
02/01/2005 0.00,"2,449019",
02/01/2005 1.00,,
02/01/2005 2.00,"2,614988",
02/01/2005 3.00,"4,213267",
02/01/2005 4.00,"5,270516",
02/01/2005 5.00,"4,905285",
02/01/2005 6.00,"6,519992",
02/01/2005 7.00,"7,451418",
02/01/2005 8.00,"7,701313",
02/01/2005 9.00,"7,933734",
02/01/2005 10.00,"8,503425",
02/01/2005 11.00,"13,385987",
02/01/2005 12.00,"13,903254",
02/01/2005 13.00,"8,963022",
02/01/2005 14.00,"5,693415",
02/01/2005 15.00,"4,159095",
02/01/2005 16.00,"2,810243",
02/01/2005 17.00,"2,326997",
02/01/2005 18.00,"1,881438",
02/01/2005 19.00,"2,324725",
02/01/2005 20.00,"4,097931",
02/01/2005 21.00,"3,626101",
02/01/2005 22.00,"3,689012",
02/01/2005 23.00,"3,489795",
03/01/2005 0.00,"3,17029",
03/01/2005 1.00,"3,591209",
03/01/2005 2.00,"3,391992",
03/01/2005 3.00,"3,114253",
03/01/2005 4.00,"2,99717",
03/01/2005 5.00,"2,83634",
03/01/2005 6.00,"2,986685",
03/01/2005 7.00,"3,288888",
03/01/2005 8.00,"3,982595",
03/01/2005 9.00,"5,191877",
03/01/2005 10.00,"5,083531",
03/01/2005 11.00,"3,240016",
03/01/2005 12.00,"2,986568",
03/01/2005 13.00,"2,600774",
03/01/2005 14.00,"2,717567","67,812499"
03/01/2005 15.00,"1,739714","48,652023"
03/01/2005 16.00,"1,324445","49,594278"
03/01/2005 17.00,"0,967718","59,609945"
03/01/2005 18.00,"0,707513","69,822913"
03/01/2005 19.00,"0,818946","59,238768"
03/01/2005 20.00,"0,950767","60,91043"
03/01/2005 21.00,"1,113636","59,868236"
03/01/2005 22.00,"1,265437","39,43842"
03/01/2005 23.00,"1,018862","24,630996"
04/01/2005 0.00,"1,082297","20,146858"
04/01/2005 1.00,,"15,092945"
04/01/2005 2.00,"0,836219",
04/01/2005 3.00,"0,993605","7,029275"
04/01/2005 4.00,"0,902016","5,648339"
04/01/2005 5.00,"0,978473","5,640551"
04/01/2005 6.00,"0,834384","8,738574"
04/01/2005 7.00,"1,669914","28,210527"
04/01/2005 8.00,"1,638392","38,450739"
04/01/2005 9.00,"1,350215","50,566375"
04/01/2005 10.00,"7,151003","68,794982"
04/01/2005 11.00,"19,333282","75,933298"
04/01/2005 12.00,"14,41571","52,633899"
04/01/2005 13.00,"6,293121","41,402103"
04/01/2005 14.00,"3,301311","42,141892"
04/01/2005 15.00,"1,304249","27,472303"
04/01/2005 16.00,"1,170248","39,535761"
04/01/2005 17.00,"1,037737","61,8358"
04/01/2005 18.00,"0,969646","83,322073"
04/01/2005 19.00,"1,687797","94,321535"
04/01/2005 20.00,"1,469544","83,427211"
04/01/2005 21.00,"4,587446","94,967888"
04/01/2005 22.00,"5,710234","80,081284"
04/01/2005 23.00,"8,80521","75,323297"
05/01/2005 0.00,"21,776594","78,268158"
05/01/2005 1.00,"73,696549","65,552918"
05/01/2005 2.00,"21,42583","56,340616"
05/01/2005 3.00,"11,136759","63,371189"
05/01/2005 4.00,"10,338943","64,330311"
05/01/2005 5.00,"14,589373","57,692992"
05/01/2005 6.00,"15,395782","61,415296"
05/01/2005 7.00,"21,764551","82,738051"
05/01/2005 8.00,"18,831208","90,604439"
05/01/2005 9.00,"15,6451","87,470081"
05/01/2005 10.00,"19,187128","71,366085"
05/01/2005 11.00,"34,104911","81,845091"
05/01/2005 12.00,"24,36261","78,025467"
05/01/2005 13.00,"10,125734","65,690484"
05/01/2005 14.00,"6,667957","71,671071"
05/01/2005 15.00,"4,470524","56,478182"
05/01/2005 16.00,"3,78963","83,821749"
05/01/2005 17.00,"7,587853","107,625982"
05/01/2005 18.00,"11,626791","111,496268"
05/01/2005 19.00,"11,233039","119,938895"
05/01/2005 20.00,"7,720249","109,683142"
05/01/2005 21.00,"5,072325","93,163843"
05/01/2005 22.00,"4,289984","93,279346"
05/01/2005 23.00,"3,413074","87,271517"
06/01/2005 0.00,"4,102566","88,317594"
06/01/2005 1.00,,"86,418803"
06/01/2005 2.00,"1,626507",
06/01/2005 3.00,"1,190007","70,416051"
