,Provincia di TARANTO,,,
,TAR v.Alto Adige,,,
Parm,SO2,NOX,NO,NO2
,,,,,,
,,,,,,
,,,,,,,
,,,,,,
,,,,,
01/01/2006 1.00,"2,192936","141,223643","67,735217","37,392981"
01/01/2006 2.00,"3,97858","310,520274","176,050839","41,141229"
01/01/2006 3.00,"3,436671","235,841558","118,892731","53,599516"
01/01/2006 4.00,"1,978001","134,898326","54,306763","51,66698"
01/01/2006 5.00,"1,852242","136,977381","54,239937","53,850007"
01/01/2006 6.00,"0,913188","50,642952","6,448196","41,528006"
01/01/2006 7.00,"0,620796","26,140518","0,871263","27,163152"
01/01/2006 8.00,"0,494608","30,001612","2,037741","28,803667"
01/01/2006 9.00,"0,40872","50,015223","6,937964","39,633099"
01/01/2006 10.00,"0,500752","37,570762","5,049943","29,884789"
01/01/2006 11.00,"0,241802","22,699646","1,098807","21,126757"
01/01/2006 12.00,"0,09975","33,103946","5,577777","24,576485"
01/01/2006 13.00,"0,011004","35,664192","8,337905","22,895741"
01/01/2006 14.00,"0,019436","39,990914","11,419467","22,505081"
01/01/2006 15.00,"0,002","25,265052","7,524163","13,737974"
01/01/2006 16.00,"0,001001","21,87347","6,956573","11,214912"
01/01/2006 17.00,0,"25,272834","8,109516","12,847634"
01/01/2006 18.00,"0,008003","37,553877","10,910237","20,83992"
01/01/2006 19.00,"0,008003","58,164111","12,215447","39,461785"
01/01/2006 20.00,"0,02601","51,330354","10,785049","34,817999"
01/01/2006 21.00,"0,053591","52,386084","10,686081","36,026324"
01/01/2006 22.00,"0,047017","49,690985","8,981626","36,019822"
01/01/2006 23.00,"0,02801","41,83521","7,59268","30,214437"
02/01/2006 0.00,"0,020007","26,556837","5,589619","17,998888"
02/01/2006 1.00,,"17,586977","3,866549","11,66657"
02/01/2006 2.00,"0,567549",,,
02/01/2006 3.00,"0,429102","12,8608","3,89277","6,896894"
02/01/2006 4.00,"0,417979","14,642843","4,869771","7,181128"
02/01/2006 5.00,"0,327241","12,133198","4,285262","5,566574"
02/01/2006 6.00,"0,389586","12,102071","3,865704","6,179169"
02/01/2006 7.00,"0,729707","12,50543","1,602109","10,064999"
02/01/2006 8.00,"0,940159","29,167654","2,480985","25,396751"
02/01/2006 9.00,"0,91645","38,36967","2,846409","34,115852"
02/01/2006 10.00,"0,900937","46,733886","6,685042","36,509123"
02/01/2006 11.00,"0,90445","43,905159","7,415889","32,557115"
02/01/2006 12.00,"0,622578","45,920674","10,101579","30,453264"
02/01/2006 13.00,"0,396612","48,192972","12,571555","28,937335"
02/01/2006 14.00,"0,464811","46,300665","11,493058","28,698545"
02/01/2006 15.00,"0,288311","33,360746","7,787233","21,435642"
02/01/2006 16.00,"0,286556","50,606644","11,435536","33,158018"
02/01/2006 17.00,"0,443736","76,751046","19,647408","46,658498"
02/01/2006 18.00,"0,81898","95,738752","23,835382","59,233568"
02/01/2006 19.00,"1,291694","133,707688","42,140383","69,142834"
02/01/2006 20.00,"1,088851","96,655709","23,054622","61,349098"
02/01/2006 21.00,"1,781676","187,743538","77,199847","69,423167"
02/01/2006 22.00,"2,340737","179,776235","70,096089","72,456289"
02/01/2006 23.00,"2,132626","126,812982","43,364374","60,365317"
03/01/2006 0.00,"1,954956","73,919755","14,691355","51,429472"
03/01/2006 1.00,"1,875927","61,182182","8,4521","48,376868"
03/01/2006 2.00,"2,379666","105,849981","32,698584","55,752674"
03/01/2006 3.00,"2,16336","42,700294","2,713604","41,542273"
03/01/2006 4.00,"2,22834","10,445833","0,274914","17,383694"
03/01/2006 5.00,"2,002373","0,568074",0,"9,539359"
03/01/2006 6.00,"1,878561","3,259296",0,"12,436204"
03/01/2006 7.00,"1,867438","47,654726","3,540881","47,90575"
03/01/2006 8.00,"2,40074","121,740519","34,628055","68,835229"
03/01/2006 9.00,"3,413782","235,996053","104,856951","75,273984"
03/01/2006 10.00,"2,959216","132,875054","44,334616","64,942916"
03/01/2006 11.00,"2,08111","67,42322","13,652592","47,11535"
03/01/2006 12.00,"1,66606","51,469128","10,498299","35,396856"
03/01/2006 13.00,"1,08007","53,817962","12,598628","34,524679"
03/01/2006 14.00,"0,835372","65,560758","16,787463","39,848544"
03/01/2006 15.00,"0,878984","65,656722","15,352839","42,145794"
03/01/2006 16.00,"0,64131","69,049605","16,671567","43,517633"
03/01/2006 17.00,"1,014505","99,19391","31,198829","51,393124"
03/01/2006 18.00,"1,709087","155,767939","50,853856","77,848952"
03/01/2006 19.00,"1,597275","122,050472","36,829894","65,625578"
03/01/2006 20.00,"1,676011","119,67053","36,596432","63,602203"
03/01/2006 21.00,"1,928905","112,321893","34,216108","59,990223"
03/01/2006 22.00,"1,987153","61,625748","7,744938","49,964171"
03/01/2006 23.00,"2,015252","19,886502","0,178482","23,783501"
04/01/2006 0.00,"1,858657","21,214614","0,387417","25,703053"
04/01/2006 1.00,,"17,059108","0,230081","23,440852"
04/01/2006 2.00,"0,756184",,,
04/01/2006 3.00,"0,583347","13,590997",0,"22,634887"
04/01/2006 4.00,"0,700291","1,516162",0,"11,161692"
04/01/2006 5.00,"0,668475","3,337115",0,"13,787288"
04/01/2006 6.00,"0,630641","7,632696",0,"17,826272"
04/01/2006 7.00,"0,675527","30,851133","0,227544","36,677856"
04/01/2006 8.00,"0,806057","55,925539","4,742887","50,426227"
04/01/2006 9.00,"1,667835","174,913889","75,03946","59,899384"
04/01/2006 10.00,"1,339358","90,741532","22,950586","55,590441"
04/01/2006 11.00,"1,033239","65,551678","13,218662","45,376196"
04/01/2006 12.00,"0,355993","48,202035","8,137431","36,300181"
04/01/2006 13.00,"0,204309","43,294275","8,179725","30,836123"
04/01/2006 14.00,"0,112645","50,249978","12,514879","31,082734"
04/01/2006 15.00,"0,040415","45,432999","9,651568","30,655728"
04/01/2006 16.00,"0,068963","68,965305","16,434724","43,796672"
04/01/2006 17.00,"0,157359","109,883573","28,975841","65,500987"
04/01/2006 18.00,"0,536053","165,413523","54,499623","81,907401"
04/01/2006 19.00,"0,452472","89,393955","20,917913","57,360742"
04/01/2006 20.00,"0,456771","92,836144","22,575015","58,262769"
04/01/2006 21.00,"0,491855","77,574636","13,181439","57,403574"
04/01/2006 22.00,"0,763235","46,357738","2,404856","44,620838"
04/01/2006 23.00,"0,776821","28,311653","0,144647","35,281353"
05/01/2006 0.00,"0,846988","32,849764","0,341739","39,38391"
05/01/2006 1.00,"1,327664","61,339099","6,393212","54,219903"
05/01/2006 2.00,"1,55089","65,86945","6,861833","58,469129"
05/01/2006 3.00,"1,557082","30,770713","1,131797","38,65062"
05/01/2006 4.00,"1,559145","9,92445",0,"24,136514"
05/01/2006 5.00,"1,571185","8,235789",0,"22,141687"
05/01/2006 6.00,"1,751932","5,715767",0,"20,5479"
05/01/2006 7.00,"1,733358","20,912405","3,435993","27,083977"
05/01/2006 8.00,"1,788048","74,745928","15,4315","52,617014"
05/01/2006 9.00,"2,263049","116,316573","37,791669","58,41202"
05/01/2006 10.00,"2,073702","117,776962","41,450143","54,260132"
05/01/2006 11.00,"2,135613","75,12466","19,408008","45,764254"
05/01/2006 12.00,"1,338327","68,644965","16,445722","43,778507"
05/01/2006 13.00,"0,961697","48,325243","7,361753","38,923174"
05/01/2006 14.00,"0,694616","72,292049","16,233408","47,512492"
05/01/2006 15.00,"0,406726","51,161753","7,743247","39,692813"
05/01/2006 16.00,"0,396923","63,117259","12,441301","44,327519"
05/01/2006 17.00,"0,482569","71,502185","14,683737","49,108879"
05/01/2006 18.00,"0,525047","81,769032","17,160491","55,495703"
05/01/2006 19.00,"1,111317","131,639019","45,903726","61,298487"
05/01/2006 20.00,"1,702059","142,044636","53,827141","59,554151"
05/01/2006 21.00,"1,955037","104,952469","28,592661","61,15572"
