,Provincia di TARANTO,,,,,
,TAR v.Alto Adige,,,,,
Parm,SO2,NOX,NO,NO2,PM10,PM2.5
,,,,,,
,,,,,,
,,,,,,
,,,,,,,,
,,,,,,
01/01/2008 1.00,"1,213537","85,091896","19,181317","55,720228",,
01/01/2008 2.00,"2,60541","87,513347","19,371646","57,851346",,
01/01/2008 3.00,"1,168794","56,279604","14,237112","34,474068",,
01/01/2008 4.00,"5,182944","61,022625","13,080781","40,994578",,
01/01/2008 5.00,"5,35918","42,998584","10,105809","27,522666",,
01/01/2008 6.00,"4,455471","55,762102","9,292912","41,542273",,
01/01/2008 7.00,"6,163792","38,461771","7,022551","27,713445",,
01/01/2008 8.00,"4,504032","32,617609","5,697893","23,897705",,
01/01/2008 9.00,"3,366106","29,157273","5,587083","20,605012",,
01/01/2008 10.00,"6,552541","42,971357","9,1618","28,943836",,
01/01/2008 11.00,"8,890193","37,016951","8,957942","23,298101",,
01/01/2008 12.00,"11,798044","39,015582","12,058956","20,540118",,
01/01/2008 13.00,"8,729678","48,453675","17,920101","20,991771",,
01/01/2008 14.00,"6,739024","50,954225","21,090485","18,629653",,
01/01/2008 15.00,"10,303003","53,960616","21,053262","21,695216",,
01/01/2008 16.00,"8,004114","46,578249","18,06474","18,893123",,
01/01/2008 17.00,"5,942813","46,202102","17,007396","20,139057",,
01/01/2008 18.00,"11,234778","70,272672","15,180279","47,029674",,
01/01/2008 19.00,"9,607992","48,047718","10,14472","32,515585",,
01/01/2008 20.00,"9,264304","54,568899","9,006156","40,788217",,
01/01/2008 21.00,"8,689581","44,008922","7,322841","32,803704",,
01/01/2008 22.00,"8,899613","53,181131","5,988032","44,0303",,
01/01/2008 23.00,"8,474649","36,092194","3,670302","30,485712",,
02/01/2008 0.00,"7,442248","30,026258","2,362561","26,422061",,
02/01/2008 1.00,"40,595295","1,70277","38,010769",,,
02/01/2008 2.00,"1,363576",,,,,
02/01/2008 3.00,"1,760879","17,148598","0,044832","18,113097",,
02/01/2008 4.00,"2,049522","10,754514","0,003383","12,489423",,
02/01/2008 5.00,"1,934137","20,815141","0,099815","22,525864",,
02/01/2008 6.00,"1,283938","34,954763","0,081205","36,222302",,
02/01/2008 7.00,"1,799283","38,338562","0,323974","38,779105",,
02/01/2008 8.00,"2,589821","39,049312","3,71598","33,605789",,
02/01/2008 9.00,"2,154468","68,18714","13,886068","46,928452",,
02/01/2008 10.00,"3,97304","76,293235","16,965946","50,314604",,
02/01/2008 11.00,"10,986468","53,439233","11,039663","36,537689",,
02/01/2008 12.00,"8,388514","46,482267","9,014615","32,683001",,
02/01/2008 13.00,"9,33001","56,699823","13,603535","35,878353",,
02/01/2008 14.00,"6,503754","55,646693","14,13053","34,004229",,
