"NetC","","","","","","","",""
"Stat","TAR v.Alto Adige","","","","","","",""
,SO2,NO2,NOX,PM10,BENZENE,PM2.5
,,,,,
,,,,
,,,,,,
,,,,,,,,,
,,,,,,,,
01/01/2012 1.00,"11,711324","48,751965","61,55311","30,9","1,428975","20,200001"
01/01/2012 2.00,"10,247861","50,872678","68,44654","30,9","1,812892","20,200001"
01/01/2012 3.00,"8,131952","52,589768","68,865461","30,9","2,077378","20,200001"
01/01/2012 4.00,"5,961366","50,764957","67,816175","30,9","1,616224","20,200001"
01/01/2012 5.00,"4,20084","38,46502","45,941421","30,9","1,120448","20,200001"
01/01/2012 6.00,"3,62311","31,290375","37,13884","30,9","1,459063","20,200001"
01/01/2012 7.00,"3,30053","34,988029","41,62766","30,9","0,796855","20,200001"
01/01/2012 8.00,"3,395148","32,389681","39,012982","30,9","0,919218","20,200001"
01/01/2012 9.00,"3,236439","40,845309","57,750372","30,9","1,172226","20,200001"
01/01/2012 10.00,"5,793697","32,869898","48,048998","30,9","1,350653","20,200001"
01/01/2012 11.00,"6,453438","29,320213","43,453832","30,9","1,25262","20,200001"
01/01/2012 12.00,"4,70567","26,015838","37,286694","30,9","0,957393","20,200001"
01/01/2012 13.00,"3,635868","21,421359","31,189634","30,9","0,83848","20,200001"
01/01/2012 14.00,"3,276838","20,311672","29,144309","30,9","0,732755","20,200001"
01/01/2012 15.00,"3,18389","12,070209","16,278328","30,9","0,574576","20,200001"
01/01/2012 16.00,"3,004983","12,071502","15,191463","30,9","0,401557","20,200001"
01/01/2012 17.00,"2,708069","20,219534","23,796885","30,9","0,473286","20,200001"
01/01/2012 18.00,"2,440922","33,760241","39,162138","30,9","0,550099","20,200001"
01/01/2012 19.00,"2,589606","52,802613","68,551584","30,9","0,707304","20,200001"
01/01/2012 20.00,"2,775652","65,36862","101,384485","30,9","1,060541","20,200001"
01/01/2012 21.00,"3,296885","89,603773","181,444129","30,9","2,495699","20,200001"
01/01/2012 22.00,"3,83619","96,455235","215,4975","30,9","2,286021","20,200001"
01/01/2012 23.00,"3,08335","63,280332","87,706593","30,9","2,383248","20,200001"
02/01/2012 0.00,"3,35156","71,565947","129,674111","30,9","1,571277","20,200001"
02/01/2012 1.00,,"69,786561","147,626841","28,4","2,620101","18,29999"
02/01/2012 2.00,"0,708178",,,"28,4","1,392633","18,29999"
02/01/2012 3.00,"0,735591","41,532922","48,378743","28,4","1,069445","18,29999"
02/01/2012 4.00,"0,651501","30,352024","35,1921","28,4","1,038976","18,29999"
02/01/2012 5.00,"0,761938","31,54867","36,67325","28,4","0,834626","18,29999"
02/01/2012 6.00,"0,716743","29,60185","38,955908","28,4","0,703638","18,29999"
02/01/2012 7.00,"1,016707","51,165998","131,069644","28,4","0,777347","18,29999"
02/01/2012 8.00,"0,928686","53,583933","142,227519","28,4","1,198819","18,29999"
02/01/2012 9.00,"12,929253","67,109058","204,95148","28,4","2,40956","18,29999"
02/01/2012 10.00,"5,270945","66,515934","172,39905","28,4","3,139311","18,29999"
02/01/2012 11.00,"0,73442","66,671669","133,410674","28,4","2,595783","18,29999"
02/01/2012 12.00,"0,646581","61,969486","109,126136","28,4","2,322246","18,29999"
