,Provincia di TARANTO
Stazione,TAR v.Alto Adige
,IPA TOT
Unit,ng/m3
10/24/13 16:00,14
10/24/13 17:00,19
10/24/13 18:00,35
10/24/13 19:00,41
10/24/13 20:00,36
10/24/13 21:00,22
10/24/13 22:00,12
10/24/13 23:00,11
10/25/13 0:00,7
10/25/13 1:00,4
10/25/13 2:00,2
10/25/13 3:00,2
10/25/13 4:00,2
10/25/13 5:00,5
10/25/13 6:00,16
10/25/13 7:00,52
10/25/13 8:00,93
10/25/13 9:00,37
10/25/13 10:00,36
10/25/13 11:00,16
10/25/13 12:00,14
10/25/13 13:00,20
10/25/13 14:00,9
10/25/13 15:00,14
10/25/13 16:00,14
10/25/13 17:00,32
10/25/13 18:00,40
10/25/13 19:00,29
10/25/13 20:00,51
10/25/13 21:00,61
10/25/13 22:00,38
10/25/13 23:00,20
10/26/13 0:00,24
10/26/13 1:00,14
10/26/13 2:00,3
10/26/13 3:00,2
10/26/13 4:00,3
10/26/13 5:00,4
10/26/13 6:00,14
10/26/13 7:00,19
10/26/13 8:00,33
10/26/13 9:00,18
10/26/13 10:00,11
10/26/13 11:00,16
10/26/13 12:00,16
10/26/13 13:00,12
10/26/13 14:00,6
10/26/13 15:00,5
10/26/13 16:00,10
10/26/13 17:00,15
10/26/13 18:00,50
10/26/13 19:00,75
10/26/13 20:00,31
10/26/13 21:00,27
10/26/13 22:00,19
10/26/13 23:00,26
10/27/13 0:00,39
10/27/13 1:00,32
10/27/13 2:00,40
10/27/13 3:00,17
10/27/13 4:00,3
10/27/13 5:00,3
10/27/13 6:00,3
10/27/13 7:00,7
10/27/13 8:00,9
10/27/13 9:00,10
10/27/13 10:00,13
10/27/13 11:00,7
10/27/13 12:00,9
10/27/13 13:00,14
10/27/13 14:00,9
10/27/13 15:00,4
10/27/13 16:00,3
10/27/13 17:00,7
10/27/13 18:00,20
10/27/13 19:00,34
10/27/13 20:00,48
10/27/13 21:00,48
10/27/13 22:00,31
10/27/13 23:00,34
10/28/13 0:00,25
10/28/13 1:00,46
10/28/13 2:00,39
10/28/13 3:00,8
10/28/13 4:00,6
10/28/13 5:00,12
10/28/13 6:00,13
10/28/13 7:00,42
10/28/13 8:00,139
10/28/13 9:00,109
10/28/13 10:00,20
10/28/13 11:00,13
10/28/13 12:00,14
10/28/13 13:00,18
10/28/13 14:00,15
10/28/13 15:00,11
10/28/13 16:00,12
10/28/13 17:00,37
10/28/13 18:00,39
10/28/13 19:00,33
10/28/13 20:00,25
10/28/13 21:00,17
10/28/13 22:00,17
10/28/13 23:00,11
10/29/13 0:00,14
10/29/13 1:00,8
10/29/13 2:00,14
10/29/13 3:00,9
10/29/13 4:00,11
10/29/13 5:00,8
10/29/13 6:00,5
10/29/13 7:00,27
10/29/13 8:00,98
10/29/13 9:00,60
10/29/13 10:00,20
10/29/13 11:00,13
10/29/13 12:00,10
10/29/13 13:00,11
10/29/13 14:00,15
10/29/13 15:00,12
10/29/13 16:00,13
10/29/13 17:00,26
10/29/13 18:00,43
10/29/13 19:00,61
10/29/13 20:00,80
10/29/13 21:00,66
10/29/13 22:00,42
10/29/13 23:00,21
10/30/13 0:00,13
10/30/13 1:00,14
10/30/13 2:00,11
10/30/13 3:00,7
10/30/13 4:00,3
10/30/13 5:00,4
10/30/13 6:00,12
10/30/13 7:00,32
10/30/13 8:00,39
10/30/13 9:00,46
10/30/13 10:00,19
10/30/13 11:00,15
10/30/13 12:00,12
10/30/13 13:00,14
10/30/13 14:00,15
10/30/13 15:00,7
10/30/13 16:00,9
10/30/13 17:00,14
10/30/13 18:00,38
10/30/13 19:00,47
10/30/13 20:00,46
10/30/13 21:00,40
10/30/13 22:00,26
10/30/13 23:00,13
10/31/13 0:00,13
10/31/13 1:00,12
10/31/13 2:00,7
10/31/13 3:00,5
10/31/13 4:00,3
10/31/13 5:00,3
10/31/13 6:00,4
10/31/13 7:00,13
10/31/13 8:00,19
10/31/13 9:00,31
10/31/13 10:00,30
10/31/13 11:00,31
10/31/13 12:00,21
10/31/13 13:00,14
10/31/13 14:00,13
10/31/13 15:00,7
10/31/13 16:00,10
10/31/13 17:00,21
10/31/13 18:00,22
10/31/13 19:00,22
10/31/13 20:00,33
10/31/13 21:00,42
10/31/13 22:00,31
10/31/13 23:00,28
11/1/13 0:00,23
11/1/13 1:00,32
11/1/13 2:00,27
11/1/13 3:00,11
11/1/13 4:00,4
11/1/13 5:00,12
11/1/13 6:00,12
11/1/13 7:00,13
11/1/13 8:00,17
11/1/13 9:00,12
11/1/13 10:00,8
11/1/13 11:00,8
11/1/13 12:00,7
11/1/13 13:00,5
11/1/13 14:00,6
11/1/13 15:00,3
11/1/13 16:00,5
11/1/13 17:00,11
11/1/13 18:00,17
11/1/13 19:00,27
11/1/13 20:00,13
11/1/13 21:00,14
11/1/13 22:00,11
11/1/13 23:00,15
11/2/13 0:00,11
11/2/13 1:00,8
11/2/13 2:00,8
11/2/13 3:00,6
11/2/13 4:00,6
11/2/13 5:00,4
11/2/13 6:00,5
11/2/13 7:00,8
11/2/13 8:00,21
11/2/13 9:00,22
11/2/13 10:00,17
11/2/13 11:00,13
11/2/13 12:00,11
11/2/13 13:00,11
11/2/13 14:00,7
11/2/13 15:00,3
11/2/13 16:00,5
11/2/13 17:00,11
11/2/13 18:00,22
11/2/13 19:00,50
11/2/13 20:00,67
11/2/13 21:00,74
11/2/13 22:00,73
11/2/13 23:00,65
11/3/13 0:00,55
11/3/13 1:00,48
11/3/13 2:00,29
11/3/13 3:00,43
11/3/13 4:00,20
11/3/13 5:00,37
11/3/13 6:00,21
11/3/13 7:00,18
11/3/13 8:00,16
11/3/13 9:00,21
11/3/13 10:00,14
11/3/13 11:00,9
11/3/13 12:00,9
11/3/13 13:00,7
11/3/13 14:00,7
11/3/13 15:00,3
11/3/13 16:00,3
11/3/13 17:00,4
11/3/13 18:00,8
11/3/13 19:00,12
11/3/13 20:00,15
11/3/13 21:00,19
11/3/13 22:00,20
11/3/13 23:00,15
11/4/13 0:00,38
11/4/13 1:00,47
11/4/13 2:00,25
11/4/13 3:00,13
11/4/13 4:00,8
11/4/13 5:00,5
11/4/13 6:00,11
11/4/13 7:00,37
11/4/13 8:00,60
11/4/13 9:00,64
11/4/13 10:00,20
11/4/13 11:00,14
11/4/13 12:00,11
11/4/13 13:00,15
11/4/13 14:00,11
11/4/13 15:00,11
11/4/13 16:00,10
11/4/13 17:00,17
11/4/13 18:00,
11/4/13 19:00,
11/4/13 20:00,
11/4/13 21:00,
11/4/13 22:00,
11/4/13 23:00,
11/5/13 0:00,
11/5/13 1:00,
11/5/13 2:00,
11/5/13 3:00,
11/5/13 4:00,
11/5/13 5:00,
11/5/13 6:00,
11/5/13 7:00,
11/5/13 8:00,
11/5/13 9:00,
11/5/13 10:00,14
11/5/13 11:00,14
11/5/13 12:00,21
11/5/13 13:00,16
11/5/13 14:00,16
11/5/13 15:00,13
11/5/13 16:00,14
11/5/13 17:00,18
11/5/13 18:00,30
11/5/13 19:00,44
11/5/13 20:00,32
11/5/13 21:00,27
11/5/13 22:00,10
11/5/13 23:00,4
11/6/13 0:00,5
11/6/13 1:00,3
11/6/13 2:00,2
11/6/13 3:00,2
11/6/13 4:00,1
11/6/13 5:00,2
11/6/13 6:00,3
11/6/13 7:00,7
11/6/13 8:00,20
11/6/13 9:00,16
11/6/13 10:00,10
11/6/13 11:00,10
11/6/13 12:00,9
11/6/13 13:00,9
11/6/13 14:00,10
11/6/13 15:00,9
11/6/13 16:00,10
11/6/13 17:00,16
11/6/13 18:00,21
11/6/13 19:00,15
11/6/13 20:00,11
11/6/13 21:00,12
11/6/13 22:00,7
11/6/13 23:00,6
11/7/13 0:00,8
11/7/13 1:00,8
11/7/13 2:00,3
11/7/13 3:00,2
11/7/13 4:00,2
11/7/13 5:00,2
11/7/13 6:00,4
11/7/13 7:00,24
11/7/13 8:00,36
11/7/13 9:00,25
11/7/13 10:00,28
11/7/13 11:00,19
11/7/13 12:00,12
11/7/13 13:00,15
11/7/13 14:00,23
11/7/13 15:00,37
11/7/13 16:00,151
11/7/13 17:00,124
11/7/13 18:00,44
11/7/13 19:00,47
11/7/13 20:00,35
11/7/13 21:00,32
11/7/13 22:00,27
11/7/13 23:00,34
11/8/13 0:00,31
11/8/13 1:00,16
11/8/13 2:00,10
11/8/13 3:00,16
11/8/13 4:00,6
11/8/13 5:00,4
11/8/13 6:00,8
11/8/13 7:00,20
11/8/13 8:00,118
11/8/13 9:00,77
11/8/13 10:00,28
11/8/13 11:00,17
11/8/13 12:00,15
11/8/13 13:00,21
11/8/13 14:00,18
11/8/13 15:00,14
11/8/13 16:00,14
11/8/13 17:00,21
11/8/13 18:00,67
11/8/13 19:00,60
11/8/13 20:00,52
11/8/13 21:00,67
11/8/13 22:00,42
11/8/13 23:00,36
11/9/13 0:00,31
11/9/13 1:00,42
11/9/13 2:00,13
11/9/13 3:00,8
11/9/13 4:00,4
11/9/13 5:00,5
11/9/13 6:00,5
11/9/13 7:00,16
11/9/13 8:00,51
11/9/13 9:00,28
11/9/13 10:00,28
11/9/13 11:00,23
11/9/13 12:00,13
11/9/13 13:00,15
11/9/13 14:00,13
11/9/13 15:00,9
11/9/13 16:00,7
11/9/13 17:00,18
11/9/13 18:00,34
11/9/13 19:00,60
11/9/13 20:00,59
11/9/13 21:00,63
11/9/13 22:00,91
11/9/13 23:00,62
11/10/13 0:00,28
11/10/13 1:00,35
11/10/13 2:00,22
11/10/13 3:00,7
11/10/13 4:00,5
11/10/13 5:00,13
11/10/13 6:00,10
11/10/13 7:00,12
11/10/13 8:00,46
11/10/13 9:00,39
11/10/13 10:00,19
11/10/13 11:00,14
11/10/13 12:00,18
11/10/13 13:00,17
11/10/13 14:00,15
11/10/13 15:00,4
11/10/13 16:00,4
11/10/13 17:00,5
11/10/13 18:00,7
11/10/13 19:00,7
11/10/13 20:00,10
11/10/13 21:00,10
11/10/13 22:00,12
11/10/13 23:00,5
11/11/13 0:00,4
11/11/13 1:00,2
11/11/13 2:00,2
11/11/13 3:00,2
11/11/13 4:00,1
11/11/13 5:00,1
11/11/13 6:00,2
11/11/13 7:00,7
11/11/13 8:00,17
11/11/13 9:00,31
11/11/13 10:00,14
11/11/13 11:00,16
11/11/13 12:00,20
11/11/13 13:00,38
11/11/13 14:00,34
11/11/13 15:00,19
11/11/13 16:00,19
11/11/13 17:00,20
11/11/13 18:00,26
11/11/13 19:00,34
11/11/13 20:00,36
11/11/13 21:00,28
11/11/13 22:00,33
11/11/13 23:00,11
11/12/13 0:00,8
11/12/13 1:00,4
11/12/13 2:00,4
11/12/13 3:00,2
11/12/13 4:00,4
11/12/13 5:00,1
11/12/13 6:00,3
11/12/13 7:00,12
11/12/13 8:00,42
11/12/13 9:00,46
11/12/13 10:00,60
11/12/13 11:00,37
11/12/13 12:00,38
11/12/13 13:00,84
11/12/13 14:00,47
11/12/13 15:00,25
11/12/13 16:00,25
11/12/13 17:00,30
11/12/13 18:00,28
11/12/13 19:00,30
11/12/13 20:00,28
11/12/13 21:00,25
11/12/13 22:00,13
11/12/13 23:00,9
11/13/13 0:00,8
11/13/13 1:00,3
11/13/13 2:00,4
11/13/13 3:00,2
11/13/13 4:00,2
11/13/13 5:00,1
11/13/13 6:00,2
11/13/13 7:00,5
11/13/13 8:00,17
11/13/13 9:00,22
11/13/13 10:00,17
11/13/13 11:00,18
11/13/13 12:00,19
11/13/13 13:00,24
11/13/13 14:00,26
11/13/13 15:00,21
11/13/13 16:00,26
11/13/13 17:00,73
11/13/13 18:00,22
11/13/13 19:00,18
11/13/13 20:00,18
11/13/13 21:00,20
11/13/13 22:00,10
11/13/13 23:00,6
11/14/13 0:00,6
11/14/13 1:00,4
11/14/13 2:00,6
11/14/13 3:00,5
11/14/13 4:00,15
11/14/13 5:00,5
11/14/13 6:00,4
11/14/13 7:00,9
11/14/13 8:00,30
11/14/13 9:00,62
11/14/13 10:00,40
11/14/13 11:00,50
11/14/13 12:00,27
11/14/13 13:00,41
11/14/13 14:00,47
11/14/13 15:00,67
11/14/13 16:00,77
11/14/13 17:00,58
11/14/13 18:00,69
11/14/13 19:00,64
11/14/13 20:00,54
11/14/13 21:00,78
11/14/13 22:00,49
11/14/13 23:00,9
11/15/13 0:00,43
11/15/13 1:00,46
11/15/13 2:00,43
11/15/13 3:00,30
11/15/13 4:00,11
11/15/13 5:00,12
11/15/13 6:00,10
11/15/13 7:00,20
11/15/13 8:00,51
11/15/13 9:00,64
11/15/13 10:00,50
11/15/13 11:00,43
11/15/13 12:00,40
11/15/13 13:00,80
11/15/13 14:00,64
11/15/13 15:00,24
11/15/13 16:00,29
11/15/13 17:00,33
11/15/13 18:00,36
11/15/13 19:00,35
11/15/13 20:00,29
11/15/13 21:00,26
11/15/13 22:00,13
11/15/13 23:00,7
11/16/13 0:00,6
11/16/13 1:00,4
11/16/13 2:00,3
11/16/13 3:00,3
11/16/13 4:00,2
11/16/13 5:00,2
11/16/13 6:00,3
11/16/13 7:00,7
11/16/13 8:00,20
11/16/13 9:00,28
11/16/13 10:00,20
11/16/13 11:00,16
11/16/13 12:00,19
11/16/13 13:00,25
11/16/13 14:00,15
11/16/13 15:00,9
11/16/13 16:00,11
11/16/13 17:00,14
11/16/13 18:00,17
11/16/13 19:00,20
11/16/13 20:00,26
11/16/13 21:00,27
11/16/13 22:00,16
11/16/13 23:00,11
11/17/13 0:00,12
11/17/13 1:00,12
11/17/13 2:00,7
11/17/13 3:00,5
11/17/13 4:00,3
11/17/13 5:00,6
11/17/13 6:00,7
11/17/13 7:00,5
11/17/13 8:00,9
11/17/13 9:00,9
11/17/13 10:00,11
11/17/13 11:00,12
11/17/13 12:00,12
11/17/13 13:00,15
11/17/13 14:00,14
11/17/13 15:00,5
11/17/13 16:00,5
11/17/13 17:00,7
11/17/13 18:00,22
11/17/13 19:00,17
11/17/13 20:00,22
11/17/13 21:00,21
11/17/13 22:00,17
11/17/13 23:00,38
11/18/13 0:00,59
11/18/13 1:00,38
11/18/13 2:00,28
11/18/13 3:00,7
11/18/13 4:00,3
11/18/13 5:00,5
11/18/13 6:00,7
11/18/13 7:00,14
11/18/13 8:00,46
11/18/13 9:00,45
11/18/13 10:00,24
11/18/13 11:00,14
11/18/13 12:00,16
11/18/13 13:00,15
11/18/13 14:00,16
11/18/13 15:00,13
11/18/13 16:00,27
11/18/13 17:00,39
11/18/13 18:00,33
11/18/13 19:00,41
11/18/13 20:00,42
11/18/13 21:00,18
11/18/13 22:00,7
11/18/13 23:00,8
11/19/13 0:00,3
11/19/13 1:00,4
11/19/13 2:00,3
11/19/13 3:00,1
11/19/13 4:00,1
11/19/13 5:00,1
11/19/13 6:00,2
11/19/13 7:00,6
11/19/13 8:00,20
11/19/13 9:00,59
11/19/13 10:00,23
11/19/13 11:00,9
11/19/13 12:00,12
11/19/13 13:00,36
11/19/13 14:00,21
11/19/13 15:00,7
11/19/13 16:00,11
11/19/13 17:00,21
11/19/13 18:00,77
11/19/13 19:00,186
11/19/13 20:00,147
11/19/13 21:00,96
11/19/13 22:00,58
11/19/13 23:00,15
11/20/13 0:00,7
11/20/13 1:00,22
11/20/13 2:00,20
11/20/13 3:00,4
11/20/13 4:00,7
11/20/13 5:00,1
11/20/13 6:00,3
11/20/13 7:00,5
11/20/13 8:00,15
11/20/13 9:00,26
11/20/13 10:00,23
11/20/13 11:00,16
11/20/13 12:00,12
11/20/13 13:00,17
11/20/13 14:00,14
11/20/13 15:00,15
11/20/13 16:00,34
11/20/13 17:00,24
11/20/13 18:00,28
11/20/13 19:00,15
11/20/13 20:00,28
11/20/13 21:00,40
11/20/13 22:00,20
11/20/13 23:00,15
11/21/13 0:00,22
11/21/13 1:00,14
11/21/13 2:00,2
11/21/13 3:00,1
11/21/13 4:00,1
11/21/13 5:00,3
11/21/13 6:00,6
11/21/13 7:00,8
11/21/13 8:00,12
11/21/13 9:00,21
11/21/13 10:00,16
11/21/13 11:00,16
11/21/13 12:00,15
11/21/13 13:00,20
11/21/13 14:00,25
11/21/13 15:00,12
11/21/13 16:00,13
11/21/13 17:00,16
11/21/13 18:00,22
11/21/13 19:00,20
11/21/13 20:00,24
11/21/13 21:00,52
11/21/13 22:00,66
11/21/13 23:00,28
11/22/13 0:00,34
11/22/13 1:00,20
11/22/13 2:00,10
11/22/13 3:00,9
11/22/13 4:00,3
11/22/13 5:00,6
11/22/13 6:00,4
