,TA - v.Alto Adige,,,,,,,
Parm,SO2,NOX,NO2,PM10,PM2.5,BENZENE,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K,mg/m3 293K,ng/m3 293K
01/01/2014 1.00,,,,"19,9","15,6","1,0","0,3",
01/01/2014 2.00,,"29,9","23,2","19,9","15,6","1,0","0,4",
01/01/2014 3.00,,"44,8","32,4","19,9","15,6","1,0","0,4",
01/01/2014 4.00,,"21,8","17,3","19,9","15,6","0,9","0,3",
01/01/2014 5.00,,"18,9","14,4","19,9","15,6","0,6","0,3",
01/01/2014 6.00,,"15,9","12,3","19,9","15,6","0,7","0,3",
01/01/2014 7.00,,"22,7","17,7","19,9","15,6","0,7","0,3",
01/01/2014 8.00,,"20,2","16,9","19,9","15,6","0,7","0,3",
01/01/2014 9.00,,"29,1","23,5","19,9","15,6","0,6","0,3",
01/01/2014 10.00,,"23,0","16,3","19,9","15,6","0,8","0,5",
01/01/2014 11.00,,"32,0","21,3","19,9","15,6","0,8","0,4",
01/01/2014 12.00,,"38,1","24,8","19,9","15,6","1,0","0,4",
01/01/2014 13.00,,"44,1","28,3","19,9","15,6","0,9","0,5",
01/01/2014 14.00,,"33,3","24,8","19,9","15,6","1,1","0,3",
01/01/2014 15.00,,"29,2","21,9","19,9","15,6","0,5","0,3",
01/01/2014 16.00,,"32,8","26,2","19,9","15,6","0,6","0,3",
01/01/2014 17.00,,"47,8","37,3","19,9","15,6","1,0","0,4",
01/01/2014 18.00,,"82,8","55,0","19,9","15,6","1,2","0,5",
01/01/2014 19.00,,"136,9","78,3","19,9","15,6","1,2","0,7",
01/01/2014 20.00,,"109,8","70,6","19,9","15,6","1,7","0,6",
01/01/2014 21.00,,"129,5","63,8","19,9","15,6","2,0","0,8",
01/01/2014 22.00,,"112,3","51,3","19,9","15,6","2,0","0,8",
01/01/2014 23.00,,"105,7","44,8","19,9","15,6","2,2","0,7",
02/01/2014 0.00,,"61,9","31,5","19,9","15,6","2,2","0,6",
02/01/2014 1.00,,"74,7","15,9","35,0","25,5","1,6","0,5",
02/01/2014 2.00,,,,"35,0","25,5","1,7","0,6",
02/01/2014 3.00,"0,1","26,8","23,2","35,0","25,5","3,4",,
02/01/2014 4.00,"0,7","22,9","19,2","35,0","25,5","1,7","0,5",
02/01/2014 5.00,"1,1","30,2","23,8","35,0","25,5","1,5","0,5",
02/01/2014 6.00,"0,8","25,1","19,9","35,0","25,5","1,5","0,4",
02/01/2014 7.00,"0,9","81,3","39,6","35,0","25,5","1,5","0,6",
02/01/2014 8.00,"1,5","153,4","58,1","35,0","25,5","1,8","1,0",
02/01/2014 9.00,"1,3","116,6","53,3","35,0","25,5","2,5","0,7",
02/01/2014 10.00,"1,0","83,4","47,5","35,0","25,5","1,8","0,7",
02/01/2014 11.00,"1,1","102,1","49,7","35,0","25,5","2,1","0,7",
02/01/2014 12.00,"1,3","68,6","34,9","35,0","25,5","1,8","0,6",
02/01/2014 13.00,"0,9","43,9","24,0","35,0","25,5","1,7","0,4",
02/01/2014 14.00,"1,0","43,1","25,1","35,0","25,5","1,2","0,4",
02/01/2014 15.00,"1,1","24,8","16,6","35,0","25,5","1,0","0,3",
02/01/2014 16.00,"1,0","27,7","19,9","35,0","25,5","0,9","0,4",
02/01/2014 17.00,"2,0",,,"35,0","25,5","1,4","1,3",
02/01/2014 18.00,"2,7",,,"35,0","25,5","5,0","1,8",
02/01/2014 19.00,"2,6",,,"35,0","25,5","6,8","1,7",
02/01/2014 20.00,"1,6",,,"35,0","25,5","3,8","1,0",
02/01/2014 21.00,"1,6",,,"35,0","25,5","3,2","0,9",
02/01/2014 22.00,"1,8",,,"35,0","25,5","3,2","1,0",
02/01/2014 23.00,"2,0",,,"35,0","25,5","3,1","1,0",
03/01/2014 0.00,"1,9",,,"35,0","25,5","2,9","0,9",
03/01/2014 1.00,"1,7",,,"31,9","20,3","2,8","0,8",
