, TARANTO,,,,,
,TA V.Archimede,,,,,
,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


01/01/2009 1.00,"1,22735","9,527576","8,114296","0,358988","0,4643",
01/01/2009 2.00,"1,160665","30,895224","23,588821","0,558548","0,446073","42,97924"
01/01/2009 3.00,"1,090376","32,23368","28,266339","0,443674","0,402904",
01/01/2009 4.00,"0,969624","23,160075","21,281209","0,333534","0,411538","64,95726"
01/01/2009 5.00,"1,1084","18,133001","16,708802","0,349912","0,273399",
01/01/2009 6.00,"0,96602","10,680587","9,561424","0,284483","0,230231","56,16605"
01/01/2009 7.00,"1,303045","20,737321","18,18967","0,301609","0,301219",
01/01/2009 8.00,"1,308452","31,617636","27,408463","0,392846","0,406741","37,118431"
01/01/2009 9.00,"1,09218","30,962639","24,990508","0,402711","0,242702",
01/01/2009 10.00,"0,993054","9,25132","7,312212","0,380968","0,443195","28,81562"
01/01/2009 11.00,"0,908347","8,631367","6,329722","0,472323","0,478688",
01/01/2009 12.00,"0,915556","10,772672","7,230446","0,494738","0,579414","23,93162"
01/01/2009 13.00,"1,209327","12,697382","9,269402","0,52757","0,519938",
01/01/2009 14.00,"1,070552","18,80743","14,651671","0,623543","0,496915","28,327221"
01/01/2009 15.00,"1,011077","15,509222","12,170138","0,538343","0,538165",
01/01/2009 16.00,"1,140841","12,688303","9,666552","0,499908","0,58517","23,93162"
01/01/2009 17.00,"1,263396","22,228836","18,206545","0,584001","0,60052",
01/01/2009 18.00,"1,066947","25,826645","22,128704","0,634197","0,532409","30,28083"
01/01/2009 19.00,"1,257988","36,112937","29,414953","0,656098","0,57366",
01/01/2009 20.00,"1,057936","19,4611","15,532928","0,48128","0,659995","32,722832"
01/01/2009 21.00,"0,877709","22,055054","18,714008","0,451921","0,667669",
01/01/2009 22.00,"0,96602","17,882687","14,860629","0,387559","0,476771","27,35042"
01/01/2009 23.00,"1,032704","16,356148","13,501754","0,407486","0,662874",
02/01/2009 0.00,"1,263396","23,741111","19,965161","0,442924","0,756885","20,02442"
02/01/2009 1.00,"0,928172","10,732465","7,93519","0,4769","0,54584",
02/01/2009 2.00,"1,090376","5,797476","2,88517","0,42035","0,43648","17,582411"
02/01/2009 3.00,,"4,749521","1,967574","0,414432","0,713716",
02/01/2009 4.00,"1,801358","4,324114","1,435447","0,41459","0,590927","19,53602"
02/01/2009 5.00,"1,288547","10,278523","7,214871","0,637235",,
02/01/2009 6.00,"1,869443","13,160401","9,660062","0,792913","0,999586","13,18681"
02/01/2009 7.00,"1,42182","18,790568","15,020268","0,638025","0,724268",
02/01/2009 8.00,"1,530828","24,381823","19,802909","0,806449","0,700287","8,302809"
02/01/2009 9.00,"1,612675","33,037829","25,369505","0,834191","0,703164",
02/01/2009 10.00,"1,92775","26,152183","18,934656","0,654086","0,96793","10,74481"
02/01/2009 11.00,"2,170756","46,399229","31,373453","0,868484","1,060982",
02/01/2009 12.00,"1,920507","49,808994","33,238493","0,810316","1,299847","18,55921"
02/01/2009 13.00,"2,337348","30,569686","23,033327","0,675633","0,867204",
02/01/2009 14.00,"2,202626","33,600684","26,050884","0,648916","0,88447","27,35042"
02/01/2009 15.00,"2,021186","27,060075","21,823701","0,576109","0,934354",
02/01/2009 16.00,"2,366682","24,957679","20,829537","0,550655","0,842262","20,02442"
02/01/2009 17.00,"2,321412","35,534499","28,61547","0,717659","0,599561",
02/01/2009 18.00,"2,187053","32,338764","27,740711","0,817183","0,685896","22,46641"
02/01/2009 19.00,"2,059574","31,244107","26,27151","0,754161","0,584212",
02/01/2009 20.00,"1,870529","25,485544","20,595929","0,664899","0,607234","19,0476"
02/01/2009 21.00,"2,002716","30,593031","25,614796","0,790073","0,913249",
02/01/2009 22.00,"2,113173","27,377831","22,178033","0,735852","0,688775","23,44322"
02/01/2009 23.00,"1,666636","14,767353","11,471893","0,720028","0,652322",
03/01/2009 0.00,"1,797012","12,083912","8,80736","0,65531","0,636973","27,35042"
03/01/2009 1.00,"1,665188","8,474433","5,521148","0,585579","0,51802",
03/01/2009 2.00,"1,596017","7,898575","5,10583","0,547182","0,62738","30,28083"
03/01/2009 3.00,"1,358805","6,213805","3,170702","0,639208","0,707001",
03/01/2009 4.00,"1,779991","8,019194","5,051318","0,620542","0,60052","22,954821"
03/01/2009 5.00,"1,914713","9,025648","6,062361","0,674014","0,538165",
03/01/2009 6.00,"2,055953","28,465989","16,540082","0,64568","0,642729","18,07081"
03/01/2009 7.00,"2,109552","52,87764","27,751092","0,79031","0,758802",
03/01/2009 8.00,"1,944409","91,91527","33,355316","0,899304","0,943947","10,74481"
03/01/2009 9.00,"1,957447","105,195007","34,781669","1,342662","0,724268",
03/01/2009 10.00,"1,925215","79,547327","36,096398","1,261646","0,966011","19,0476"
03/01/2009 11.00,"1,930285","47,687154","25,675788","0,936083","0,77799",
03/01/2009 12.00,"1,668809","20,320984","14,306439","0,716751","0,468137","22,46641"
03/01/2009 13.00,"1,624989","33,352986","22,216961","0,756175","0,918046",
03/01/2009 14.00,"2,004165","37,010449","24,621913","0,604245","0,62738","19,0476"
03/01/2009 15.00,"1,902761","24,700879","18,240295","0,559534","0,574619",
03/01/2009 16.00,"1,803894","25,680091","20,877568","0,608074","0,524735","16,60561"
