,TARANTO,,,
,TA V.Archimede,,,
Parm,SO2,NO2,CO,PM10



01/01/2010 1.00,"0,691724","8,288212","0,174713",
01/01/2010 2.00,"1,067386","13,029333","0,206346","67,88765"
01/01/2010 3.00,"0,825373","14,212989","0,228864",
01/01/2010 4.00,"0,800088","12,706163","0,186051","81,562881"
01/01/2010 5.00,"0,868719","7,053936","0,181522",
01/01/2010 6.00,"0,809119","6,669765","0,234204","76,19046"
01/01/2010 7.00,"0,758549","9,980636","0,241984",
01/01/2010 8.00,"0,805507","12,755487","0,344349","50,305241"
01/01/2010 9.00,"0,901228","8,529615","0,445655",
01/01/2010 10.00,"0,906646","7,060425","0,403764","34,18803"
01/01/2010 11.00,"1,011398","9,056551","0,408126",
01/01/2010 12.00,"1,061969","8,651616","0,420197","31,25762"
01/01/2010 13.00,"0,939156","7,130509","0,427793",
01/01/2010 14.00,"0,83621","4,560722","0,35138","26,86202"
01/01/2010 15.00,"0,980695","4,674935","0,286027",
01/01/2010 16.00,"0,763967","4,857935","0,112157","32,722832"
01/01/2010 17.00,"0,931931","14,970956","0,234504",
01/01/2010 18.00,"0,810924","18,653018","0,391167","19,53602"
01/01/2010 19.00,"0,968053","16,248059","0,339873",
01/01/2010 20.00,"1,197424","13,347316","0,341001","28,81562"
01/01/2010 21.00,"0,978889","11,448528","0,300275",
01/01/2010 22.00,"1,152272","18,606288","0,318702","26,86202"
01/01/2010 23.00,"1,078222","13,802861","0,305878",
02/01/2010 0.00,"1,090866","10,965721","0,228679","24,908421"
02/01/2010 1.00,"1,296757","11,007251","0,167279",
02/01/2010 2.00,"1,322042",,"0,196426","25,39682"
02/01/2010 3.00,,"14,351867",,
02/01/2010 4.00,"1,219096","21,124157","0,367885","18,07081"
02/01/2010 5.00,"1,219096","34,082108","0,332075",
02/01/2010 6.00,"1,27689","9,701595","0,344061","21,001221"
02/01/2010 7.00,"1,240769","16,601074","0,530954",
02/01/2010 8.00,"1,480976","20,276645","0,442007","20,02442"
02/01/2010 9.00,"1,367194","26,725763","0,617249",
02/01/2010 10.00,"1,399703","23,294201","0,534501","13,67521"
02/01/2010 11.00,"1,620043","30,471429","0,264525",
02/01/2010 12.00,"1,41957","31,212518","0,2","16,60561"
02/01/2010 13.00,"1,58031","23,076158","0,274271",
02/01/2010 14.00,"1,244381","26,454507","0,27289","10,74481"
02/01/2010 15.00,"1,264248","12,283056","0,265271",
02/01/2010 16.00,"1,365388","7,326487","0,168483","21,001221"
02/01/2010 17.00,"1,213678","22,346747","0,199327",
02/01/2010 18.00,"1,206454","18,396038","0,183643","16,60561"
02/01/2010 19.00,"1,229932","14,864526","0,113573",
02/01/2010 20.00,"1,155883","17,031973","0,180309","30,76923"
02/01/2010 21.00,"1,350939","15,727608","0,209279",
02/01/2010 22.00,"1,452079","29,50581","0,586014","29,30402"
02/01/2010 23.00,"2,057112","24,193625","0,138361",
03/01/2010 0.00,"1,455691","26,384433","0,093296","46,88644"
03/01/2010 1.00,"1,381642","10,529634","0,086377",
03/01/2010 2.00,"1,374418","6,594488","0,16315","40,537231"
03/01/2010 3.00,"1,354551","13,291503","0,182436",
03/01/2010 4.00,"1,948748","33,141155","1,297792","29,79241"
03/01/2010 5.00,"3,686185","29,517493","1,610935",
03/01/2010 6.00,"5,609649","38,902413","1,225537","31,25762"
03/01/2010 7.00,"6,958782","41,033508","1,709068",
03/01/2010 8.00,"6,472948","33,442257","0,990549","44,932831"
03/01/2010 9.00,"7,849173","32,170356","1,376282",
03/01/2010 10.00,"6,996709","21,699116","0,849735","42,97924"
03/01/2010 11.00,"6,56867","21,713399","1,483825",
03/01/2010 12.00,"5,578946","15,754868","0,799251","39,072041"
03/01/2010 13.00,"4,959463","14,058549","0,471134",
03/01/2010 14.00,"5,315259","18,167606","0,741931","47,37484"
03/01/2010 15.00,"4,444734","4,020808","0,210481",
03/01/2010 16.00,"3,285238","3,105807","0,128677","41,514042"
03/01/2010 17.00,"2,407489","2,988999","0,220425",
03/01/2010 18.00,"2,019184","3,896212","0,240378","29,79241"
03/01/2010 19.00,"2,138385","15,53423","0,57328",
03/01/2010 20.00,"3,942648","26,742646","0,829683","22,46641"
03/01/2010 21.00,"2,790375","5,517254","0,212508",
03/01/2010 22.00,"2,151027","9,227872","0,46949","22,46641"
03/01/2010 23.00,"2,732581","15,361614","0,648192",
04/01/2010 0.00,"2,367756","4,789149","0,324757","19,53602"
04/01/2010 1.00,"2,138385","3,365382","0,324942",
04/01/2010 2.00,"1,883729",,"0,386443","15,14041"
04/01/2010 3.00,,"3,291405",,
04/01/2010 4.00,"1,887341","5,273254","0,215324","9,27961"
04/01/2010 5.00,"1,934299","12,412849","0,23183",
