Stat,TA V.Archimede,,,,,
,,,,,,,,,,
Parm,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
01/01/2014 1.00,"1,7","51,6","12,8","0,8","3,3",
01/01/2014 2.00,"1,5","25,0","9,0","0,8","2,6","13,7"
01/01/2014 3.00,"1,0","26,9","10,0","0,8","2,5",
01/01/2014 4.00,"1,3","20,1","6,0","0,7","2,3","46,9"
01/01/2014 5.00,"1,1","24,2","6,9","0,8","2,3",
01/01/2014 6.00,"1,1","16,9","4,4","0,8","2,3","38,6"
01/01/2014 7.00,"1,2","18,7","5,6","0,8","2,3",
01/01/2014 8.00,"1,4","20,9","6,7","0,8","2,7","20,0"
01/01/2014 9.00,"1,3","33,7","12,7","0,7","2,4",
01/01/2014 10.00,"1,2","8,9","4,3","0,7","2,3","11,7"
01/01/2014 11.00,"1,3","8,4","3,3","0,7","2,3",
01/01/2014 12.00,"1,9","9,6","4,6","0,7","2,4","7,8"
01/01/2014 13.00,"2,0","11,9","6,8","0,7","2,3",
01/01/2014 14.00,"1,6","14,6","9,7","0,7","2,4","13,2"
01/01/2014 15.00,"2,1","11,4","6,8","0,7","2,5",
01/01/2014 16.00,"1,9","9,8","5,2","0,7","2,3","8,3"
01/01/2014 17.00,"1,6","12,7","8,3","0,7","2,4",
01/01/2014 18.00,"1,9","18,5","14,0","0,8","2,3","4,9"
01/01/2014 19.00,"1,8","29,2","20,9","0,8","2,3",
01/01/2014 20.00,"2,2","52,5","32,3","0,9","2,5","7,8"
01/01/2014 21.00,"2,8","48,3","27,1","0,8","2,3",
01/01/2014 22.00,"1,2","30,5","23,8","0,9","2,4","4,9"
01/01/2014 23.00,"2,0","42,7","23,7","0,9","2,5",
02/01/2014 0.00,"2,6","28,4","17,1","0,9","2,5","5,9"
02/01/2014 1.00,"2,6","36,4","21,5","0,9","2,6",
02/01/2014 2.00,"1,3","16,7","11,9","0,9","2,5","16,1"
02/01/2014 3.00,,"14,9","10,3",,"2,7",
02/01/2014 4.00,"2,4","15,5","10,4","1,0","2,6","22,5"
02/01/2014 5.00,"1,5",,,"1,0","2,3",
02/01/2014 6.00,"1,4","19,3","12,7","0,9","2,4","27,4"
02/01/2014 7.00,"1,6","22,7","14,1","0,9","2,4",
02/01/2014 8.00,"3,5","78,4","26,7","0,9","2,6","27,4"
02/01/2014 9.00,"3,8","85,3","27,0","0,9","2,7",
02/01/2014 10.00,"3,7","58,7","24,0","1,0","2,8","24,4"
02/01/2014 11.00,"2,5","47,1","26,0","0,9","2,7",
02/01/2014 12.00,"2,6","55,0","34,5","1,0","2,5","22,0"
02/01/2014 13.00,"2,7","56,0","37,4","0,9","2,4",
02/01/2014 14.00,"2,0","27,9","21,6","0,8","2,4","29,3"
02/01/2014 15.00,"1,7","23,2","17,4","0,8","2,4",
02/01/2014 16.00,"1,9","24,7","18,7","0,8","2,5","24,4"
02/01/2014 17.00,"1,4","22,7","17,5","0,8","2,3",
02/01/2014 18.00,"2,1","47,3","37,6","0,9","2,4","23,0"
02/01/2014 19.00,"2,8","65,6","38,3","0,9","2,6",
02/01/2014 20.00,"3,6","80,5","40,3","1,0","2,7","24,4"
02/01/2014 21.00,"2,9","67,2","38,1","0,9","2,6",
02/01/2014 22.00,"3,0","91,0","37,9","1,0","2,7","28,8"
02/01/2014 23.00,"1,6","43,1","30,9","0,9","2,7",
03/01/2014 0.00,"1,8","42,3","31,5","0,9","2,7","21,5"
03/01/2014 1.00,"1,6","35,5","24,6","0,9","2,4",
03/01/2014 2.00,"1,2","19,1","14,4","0,8","2,6","18,1"
03/01/2014 3.00,"1,4","19,1","13,5","0,9","2,5",
03/01/2014 4.00,"1,9","29,3","17,3","0,8","2,5","23,4"
03/01/2014 5.00,"1,0","17,9","12,3","0,9","2,7",
03/01/2014 6.00,"1,7","33,7","18,1","0,9","2,7","15,1"
03/01/2014 7.00,"3,9","94,6","21,2","1,0","2,7",
03/01/2014 8.00,"4,2","115,8","25,9","1,0","2,9","17,6"
03/01/2014 9.00,"5,0","134,6","30,2","1,1","2,9",
03/01/2014 10.00,"2,6","82,0","31,8","1,0","2,8","23,9"
03/01/2014 11.00,"4,7","106,0","34,4","1,0","3,2",
03/01/2014 12.00,"3,0","94,1","41,9","1,1","3,0","21,5"
03/01/2014 13.00,"2,0","43,6","27,2","1,0","2,8",
03/01/2014 14.00,"1,7","27,2","19,4","0,8","2,6","29,3"
03/01/2014 15.00,"1,3","27,9","20,6","0,8","2,5",
03/01/2014 16.00,"1,0","25,6","20,3","0,8","2,5","24,9"
03/01/2014 17.00,"1,7","37,1","31,6","0,8","2,5",
03/01/2014 18.00,"1,0","41,2","36,1","0,9","2,5","19,0"
03/01/2014 19.00,"2,3","78,1","50,8","1,0","2,6",
03/01/2014 20.00,"1,3","55,6","37,6","0,9","2,6","17,6"
03/01/2014 21.00,"2,5","81,3","40,4","1,0","2,6",
03/01/2014 22.00,"2,2","97,8","40,3","1,0","2,6","20,5"
03/01/2014 23.00,"1,5","30,8","23,9","0,8","2,4",
04/01/2014 0.00,"2,2","73,9","34,0","1,0","2,7","19,5"
04/01/2014 1.00,"1,8","51,7","27,2","0,9","2,6",
04/01/2014 2.00,"1,2","24,7","18,7","0,9","2,8","25,4"
04/01/2014 3.00,,"32,7","23,6",,"3,0",
04/01/2014 4.00,"1,6","29,0","21,0","0,9","2,8","20,5"
04/01/2014 5.00,"1,0",,,"0,8","2,6",
04/01/2014 6.00,"1,3","39,3","20,3","0,8","2,7","17,1"
04/01/2014 7.00,"5,6","168,9","33,3","1,0","3,0",
04/01/2014 8.00,"5,2","162,6","35,6","1,0","2,9","11,2"
04/01/2014 9.00,"4,2","149,7","36,9","1,3","2,9",
04/01/2014 10.00,"3,1","112,4","37,4","1,4","2,9","19,5"
04/01/2014 11.00,"2,8","93,1","42,8","1,2","2,7",
04/01/2014 12.00,"1,4","58,1","36,3","1,1","2,6","30,8"
04/01/2014 13.00,"1,4","45,1","31,5","1,1","2,5",
04/01/2014 14.00,"2,0","45,7","34,1","1,0","2,7","29,8"
04/01/2014 15.00,"1,6","20,8","15,7","0,8","2,4",
04/01/2014 16.00,"1,1","15,6","11,0","0,8","2,5","17,1"
04/01/2014 17.00,"1,0","14,8","10,4","0,8","2,4",
04/01/2014 18.00,"1,5","23,0","19,7","0,8","2,4","15,1"
04/01/2014 19.00,"1,7","58,4","47,1","0,8","2,6",
04/01/2014 20.00,"1,9","50,2","35,9","0,9","2,5","16,1"
04/01/2014 21.00,"1,0","24,4","19,4","0,8","2,5",
04/01/2014 22.00,"1,8","41,0","35,6","0,8","2,5","14,2"
04/01/2014 23.00,"1,4","23,4","19,1","0,8","2,4",
05/01/2014 0.00,"1,2","18,4","13,9","0,8","2,3","16,6"
05/01/2014 1.00,"1,1","17,6","13,2","0,8","2,6",
05/01/2014 2.00,"1,5","18,1","13,5","0,8","2,4","21,0"
05/01/2014 3.00,"1,4","14,9","10,3","0,8","2,4",
05/01/2014 4.00,"0,9","11,6","7,4","0,8","2,4","14,7"
05/01/2014 5.00,"1,1","10,6","6,3","0,8","2,3",
05/01/2014 6.00,"1,2","10,7","6,1","0,8","2,4","17,6"
05/01/2014 7.00,"1,6","10,8","6,2","0,8","2,3",
05/01/2014 8.00,"1,3","11,8","7,4","0,8","2,4","17,1"
05/01/2014 9.00,"1,5","12,9","8,4","0,7","2,5",
05/01/2014 10.00,"1,5","13,7","8,8","0,7","2,5","15,1"
05/01/2014 11.00,"1,6","12,8","8,2","0,8","2,4",
05/01/2014 12.00,"1,3","11,5","7,1","0,8","2,3","20,5"
05/01/2014 13.00,"1,3","11,7","7,1","0,7","2,3",
05/01/2014 14.00,"1,5","13,0","8,3","0,7","2,3","19,5"
05/01/2014 15.00,"1,8","11,0","6,3","0,7","2,5",
05/01/2014 16.00,"1,5","11,4","7,1","0,8","2,5","19,0"
05/01/2014 17.00,"1,7","10,9","6,4","0,7","2,4",
05/01/2014 18.00,"1,3","12,5","8,0","0,7","2,5","15,1"
05/01/2014 19.00,"1,0","14,1","9,4","0,7","4,0",
05/01/2014 20.00,"1,6","19,0","14,5","1,0","3,0","10,3"
05/01/2014 21.00,"1,0","25,8","20,9","1,0","3,0",
05/01/2014 22.00,"1,6","36,9","32,3","0,9","2,5","10,7"
05/01/2014 23.00,"0,8","33,3","28,9","0,9","2,6",
06/01/2014 0.00,"0,5","22,7","17,8","0,8","2,4","9,3"
06/01/2014 1.00,"0,8","17,8","13,4","0,8","2,5",
06/01/2014 2.00,"0,6","13,7","9,1","0,8","2,5","6,8"
06/01/2014 3.00,,"10,0","5,6",,"2,5",
06/01/2014 4.00,"1,3","7,9","3,5","0,7","2,3","7,3"
06/01/2014 5.00,"0,4",,,"0,8","2,3",
06/01/2014 6.00,"0,9","10,9","6,4","0,8","2,2","10,7"
06/01/2014 7.00,"0,5","14,9","10,4","0,8","2,5",
06/01/2014 8.00,"0,4","21,4","16,4","0,8","2,5","7,8"
06/01/2014 9.00,"0,8","17,0","12,3","0,7","2,4",
06/01/2014 10.00,"1,0","17,2","11,6","0,8","2,3","5,9"
06/01/2014 11.00,"0,8","14,0","9,0","0,8","2,4",
06/01/2014 12.00,"0,4","12,7","7,5","0,8","2,4","4,9"
06/01/2014 13.00,"0,7","10,8","5,8","0,7","2,5",
06/01/2014 14.00,"0,3","10,9","6,3","0,7","2,4","15,1"
06/01/2014 15.00,"0,6","11,2","6,4","0,7","2,4",
06/01/2014 16.00,"0,6","11,0","6,4","0,7","2,2","8,8"
06/01/2014 17.00,"0,4","15,3","10,8","0,8","2,5",
06/01/2014 18.00,"0,2","15,9","11,4","0,8","2,4","8,3"
06/01/2014 19.00,"0,1","19,9","15,5","0,8","2,4",
06/01/2014 20.00,,"17,2","12,9","0,8","2,5","11,2"
