"NetC","Regione-Provincia Lecce","","",""
"Stat","Surbo-Enel","","",""
Parm,SO2,NO2,NOX,CO,PM10
,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,
01/01/2012 1.00,"0,66074388","6,76580702","12,23565854","0,00315948","30,5"
01/01/2012 2.00,"0,59023934","11,91705242","17,46895167","0,00359403","30,5"
01/01/2012 3.00,"0,58679171","13,50695307","18,95658136","0,00229039","30,5"
01/01/2012 4.00,"0,61626946","11,78726968","16,94886664","0,02203947","30,5"
01/01/2012 5.00,"0,5112876","12,03646064","17,16545991","0,00134208","30,5"
01/01/2012 6.00,"0,55438399","12,5750806","17,855451",,"30,5"
01/01/2012 7.00,"0,46439983","11,79894818","16,93070838",,"30,5"
01/01/2012 8.00,"0,46664028","11,19154593","16,14474062",,"30,5"
01/01/2012 9.00,"0,50490999","10,06240286","14,99562098",,"30,5"
01/01/2012 10.00,"0,69125592","9,28367967","14,77383854",,"30,5"
01/01/2012 11.00,"0,66401964","8,91378606","14,47293945","0,00106714","30,5"
01/01/2012 12.00,"0,73348989","8,23370105","13,36791817","0,06315582","30,5"
01/01/2012 13.00,"0,69177357","5,77942534","10,73765242","0,01413961","30,5"
01/01/2012 14.00,"0,63195668","5,35631886","10,38487695",,"30,5"
01/01/2012 15.00,"0,7110803","5,21874473","10,34726409",,"30,5"
01/01/2012 16.00,"0,74297138","4,87351018","10,28760395",,"30,5"
01/01/2012 17.00,"0,59110176","5,47831785","11,05800611",,"30,5"
01/01/2012 18.00,"0,67160443","10,57116502","16,29778475","0,00252689","30,5"
01/01/2012 19.00,"0,76400193","25,02815648","31,28169664","0,13345891","30,5"
01/01/2012 20.00,"0,7381447","37,41504848","46,40833168","0,39788828","30,5"
01/01/2012 21.00,"0,8781195","45,39045936","83,17368256","0,63960714","30,5"
01/01/2012 22.00,"0,95913982","45,88495992","107,84471568","0,6239274","30,5"
01/01/2012 23.00,"1,14565864","42,68828712","112,21034704","0,5346651","30,5"
02/01/2012 0.00,"0,92742162","41,51632672","131,57288424","0,6447809","30,5"
02/01/2012 1.00,,"40,0471268","167,64563224","0,71998282","41,7"
02/01/2012 2.00,"1,09275125",,,,"41,7"
02/01/2012 3.00,"0,7075869","35,7304044","102,87081976","0,62266338","41,7"
02/01/2012 4.00,"0,5211047","30,55838704","62,18344064","0,54098406","41,7"
02/01/2012 5.00,"0,49844797","28,05609528","45,52896464","0,43402774","41,7"
02/01/2012 6.00,"0,35553608","26,77637456","39,59143984","0,22141757","41,7"
02/01/2012 7.00,"0,4845049","27,02686568","49,05935792","0,42510151","41,7"
02/01/2012 8.00,"0,71107216","29,05285912","96,49879296","0,34776765","41,7"
02/01/2012 9.00,"1,16246456","34,11845456","180,2094416","0,47692071","41,7"
02/01/2012 10.00,"1,33151844","44,1587872","191,9300016","0,45342033","41,7"
02/01/2012 11.00,"1,20603488","43,84730328","127,2189352","0,29176027","41,7"
02/01/2012 12.00,"0,89406911","41,30736424","80,76649368","0,38844945","41,7"
02/01/2012 13.00,"0,79821381","34,49873224","51,6040196","0,14625643","41,7"
02/01/2012 14.00,"0,82609893","24,90615176","31,76030848","0,23516224","41,7"
02/01/2012 15.00,"0,87489764","19,43043232","25,44663592","0,12551943","41,7"
02/01/2012 16.00,"0,77904234","18,93205422","24,8396524","0,00872818","41,7"
02/01/2012 17.00,"0,53678989","24,8866876","30,92375112","0,03542882","41,7"
02/01/2012 18.00,"0,52981835","34,0587428","40,94548","0,12236112","41,7"
02/01/2012 19.00,"0,59256014","42,7324352","50,6312896","0,06927673","41,7"
02/01/2012 20.00,"0,39562114","48,78829368","59,81257976","0,22951432","41,7"
02/01/2012 21.00,"0,50890477","52,99341264","66,95370856","0,38738231","41,7"
02/01/2012 22.00,"0,50019111","53,57095136","66,93686384","0,44939176","41,7"
02/01/2012 23.00,"0,37644967","47,60205064","56,47805176","0,36285556","41,7"
03/01/2012 0.00,"0,51936156","37,55391704","44,91033704","0,17733863","41,7"
03/01/2012 1.00,"0,59256014","32,13789024","39,46563024","0,2035255","25,29999"
03/01/2012 2.00,"0,47753438","27,31240376","34,39703296","0,0552944","25,29999"
03/01/2012 3.00,"0,51413316","23,60178536","30,22338552","0,09854386","25,29999"
03/01/2012 4.00,"0,420021","19,7587992","26,2883748","0,01631233","25,29999"
03/01/2012 5.00,"0,53853303","16,79056451","23,27550256","0,05395232","25,29999"
03/01/2012 6.00,"0,41304947","14,81650482","21,2029328","0,04036609","25,29999"
03/01/2012 7.00,"0,49147644","15,9936735","22,5465908","0,02373804","25,29999"
03/01/2012 8.00,"0,52807623","20,46354328","27,15864072","0,02519779","25,29999"
03/01/2012 9.00,"0,49321958","25,86398728","33,10394736","0,06362997","25,29999"
03/01/2012 10.00,"0,40433479","27,60962416","35,0611088","0,14854682","25,29999"
03/01/2012 11.00,"0,44616299","16,45701038","22,67110024","0,38378828","25,29999"
03/01/2012 12.00,"0,41304947","17,83925254","23,43502072","0,26814223","25,29999"
03/01/2012 13.00,"0,44616299","19,88858576","25,57114536","0,15178436","25,29999"
03/01/2012 14.00,"0,43744933","21,29677376","26,89793952","0,10948437","25,29999"
03/01/2012 15.00,"0,43919145","22,53882808","28,1676796","0,17263902","25,29999"
03/01/2012 16.00,"0,40607793","23,009964","28,65015368","0,30451819","25,29999"
03/01/2012 17.00,"0,36425075","24,7270356","30,48408672","0,21458485","25,29999"
03/01/2012 18.00,"0,31022263","26,65048848","32,26094656","0,3320483","25,29999"
03/01/2012 19.00,"0,29453744","29,08270544","35,054608","0,43457995","25,29999"
03/01/2012 20.00,"0,2927943","29,5616232","35,99362944","0,47601318","25,29999"
03/01/2012 21.00,"0,41827786","29,78354904","35,8989472","0,66334401","25,29999"
03/01/2012 22.00,"0,26839545","28,28712224","34,629188","0,55607198","25,29999"
03/01/2012 23.00,"0,41304947","26,11835976","32,07158208","0,73783528","25,29999"
04/01/2012 0.00,"0,23179566","22,96843536","28,51398104","0,55978483","25,29999"
04/01/2012 1.00,,"23,1903612","28,97570992","0,76603527","31,29999"
04/01/2012 2.00,"0,95836995",,,,"31,29999"
04/01/2012 3.00,"1,10915952","22,38957736","31,2350056","0,54600055","31,29999"
04/01/2012 4.00,"1,12850897","22,38307656","34,8756448","0,70481685","31,29999"
04/01/2012 5.00,"0,91566307","21,6627688","30,69289624","0,45184059","31,29999"
04/01/2012 6.00,"0,92065145","19,12673024","26,08992832","0,17370616","31,29999"
04/01/2012 7.00,"0,83431324","20,21045184","26,9524124","0,14341267","31,29999"
04/01/2012 8.00,"0,98288168","21,29937408","28,15471624","0,29997585","31,29999"
04/01/2012 9.00,"0,82390323","25,33445888","32,66428296","0,37675751","31,29999"
04/01/2012 10.00,"1,00598081","26,71278144","35,71476424","0,29883066","31,29999"
04/01/2012 11.00,"1,19471872","27,029466","37,3774968","0,25127769","31,29999"
04/01/2012 12.00,"1,01780343","32,12882736","46,41611352","0,41021048","31,29999"
04/01/2012 13.00,"0,84489614","31,44612864","42,70029448","0,42466697","31,29999"
04/01/2012 14.00,"0,92304547","24,41037016","31,25965128","0,15691968","31,29999"
04/01/2012 15.00,"0,84933738","17,68610325","23,03296536","0,27817404","31,29999"
04/01/2012 16.00,"0,84988554","20,0495188","25,60357288","0,19570602","31,29999"
04/01/2012 17.00,"0,91707568","29,09828824","34,82375312","0,10229632","31,29999"
04/01/2012 18.00,"0,78462669","32,9931852","39,91827712","0,35550791","31,29999"
