Stat,Surbo-ENEL,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
01/01/2014 1.00,"3,4","7,3","8,7",,,,
01/01/2014 2.00,"3,4","5,9","6,9","17,1",,,
01/01/2014 3.00,"3,2","6,6","8,1",,,,
01/01/2014 4.00,"3,2","6,8","7,8","11,7",,,
01/01/2014 5.00,"3,5","5,9","6,8",,,,
01/01/2014 6.00,"3,4","6,1","7,8","25,9",,,
01/01/2014 7.00,"2,9","7,8","9,8",,,,
01/01/2014 8.00,"3,1","8,5","9,8","19,3",,,
01/01/2014 9.00,"3,0","9,1","10,4",,,,
01/01/2014 10.00,"2,9","6,5","7,9","15,6",,,
01/01/2014 11.00,"3,1","6,3","7,3",,,, 
01/01/2014 12.00,"3,2","3,8","4,5","9,3",,,
01/01/2014 13.00,"3,2","2,7","2,9",,,,
01/01/2014 14.00,"3,3","4,1","4,7","11,7",,,
01/01/2014 15.00,"3,2","4,4","5,3",,,,
01/01/2014 16.00,"1,0","6,3","7,5","15,6",,,
01/01/2014 17.00,"3,3","9,0","12,0",,,,
01/01/2014 18.00,"3,2","15,0","21,2","17,1",,,
01/01/2014 19.00,"3,0","26,2","46,2",,,,
01/01/2014 20.00,"3,4","35,2","78,1","20,5",,,
01/01/2014 21.00,"3,2","22,6","63,6",,,,
01/01/2014 22.00,"3,3","33,3","123,3","23,7",,,
01/01/2014 23.00,"3,1","29,2","116,3",,,,
02/01/2014 0.00,"3,6","26,8","92,2","25,6",,,
02/01/2014 1.00,"3,5",,,,,,
02/01/2014 2.00,,"22,1","51,8","36,4",,,
02/01/2014 3.00,"3,6","19,6","44,4",,,,
02/01/2014 4.00,"3,5","17,6","47,9","42,5",,,
02/01/2014 5.00,"3,5","17,7","38,0",,,,
02/01/2014 6.00,"3,8","17,4","40,5","41,8",,,
02/01/2014 7.00,"3,6","21,7","71,3",,,,
02/01/2014 8.00,"4,3","29,1","137,1","44,7",,,
02/01/2014 9.00,"4,0","42,8","125,6",,,,
02/01/2014 10.00,"4,0","46,0","80,4","47,4",,,
02/01/2014 11.00,"3,3","27,5","39,6",,,,
