Stat,Via Cappuccini,,,,,,  ,
,,,,,,,,,
Parm,SO2,NO2,NOX,CO,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,
01/01/2014 1.00,"7,1","33,5","43,7","1,1",,,,
01/01/2014 2.00,"4,6","30,8","40,0","1,1","15,4",,,
01/01/2014 3.00,"4,4","18,7","24,8","1,0",,,,
01/01/2014 4.00,"4,4","13,8","18,8","1,0","48,8",,,
01/01/2014 5.00,"4,2","11,1","15,5","0,9",,,,
01/01/2014 6.00,"4,4","21,6","31,9","1,0","39,8",,,
01/01/2014 7.00,"4,1","31,2","48,3","1,0",,,,
01/01/2014 8.00,"4,0","17,5","22,9","0,9","22,5",,,
01/01/2014 9.00,"4,3","26,6","38,4","1,0",,,,
01/01/2014 10.00,"4,8","29,5","44,2","1,1","16,4",,,
01/01/2014 11.00,"4,0","19,1","29,9","1,1",,,, 
01/01/2014 12.00,"4,1","17,4","30,2","1,0","20,8",,,
01/01/2014 13.00,"4,3","21,7","36,1","1,0",,,,
01/01/2014 14.00,"4,9","31,0","43,5","1,1","11,7",,,
01/01/2014 15.00,"5,1","27,2","33,9","1,1",,,,
01/01/2014 16.00,"5,2","27,2","34,2","1,2","10,7",,,
01/01/2014 17.00,"5,5","41,7","67,7","1,5",,,,
01/01/2014 18.00,"6,4","59,4","126,9","1,5","16,8",,,
01/01/2014 19.00,"4,3","34,8","56,6","1,1",,,,
01/01/2014 20.00,"4,7","35,0","60,2","1,2","26,9",,,
01/01/2014 21.00,"5,2","43,7","89,5","1,5",,,,
01/01/2014 22.00,"5,6","52,7","143,7","1,6","14,9",,,
01/01/2014 23.00,"5,0","43,2","100,4","1,4",,,,
02/01/2014 0.00,"4,6","32,3","66,6","1,3","8,8",,,
02/01/2014 1.00,,"22,8","42,9","1,2",,,,
02/01/2014 2.00,"4,4",,,"1,2","24,2",,,
02/01/2014 3.00,"5,6","24,2","44,7",,,,,
02/01/2014 4.00,"6,1","23,1","42,2","1,3","17,1",,,
02/01/2014 5.00,"4,5","20,7","34,5","1,2",,,,
02/01/2014 6.00,"4,6","24,6","57,4","1,3","24,2",,,
02/01/2014 7.00,"7,2","35,7","104,1","1,4",,,,
02/01/2014 8.00,"8,0","51,3","218,1","1,8","25,2",,,
02/01/2014 9.00,"8,1","51,2","224,2","1,7",,,,
02/01/2014 10.00,"5,4","44,4","92,1","1,4","20,0",,,
02/01/2014 11.00,"5,2","34,6","61,5","1,2",,,,
02/01/2014 12.00,"5,2","43,6","89,1","1,4","38,8",,,
02/01/2014 13.00,"5,4","36,0","72,6","1,3",,,,
02/01/2014 14.00,"5,9","37,1","64,0","1,3","21,0",,,
02/01/2014 15.00,"4,7","27,9","44,3","1,2",,,,
02/01/2014 16.00,"4,7","27,0","44,2","1,1","12,2",,,
02/01/2014 17.00,"5,6","37,5","64,0","1,2",,,,
02/01/2014 18.00,"5,5","52,1","98,6","1,4","12,9",,,
02/01/2014 19.00,"5,5","52,4","89,8","1,3",,,,
02/01/2014 20.00,"5,5","61,2","132,6","1,4","8,5",,,
02/01/2014 21.00,"5,4","54,2","97,7","1,5",,,,
02/01/2014 22.00,"4,9","43,9","71,5","1,3","24,2",,,
02/01/2014 23.00,"4,5","36,5","51,6","1,3",,,,
03/01/2014 0.00,"5,4","30,2","45,2","1,4","21,7",,,
03/01/2014 1.00,"4,7","24,7","34,4","1,3",,,,
03/01/2014 2.00,"5,7","27,4","38,9","1,3","13,4",,,
03/01/2014 3.00,"4,8","26,8","38,5","1,2",,,,
03/01/2014 4.00,"4,6","19,8","24,9","1,1","29,8",,,
03/01/2014 5.00,"4,5","23,6","31,3","1,1",,,,
03/01/2014 6.00,"4,5","29,9","45,8","1,2","16,4",,,
03/01/2014 7.00,"5,3","42,6","86,7","1,4",,,,
03/01/2014 8.00,"6,4","52,1","115,4","1,4","19,8",,,
03/01/2014 9.00,"5,7","45,0","86,4","1,4",,,,
03/01/2014 10.00,"5,9","50,3","99,2","1,4","24,7",,,
03/01/2014 11.00,"5,8","44,3","86,7","1,4",,,,
03/01/2014 12.00,"6,4","45,4","84,7","1,3","23,7",,,
03/01/2014 13.00,"5,8","41,0","70,5","1,4",,,,
03/01/2014 14.00,"5,5","50,1","80,6","1,4","20,8",,,
03/01/2014 15.00,"5,0","44,1","69,9","1,2",,,,
03/01/2014 16.00,"4,7","37,7","57,9","1,1","16,4",,,
03/01/2014 17.00,"6,0","55,7","104,0","1,5",,,,
03/01/2014 18.00,"6,9","61,2","121,4","1,6","14,2",,,
03/01/2014 19.00,"5,9","58,9","111,2","1,5",,,,
03/01/2014 20.00,"6,8","70,5","161,4","1,6","17,3",,,
03/01/2014 21.00,"6,8","66,1","144,4","1,6",,,,
03/01/2014 22.00,"7,8","60,3","125,5","1,8","19,5",,,
03/01/2014 23.00,"7,0","56,8","108,9","1,8",,,,
04/01/2014 0.00,"6,5","40,0","65,6","1,6","33,0",,,
04/01/2014 1.00,,"27,6","38,6","1,3",,,,
04/01/2014 2.00,"5,1",,,"1,3","40,8",,,
04/01/2014 3.00,"5,6","21,3","29,4",,,,,
04/01/2014 4.00,"4,7","23,3","30,7","1,1","35,9",,,
04/01/2014 5.00,"4,6","22,3","31,6","1,1",,,,
04/01/2014 6.00,"7,7","28,6","48,8","1,2","25,4",,,
04/01/2014 7.00,"6,4","44,7","107,2","1,4",,,,
04/01/2014 8.00,"7,2","44,2","116,1","1,5","21,7",,,
04/01/2014 9.00,"7,1","40,2","98,5","1,5",,,,
04/01/2014 10.00,"5,8","39,4","74,7","1,4","18,1",,,
04/01/2014 11.00,"5,3","31,6","53,3","1,3",,,,
04/01/2014 12.00,"5,6","27,7","47,6","1,2","40,8",,,
04/01/2014 13.00,"4,9","29,3","49,8","1,1",,,,
04/01/2014 14.00,"5,1","24,1","40,1","1,1","21,5",,,
04/01/2014 15.00,"5,0","14,7","24,4","1,0",,,,
04/01/2014 16.00,"4,4","20,7","32,4","1,1","16,8",,,
04/01/2014 17.00,"4,7","26,9","36,0","1,1",,,,
04/01/2014 18.00,"5,3","41,1","62,2","1,2","10,0",,,
04/01/2014 19.00,"4,9","39,0","59,1","1,2",,,,
04/01/2014 20.00,"5,5","37,0","51,0","1,3","12,2",,,
04/01/2014 21.00,"5,0","30,8","43,4","1,2",,,,
04/01/2014 22.00,"4,9","24,0","33,6","1,2","17,6",,,
04/01/2014 23.00,"4,6","16,7","21,7","1,1",,,,
05/01/2014 0.00,"4,5","13,2","18,0","1,1","22,5",,,
05/01/2014 1.00,"4,5","14,4","21,0","1,0",,,,
05/01/2014 2.00,"4,1","9,3","13,2","1,0","23,0",,,
05/01/2014 3.00,"4,4","7,2","10,7","0,9",,,,
05/01/2014 4.00,"4,3","7,1","10,6","0,9","14,2",,,
05/01/2014 5.00,"4,2","5,7","8,3","0,9",,,,
05/01/2014 6.00,"4,1","8,7","12,5","0,9","19,8",,,
05/01/2014 7.00,"4,2","10,0","14,3","0,9",,,,
05/01/2014 8.00,"4,1","8,9","12,7","1,0","12,5",,,
