Stat,Casardi,,,,,
,,,,,,,,,,
Parm,NO2,NOX,O3,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,
01/01/2014 1.00,"24,9","36,8","16,2","33,7","5,1","27,3"
01/01/2014 2.00,"19,0","19,1","22,0","33,7","5,2","27,3"
01/01/2014 3.00,"17,6","17,7","23,4","33,7","5,1","27,3"
01/01/2014 4.00,"13,2","13,2","26,8","33,7","4,9","27,3"
01/01/2014 5.00,"13,8","14,1","25,3","33,7","4,6","27,3"
01/01/2014 6.00,"12,7","12,8","26,0","33,7","4,4","27,3"
01/01/2014 7.00,"13,8","13,8","25,1","33,7","4,5","27,3"
01/01/2014 8.00,"13,5","13,6","25,0","33,7","4,4","27,3"
01/01/2014 9.00,"14,3","14,3","24,4","33,7","4,3","27,3"
01/01/2014 10.00,"14,2","15,0","25,3","33,7","4,4","27,3"
01/01/2014 11.00,"15,1","16,5","27,1","33,7","4,6","27,3"
01/01/2014 12.00,"16,1","18,5","30,6","33,7","4,8","27,3"
01/01/2014 13.00,"19,0","23,4","29,8","33,7","4,9","27,3"
01/01/2014 14.00,"23,8","30,3","25,9","33,7","5,2","27,3"
01/01/2014 15.00,"18,6","19,8","30,6","33,7","5,4","27,3"
01/01/2014 16.00,"15,7","15,7","30,4","33,7","4,9","27,3"
01/01/2014 17.00,"19,0","19,0","26,1","33,7","5,1","27,3"
01/01/2014 18.00,"22,4","22,6","25,0","33,7","4,8","27,3"
01/01/2014 19.00,"24,4","25,4","21,9","33,7","4,8","27,3"
01/01/2014 20.00,"24,9","26,1","22,7","33,7","5,0","27,3"
01/01/2014 21.00,"32,5","38,0","15,0","33,7","5,0","27,3"
01/01/2014 22.00,"31,7","36,2","15,0","33,7","5,3","27,3"
01/01/2014 23.00,"36,6","45,0","10,0","33,7","5,6","27,3"
02/01/2014 0.00,"28,0","31,0","12,5","33,7","5,3","27,3"
02/01/2014 1.00,"24,4","25,1","17,0","21,8","5,1","17,3"
02/01/2014 2.00,"18,1","18,1","20,7","21,8","4,8","17,3"
02/01/2014 3.00,,,"28,1","21,8","4,5","17,3"
