, Brindisi,,,,,,
,Filzi,,,,,,
Parm,SO2,NO2,NOX,CO,O3,,Benzene
,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
01/01/2010 3.00,"3,76023444","13,22849322","19,04153343","0,0284493","64,5221703",,"0,3060031"
01/01/2010 4.00,"3,17145653","13,46519117","19,06747354","0,0284493","62,27370555",,"0,28553699"
01/01/2010 5.00,"3,47848781","14,69537006","18,43065708","0,02852852","59,26197375",,"0,30952395"
01/01/2010 6.00,"3,68528256","8,7253967","9,82847348","0,0284493","63,7487886",,"0,27981535"
01/01/2010 7.00,"4,0546234","12,74212822","19,40142728","0,0284493","56,44040535",,"0,17572336"
01/01/2010 8.00,"3,68889494","7,999091","9,91926289","0,0284493","59,5177527",,"0,15822791"
01/01/2010 9.00,"3,72953121","13,68437902","19,74772872","0,0284493","44,6858454",,"0,12202678"
01/01/2010 10.00,"3,94264763","7,11779666","8,89140993","0,0284493","54,7603161",,"0,12224747"
01/01/2010 11.00,"3,60130073","7,23452426","9,20008894","0,03649013","67,62389655",,"0,25120714"
01/01/2010 12.00,"3,70785894","6,9310325","9,2078727","0,0300104","80,6471169",,"0,16604051"
01/01/2010 13.00,"3,65006487","8,41088035","11,35955337","0,04504473","84,155484",,"0,2623199"
01/01/2010 14.00,"3,80358","9,19490169","13,74663374","0,02868696","82,14861375",,"0,3060031"
01/01/2010 15.00,"3,48751776","12,66171523","19,91957928","0,02973313","79,6179762",,"0,84120647"
01/01/2010 16.00,"2,94750398","13,58062243","21,08232384","0,04810751","78,82223055",,"0,6567908"
01/01/2010 17.00,"2,93666683","5,97710702","7,40442841","0,03437682","87,1834551",,"0,49526069"
01/01/2010 18.00,"2,71903595","6,51924315","9,80188712","0,02919956","88,793859",,"0,37730497"
01/01/2010 19.00,"2,76689698","9,00295027","15,27965814","0,03447468","91,2263625",,"0,38126618"
01/01/2010 20.00,"2,2792587","19,53696896","28,67479936","0,03878169","78,51436215",,"0,68726928"
01/01/2010 21.00,"2,23952451","21,80666592","32,6305744","0,03862441","73,03900485",,"1,13191592"
01/01/2010 22.00,"1,68686841","25,59124048","35,72904688","0,04439233","66,27399975",,"1,06567565"
01/01/2010 23.00,"2,4029737","27,27083688","37,78410272","0,03496864","63,17903655",,"1,14842081"
02/01/2010 0.00,"2,68110896","34,27837424","45,17101912","0,08062616","52,52062935",,"0,9874409"
02/01/2010 1.00,"1,66700131","28,97050928","37,00524952","0,03407975","53,24732805",,"1,16536606"
02/01/2010 2.00,"1,79071733","18,49031913","22,7022276","0,0284493","71,77369605",,"0,59528163"
02/01/2010 3.00,"1,53425535","11,42634718","15,99883017","0,0284493","83,9369517",,"0,27123288"
02/01/2010 4.00,"1,16672071","7,41350658","8,64303922","0,0284493","89,9948889",,"0,14898542"
02/01/2010 5.00,"1,3112059","5,53873131","6,50886673","0,0284493","89,5449366",,"0,13369075"
02/01/2010 6.00,"1,71576545","3,69183874","4,64446597","0,0284493","84,37878435",,"0,13314056"
02/01/2010 7.00,"1,55231626","7,62880543","9,70072129","0,08570323",,,"1,7321483"
02/01/2010 8.00,"1,09176882","3,96809406","5,06403716","0,0284493","83,23664685",,"1,4689487"
02/01/2010 9.00,"1,09086573","8,38753483","10,35439776","0,03706331","73,98224085",,"0,29147932"
02/01/2010 10.00,"1,14775671","13,97490169","16,78933701","0,02902248","60,61661865",,"0,2886185"
02/01/2010 11.00,"1,40692695","24,94534776","38,94424696","0,09842736","39,18748575",,"0,44618638"
02/01/2010 12.00,"1,36448449","26,31367056","43,37146384","0,09998729","43,0138758",,"1,01583045"
02/01/2010 13.00,"1,13601748","20,94030048","36,53835824","0,11142643","52,65664845",,"0,87927786"
02/01/2010 14.00,"1,10350805","23,01415128","40,68605984","0,05759061","51,84807495",,"0,9283532"
02/01/2010 15.00,"1,49903664","24,25796464","40,80087544","0,15736005","50,91972165",,"1,08394097"
02/01/2010 16.00,"1,25250872","21,26648768","34,68758048","0,03650994","56,2536534",,"1,17229793"
02/01/2010 17.00,"1,17484755","13,72264006","20,98115992","0,09763632","62,04567705",,"0,93099434"
02/01/2010 18.00,"1,093574","13,88411419","21,47594728","0,05818243","64,36111395",,"1,03904754"
02/01/2010 19.00,"1,093574","14,33221816","24,51734656","0,09653074","60,4433928",,"0,89457252"
02/01/2010 20.00,"1,16491451","16,13695878","26,6534712","0,08250297","58,0758465",,"1,28860307"
02/01/2010 21.00,"1,09447709","22,48888664","34,9625452","0,13462041","52,6965684",,"1,34318038"
02/01/2010 22.00,"0,84072441","24,076382","39,8651044","0,22077915","51,1856352",,"1,35044176"
02/01/2010 23.00,"0,95541048","30,24998144","45,07698696","0,20505282","48,9879033",,"1,37442974"
03/01/2010 0.00,"1,16130213","34,76669904","51,50285568","0,41281193","37,3294425",,"1,16448534"
03/01/2010 1.00,"0,82988827","22,12444032","27,15215904","0,058716","50,8439316",,"1,00130566"
03/01/2010 2.00,"0,90845254","19,89105224","23,669126","0,11812401","49,05559365",,"0,4907503"
03/01/2010 3.00,"0,99424056","16,16678981","19,45331896","0,03530533","55,4579277",,"0,4207685"
03/01/2010 4.00,"0,79737885","8,78246417","9,89786187","0,0284493","68,3377275",,"0,20818397"
03/01/2010 5.00,,"8,1223041","9,13653789","0,03232176","71,264193",,"0,15404702"
03/01/2010 6.00,,"3,7878154","5,32408063","0,02876502","74,99653875",,"0,14799486"
03/01/2010 7.00,,"8,26691631","13,12084379","0,0284493","72,950367",,"0,13974292"
03/01/2010 8.00,,"7,41674934","8,35057205","0,03344715","76,32476985",,"0,12510829"
03/01/2010 9.00,,"6,4835767","7,4173975","0,03494884","69,35878845",,"0,13787164"
03/01/2010 10.00,,"7,02247008","8,01984385","0,0455981","60,0191361",,"0,23602231"
03/01/2010 11.00,,"8,0639403","12,75574548","0,06367541","51,3500631",,"0,35727922"
03/01/2010 12.00,,"8,06069755","11,09821165","0,16741633","47,62517865",,"0,54796774"
03/01/2010 13.00,,"6,72286733","11,96912956","0,19843445","51,7601154",,"0,592971"
03/01/2010 14.00,,"9,97373577","14,2835807","0,3930745","54,5979231",,"0,78618982"
03/01/2010 15.00,,"15,08446397","23,76575848","0,29207948","58,73625135",,"1,04014794"
03/01/2010 16.00,,"10,0249659","15,37693114","0,30984107","67,0175961",,"0,91756994"
03/01/2010 17.00,,"8,49777884","10,7253315","0,31061114","70,95969615",,"0,82140039"
03/01/2010 18.00,,"8,34927571","10,07554786","0,31709203","70,5821424",,"0,82415138"
03/01/2010 19.00,,"9,3070902","10,50549547","0,34848412","67,3024821",,"0,7108169"
03/01/2010 20.00,,"11,76615355","13,19152852","0,42687814","64,5066093",,"0,80214451"
03/01/2010 21.00,,"14,16944769","16,2361782","0,47901538","64,37128845",,"1,08140966"
03/01/2010 22.00,,"14,03715641","16,24979546","0,5429867","64,26910455",,"1,02089104"
03/01/2010 23.00,,"20,71332696","26,35971152","0,63967587","55,4917629",,"1,109248"
04/01/2010 0.00,,"19,71141984","23,78780384","0,51505116","54,40031835",,"1,33052585"
04/01/2010 1.00,,"20,074566","25,1087664","0,58117656","49,7917686",,"0,67043488"
04/01/2010 2.00,,"14,30173897","15,66875014","0,39457618","53,8170801",,"0,53245238"
04/01/2010 3.00,,"8,66379015","9,59761286","0,26325505","58,8607194",,"0,3821469"
04/01/2010 4.00,,"6,05038634","6,98420905","0,21210573","60,76548555",,"0,28465728"
04/01/2010 5.00,,"5,10618911","6,04001182","0,15291557","60,1071156",,"0,1738531"
04/01/2010 6.00,,"5,70733721","6,64050984","0,23620841","57,7997784",,"0,16306985"
04/01/2010 7.00,,"9,18971443","10,98018771","0,18737045",,,"0,16383972"
04/01/2010 8.00,,"10,14363991","11,1014544","0,32728578","46,98574125",,"0,1646106"
04/01/2010 9.00,,"20,56029048","23,07512496","0,3973617","38,1454773",,"0,25593822"
04/01/2010 10.00,,"41,61339896","57,16608496","0,89322997","20,1759936",,"0,65227939"
04/01/2010 11.00,,"51,66432408","102,7871698","1,50536407","15,39081254",,"1,66953974"
04/01/2010 12.00,,"32,89450688","53,71029792","0,78425354","31,1381994",,"1,29432471"
04/01/2010 13.00,,"31,19806576","52,17079376","1,04458444","34,7007108",,"2,1632607"
04/01/2010 14.00,,"24,9622116","36,99618664","0,60646522","44,6865237",,"1,85626705"
04/01/2010 15.00,,"25,8752872","35,76017424","0,61717273","48,36947325",,"1,11772165"
04/01/2010 16.00,,"28,58141728","39,42932136","0,55087025","42,80477985",,"1,89257801"
04/01/2010 17.00,,"24,085464","30,00679416","0,55456447","44,32317435",,"1,62464631"
04/01/2010 18.00,,"25,60162264","29,63261576","0,98270663","45,33068925",,"2,14158335"
04/01/2010 19.00,,"29,04314616","34,28548688","0,91673967","29,42834475",,"2,60361458"
04/01/2010 20.00,,"28,12033848","34,81985264","0,79330209","31,092873",,"2,08667653"
04/01/2010 21.00,,"22,58615008","36,21410216","0,6928989","41,1003516",,"1,41602198"
