Stat,Francavilla Fontana,,,,,,  ,
,,,,,,,,,,,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,
01/01/2014 1.00,"22,1","22,8","0,8","42,3","0,9",,,
01/01/2014 2.00,"22,6","25,5","0,7","48,0","0,8",,,
01/01/2014 3.00,"15,8","16,8","0,6","56,7","0,5",,,
01/01/2014 4.00,"10,5","11,6","0,5","60,7","0,4",,,
01/01/2014 5.00,"8,5","10,0","0,5","58,9","0,3",,,
01/01/2014 6.00,"6,5","7,8","0,4","60,6","0,2",,,
01/01/2014 7.00,"10,8","11,1","0,5","52,1","0,2",,,
01/01/2014 8.00,"12,2","13,7","0,5","49,8","0,3",,,
01/01/2014 9.00,"12,0","18,8","0,5","49,8","0,4",,,
01/01/2014 10.00,"16,6","24,2","0,6","44,1","0,5",,,
01/01/2014 11.00,"29,1","42,8","0,7","43,7","0,5",,, 
01/01/2014 12.00,"35,7","51,1","0,5","49,4","1,1",,,
01/01/2014 13.00,"43,7","72,6","0,5","47,0","1,3",,,
01/01/2014 14.00,"26,6","40,4","0,3","45,5","1,2",,,
01/01/2014 15.00,"16,0","18,4","0,2","48,6","0,8",,,
01/01/2014 16.00,"22,8","29,7","0,3","44,0","0,9",,,
01/01/2014 17.00,"27,7","33,3","0,5","37,3","0,9",,,
01/01/2014 18.00,"38,6","41,9","0,7","31,4","2,0",,,
01/01/2014 19.00,"39,7","44,1","0,7","22,4","2,5",,,
01/01/2014 20.00,"46,8","61,9","0,8","16,5","2,4",,,
01/01/2014 21.00,"54,9","73,4","0,9","12,0","2,8",,,
01/01/2014 22.00,"50,5","76,8","0,7","6,6","2,3",,,
01/01/2014 23.00,"37,4","49,9","0,6","9,7","1,5",,,
02/01/2014 0.00,"29,4","37,5","0,5","8,1","1,5",,,
02/01/2014 1.00,"24,3","31,4","0,4","10,3","1,2",,,
02/01/2014 2.00,"20,1","21,6","0,5","12,2","1,1",,,
02/01/2014 3.00,"18,1","19,5","0,3","15,3","1,0",,,
02/01/2014 4.00,"16,2","17,7","0,3","16,9","0,8",,,
02/01/2014 5.00,"18,6","21,1","0,3",,"0,9",,,
02/01/2014 6.00,"22,2","23,5","0,3","20,9","0,6",,,
02/01/2014 7.00,"41,0","77,0","0,4","5,3","0,9",,,
02/01/2014 8.00,"70,5","186,8","0,9","6,5","1,7",,,
02/01/2014 9.00,"82,4","279,4","1,1","7,1","2,8",,,
02/01/2014 10.00,"56,6","91,5","0,4","21,6","2,1",,,
02/01/2014 11.00,"46,0","73,4","0,3","20,2","1,3",,,
02/01/2014 12.00,"43,8","70,4","0,4","25,4","1,6",,,
02/01/2014 13.00,"40,3","66,1","0,7","33,0","2,0",,,
02/01/2014 14.00,"38,9","63,6","0,6","32,9","2,0",,,
02/01/2014 15.00,"38,4","56,3","0,6","38,9","1,4",,,
02/01/2014 16.00,"38,8","60,8","0,7","34,9","1,3",,,
02/01/2014 17.00,"51,6","74,4","1,0","29,2","1,6",,,
02/01/2014 18.00,"87,1","137,7","1,7","17,7","3,3",,,
02/01/2014 19.00,"104,3","221,6","2,8","23,6","6,4",,,
02/01/2014 20.00,"104,0","194,2","2,1","11,2","8,2",,,
02/01/2014 21.00,"94,2","154,1","1,6","9,0","5,0",,,
02/01/2014 22.00,"90,9","141,2","1,4","9,0","3,8",,,
02/01/2014 23.00,"67,6","81,5","1,0","11,7","2,7",,,
03/01/2014 0.00,"51,0","60,7","0,8","17,5","1,9",,,
03/01/2014 1.00,"51,8","58,1","0,9","15,0","1,7",,,
03/01/2014 2.00,"36,6","41,6","0,5","18,9","1,7",,,
03/01/2014 3.00,"21,2","27,1","0,4","21,6","0,7",,,
03/01/2014 4.00,"22,6","24,3","0,4","17,1","0,7",,,
03/01/2014 5.00,"25,5","27,3","0,5","19,8","2,2",,,
03/01/2014 6.00,"32,4","39,4","0,3","20,6","0,7",,,
03/01/2014 7.00,"70,3","101,4","0,5","8,8","0,6",,,
03/01/2014 8.00,"89,6","159,3","1,1","4,4","1,1",,,
03/01/2014 9.00,"95,5","191,9","1,2","6,0","1,7",,,
03/01/2014 10.00,"75,1","128,6","0,8","16,2","2,0",,,
03/01/2014 11.00,"63,4","110,3","0,7","19,8","1,5",,,
03/01/2014 12.00,"49,4","80,6","0,5","27,8","1,5",,,
03/01/2014 13.00,"41,0","63,4","0,6","40,0","1,5",,,
03/01/2014 14.00,"44,3","68,3","0,7","40,9","2,3",,,
03/01/2014 15.00,"37,0","51,2","0,7","42,2","1,4",,,
03/01/2014 16.00,"41,8","60,1","0,7","39,2","1,5",,,
03/01/2014 17.00,"57,4","84,3","0,9","30,5","2,2",,,
03/01/2014 18.00,"73,6","126,4","1,2","21,7","2,4",,,
03/01/2014 19.00,"92,0","146,5","1,7","19,2","4,0",,,
03/01/2014 20.00,"102,6","166,0","1,8","15,1","5,1",,,
03/01/2014 21.00,"103,5","194,1","2,0","11,7","5,2",,,
03/01/2014 22.00,"96,6","175,1","1,8","10,8","4,7",,,
03/01/2014 23.00,"73,2","98,7","1,1","7,5","3,6",,,
04/01/2014 0.00,"62,6","75,8","1,0","11,2","1,8",,,
04/01/2014 1.00,"49,9","63,3","0,6","14,6","1,3",,,
04/01/2014 2.00,"39,3","43,8","0,6","18,4","0,9",,,
04/01/2014 3.00,"31,9","33,3","0,5","21,7","0,8",,,
04/01/2014 4.00,"31,0","41,5","0,6","15,0","0,6",,,
04/01/2014 5.00,"31,8","35,3","0,6",,"0,8",,,
04/01/2014 6.00,"46,1","60,3","0,5","13,9","0,8",,,
04/01/2014 7.00,"72,7","121,5","1,5","6,7","1,0",,,
04/01/2014 8.00,"96,9","357,0","1,9","6,0","3,1",,,
04/01/2014 9.00,"99,3","222,9","1,2","7,4","3,3",,,
04/01/2014 10.00,"59,3","94,9","0,8","21,4","1,6",,,
04/01/2014 11.00,"45,0","72,1","0,6","24,3","1,5",,,
04/01/2014 12.00,"51,5","82,1","0,5","27,0","1,0",,,
04/01/2014 13.00,"45,4","68,0","0,6","38,6","1,2",,,
04/01/2014 14.00,"37,3","58,9","0,5","44,0","0,9",,,
04/01/2014 15.00,"27,5","39,5","0,5","51,4","1,0",,,
04/01/2014 16.00,"27,5","39,2","0,5","50,9","1,4",,,
04/01/2014 17.00,"43,7","64,6","0,7","41,5","1,2",,,
