MASSAFRA,,,,
,SO2,NO2,O3,BENZENE
01/01/2011 1.00,,,"19,988324","2,424477"
01/01/2011 2.00,"18,695642",,"31,776559","1,905248"
01/01/2011 3.00,"15,409482",,"36,922523","1,709628"
01/01/2011 4.00,"13,950809",,"43,33106","1,138226"
01/01/2011 5.00,"11,189491",,"45,192495","0,987558"
01/01/2011 6.00,"10,657549",,"43,623848","0,89374"
01/01/2011 7.00,"9,886848",,"41,89965","0,966404"
01/01/2011 8.00,"11,506277",,"40,803418","0,997168"
01/01/2011 9.00,"9,490662",,"43,101057",
01/01/2011 10.00,"12,090228",,"35,803806",
01/01/2011 11.00,"13,246292",,"16,868488",
01/01/2011 12.00,"13,912977",,"28,48453",
01/01/2011 13.00,"13,094983",,"32,519298",
01/01/2011 14.00,"11,475553",,"36,948299",
01/01/2011 15.00,"9,021571",,"42,084265",
01/01/2011 16.00,"8,730783",,"37,944722",
01/01/2011 17.00,"9,733179",,"34,500493",
01/01/2011 18.00,"10,730844",,"27,865721",
01/01/2011 19.00,"13,482704",,"29,501762",
01/01/2011 20.00,"13,468517",,"26,292904",
01/01/2011 21.00,"11,284052",,"27,594581",
01/01/2011 22.00,"10,614998",,"27,824962",
01/01/2011 23.00,"10,371488",,"29,549162",
02/01/2011 0.00,"12,295906",,"34,638567",
02/01/2011 1.00,"10,255651",,"44,804049",
02/01/2011 2.00,,,"47,356673",
02/01/2011 3.00,"10,049975",,"46,166456",
02/01/2011 4.00,"10,345483",,,
02/01/2011 5.00,"9,480214",,"51,718661",
02/01/2011 6.00,"10,506251",,"50,002541",
02/01/2011 7.00,"10,95071",,"54,018318",
02/01/2011 8.00,"11,314786",,"46,81064",
02/01/2011 9.00,"12,66471",,"47,246068",
02/01/2011 10.00,"11,865633",,"43,968584",
02/01/2011 11.00,"9,948316",,"43,720845",
02/01/2011 12.00,"10,792312",,"47,614784",
02/01/2011 13.00,"9,333638",,"41,917485",
02/01/2011 14.00,"10,038154",,"41,311703",
02/01/2011 15.00,"9,4944",,"45,911054",
02/01/2011 16.00,"10,118534",,"47,086388",
02/01/2011 17.00,"9,702446",,"47,420573",
02/01/2011 18.00,"9,068855",,"43,961183",
02/01/2011 19.00,"11,239131",,"42,560313",
02/01/2011 20.00,"11,946007",,"41,194017",
02/01/2011 21.00,"12,461392",,"41,473856",
02/01/2011 22.00,"12,749824",,"43,91839",
02/01/2011 23.00,"10,331306",,"46,199112",
03/01/2011 0.00,"7,659825",,"42,905167",
03/01/2011 1.00,"7,392678",,"48,09135",
03/01/2011 2.00,"6,754357",,"51,472536",
03/01/2011 3.00,"7,371401",,"52,579583",
03/01/2011 4.00,"8,664585",,"48,827165",
03/01/2011 5.00,"8,359611",,"40,455687",
03/01/2011 6.00,"7,421046",,"35,387232",
03/01/2011 7.00,"6,839467",,"32,106453",
03/01/2011 8.00,"7,05697",,"30,061118",
03/01/2011 9.00,"7,896239",,"29,028986",
03/01/2011 10.00,"8,62203",,"33,142697",
03/01/2011 11.00,"8,163387",,"36,436642",
03/01/2011 12.00,"7,707108",,"39,528091",
03/01/2011 13.00,"9,645705",,"46,227921",
03/01/2011 14.00,"7,48488",,"43,349614",
03/01/2011 15.00,"10,607909",,"41,844228",
03/01/2011 16.00,"13,376316",,"43,321646",
03/01/2011 17.00,"17,291339",,"43,342232",
03/01/2011 18.00,"15,525328",,"46,623829",
03/01/2011 19.00,"14,135211",,"41,931488",
03/01/2011 20.00,"11,2415",,"42,394869",
03/01/2011 21.00,"9,846658",,"32,346791",
03/01/2011 22.00,"10,284025",,"19,992454",
03/01/2011 23.00,"8,527465",,"24,094653",
04/01/2011 0.00,"8,544016",,"29,138451",
04/01/2011 1.00,"7,96007",,"35,272818",
04/01/2011 2.00,,,"42,207217",
04/01/2011 3.00,"6,11131",,"40,863128",
04/01/2011 4.00,"6,205878",,,
04/01/2011 5.00,"5,971825",,"51,115151",
04/01/2011 6.00,"7,028598",,"53,346958",
04/01/2011 7.00,"6,217697",,"49,381596",
04/01/2011 8.00,"5,792151",,"44,527323",
04/01/2011 9.00,"6,92694",,"47,686664",
04/01/2011 10.00,"6,917483",,"46,823988",
04/01/2011 11.00,"6,825284",,"47,334527",
04/01/2011 12.00,"8,822982",,"45,86527",
04/01/2011 13.00,"11,425903",,"44,473179",
04/01/2011 14.00,"11,007448",,"45,300566",
04/01/2011 15.00,"11,357337",,"50,667813",
04/01/2011 16.00,"10,546442",,"50,193382",
04/01/2011 17.00,"12,555963",,"40,222194",
04/01/2011 18.00,"13,8917",,"26,485101",
04/01/2011 19.00,"12,896404",,"24,754019",
04/01/2011 20.00,"16,69321",,"20,378267",
04/01/2011 21.00,"12,837296",,"20,524381",
04/01/2011 22.00,"9,997963",,"23,476821",
04/01/2011 23.00,"10,340754",,"14,548874",
05/01/2011 0.00,"15,043036",,"11,403526",
05/01/2011 1.00,"11,534651",,"26,74529",
05/01/2011 2.00,"11,300599",,"37,931294",
05/01/2011 3.00,"9,950679",,"47,554495",
05/01/2011 4.00,"11,726152",,"51,404926",
05/01/2011 5.00,"10,747392",,"54,130813",
05/01/2011 6.00,"11,395169",,"52,667341",
05/01/2011 7.00,"11,014536",,"42,995723",
05/01/2011 8.00,"12,818379",,"27,284578",
05/01/2011 9.00,"15,189616",,"23,050829",
05/01/2011 10.00,"15,000485",,"27,952704",
05/01/2011 11.00,"18,650722",,"24,475757",
05/01/2011 12.00,"28,86853",,"24,373973",
05/01/2011 13.00,"22,085822",,"18,670987",
05/01/2011 14.00,"15,071411",,"21,753121",
05/01/2011 15.00,"15,430757",,"25,036371",
05/01/2011 16.00,"12,636347",,"19,908771",
05/01/2011 17.00,"13,054802",,"11,435538",
05/01/2011 18.00,"15,430757",,"7,297008",
05/01/2011 19.00,"14,546567",,"9,881742",
05/01/2011 20.00,"15,931955",,"8,497854",
05/01/2011 21.00,"13,40233",,"16,392417",
05/01/2011 22.00,"13,754579",,"8,171993",
05/01/2011 23.00,"10,021603",,"11,75073",
06/01/2011 0.00,"0,607584",,"15,195674",
06/01/2011 1.00,"0,586308",,"6,941596",
06/01/2011 2.00,,,"9,544389",
06/01/2011 3.00,,,"14,355984",
06/01/2011 4.00,,,,
06/01/2011 5.00,,,"9,852009",
06/01/2011 6.00,,,"8,278901",
06/01/2011 7.00,,,"0,962574",
06/01/2011 8.00,,,"7,743762",
06/01/2011 9.00,"2,855886",,"2,337226",
06/01/2011 10.00,"0,898375",,"3,518438",
06/01/2011 11.00,"8,671678",,"2,686515",
06/01/2011 12.00,"0,652503",,"11,739901",
06/01/2011 13.00,"0,087474",,"16,097216",
06/01/2011 14.00,,,"22,522174",
06/01/2011 15.00,,,"33,941495",
06/01/2011 16.00,"2,307405",,"25,363552",
06/01/2011 17.00,"3,316895",,"18,592319",
06/01/2011 18.00,"6,439925",,"4,537077",
06/01/2011 19.00,"14,028823",,"0,678464",
06/01/2011 20.00,"12,381018",,"0,568964",
06/01/2011 21.00,"19,941548",,"0,066437",
06/01/2011 22.00,"23,818739",,"0,002155",
06/01/2011 23.00,"9,13505",,"0,016181",
07/01/2011 0.00,"22,471184",,,
07/01/2011 1.00,"19,414347",,"1,120492",
07/01/2011 2.00,"9,879755",,"12,371132",
07/01/2011 3.00,"10,083073",,"22,408699",
07/01/2011 4.00,"10,113805",,"29,121114",
07/01/2011 5.00,"5,960006",,"26,687315",
07/01/2011 6.00,"8,645673",,"21,986218",
07/01/2011 7.00,"10,719027",,"7,04709",
07/01/2011 8.00,"24,081155",,"0,69423",
07/01/2011 9.00,"34,949062",,,
07/01/2011 10.00,"26,492584",,"0,507346",
07/01/2011 11.00,"16,291312",,"6,002494",
07/01/2011 12.00,"13,634013",,"8,67404",
07/01/2011 13.00,"11,480272",,"14,176186",
07/01/2011 14.00,"13,069985",,,
07/01/2011 15.00,"12,374022",,,"2,340219"
07/01/2011 16.00,,,,"2,893467"
07/01/2011 17.00,"14,097389",,"12,00167","2,894941"
07/01/2011 18.00,"19,036083",,"1,501038","4,137817"
07/01/2011 19.00,"19,211028",,"1,014982","5,215379"
07/01/2011 20.00,"17,428461",,"2,225822","4,889431"
07/01/2011 21.00,"14,132841",,"3,483368","3,872634"
07/01/2011 22.00,"13,409419",,"5,063102","4,089204"
07/01/2011 23.00,"10,480246",,"10,41531","3,005031"
08/01/2011 0.00,"10,461329",,"12,866507","2,397679"
08/01/2011 1.00,"9,707174",,"27,391429","1,553823"
08/01/2011 2.00,,,"20,640909","1,190856"
08/01/2011 3.00,"7,910425",,"31,749588","0,968845"
08/01/2011 4.00,"8,749695",,,"0,846195"
08/01/2011 5.00,"9,562959",,"29,595327","0,840347"
