NetC,Provincia di TARANTO,,,,,,
Stat,Massafra (TA) Via Frappietro,,,,,,
Parm,CO,SO2,NOX,NO,NO2,O3,BENZENE
PtId,1,2,3,4,5,6,7
Unit,mg/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K
Arch,2,2,2,2,2,2,2
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver
01/01/2013 1.00,,"3,054807","11,848176","3,85809","16,750334","47,883531","1,695136"
01/01/2013 2.00,,"3,087325","7,086046","1,279827","11,594534","56,196936","1,33466"
01/01/2013 3.00,,"3,06113","6,825572","1,276443","11,101343","57,653167","1,172143"
01/01/2013 4.00,,"2,978031","5,951899","1,212579","9,527679","55,390257","0,972405"
01/01/2013 5.00,,"3,215587","4,446373","0,807822","7,268084","57,030646","1,011864"
01/01/2013 6.00,,"2,699829","3,545905","0,590428","5,878712","58,455614","0,845585"
01/01/2013 7.00,,"3,025903","5,1932","1,246414","8,024094","60,063066","0,907927"
01/01/2013 8.00,,"2,838027","16,66932","7,537273","20,329855","43,14401","1,117174"
01/01/2013 9.00,,"3,123455","16,396626","5,908519","22,30717","36,76747","1,63198"
01/01/2013 10.00,,"2,716088","27,451156","14,865188","29,716073","34,935342","2,153599"
01/01/2013 11.00,,"2,474015","15,815307","7,414621","18,88403","63,860769","1,755749"
01/01/2013 12.00,,"2,577889","15,205845","7,565188","17,486878","75,119592","1,425783"
01/01/2013 13.00,,"2,856092","17,802102","7,811342","22,076793","73,984337","1,355051"
01/01/2013 14.00,,"3,005128","14,532272","5,645871","19,142962","77,752474","1,708865"
01/01/2013 15.00,,"2,72783","7,567311","1,874063","11,603618","86,833695","1,363238"
01/01/2013 16.00,,"3,056614","14,97929","4,196021","22,222793","76,808954","1,667473"
01/01/2013 17.00,,"3,034936","17,578257","3,518889","28,234542","64,789083","1,66788"
01/01/2013 18.00,,"3,025903","57,58611","33,998295","58,018758","13,23622","2,761664"
01/01/2013 19.00,,"3,292363","74,129595","51,988189","62,070073","6,752419","3,148937"
01/01/2013 20.00,,"3,401657","80,220215","57,961843","64,558086","6,116371","3,685099"
01/01/2013 21.00,,"3,402561","70,14447","47,555332","61,246578","10,192825","3,462631"
01/01/2013 22.00,,"3,241782","44,907335","23,549483","49,791558","16,242459","2,823395"
01/01/2013 23.00,,"2,594147","37,48145","18,044027","44,0303","22,640956","1,73551"
02/01/2013 0.00,,"2,100067","34,563339","16,842867","40,289835","21,10363","1,901383"
02/01/2013 1.00,,"1,848963","24,047358","8,437298","33,06588","29,385771","1,762563"
02/01/2013 2.00,,"1,999806","15,746121","3,365361","24,964562","32,930069","1,606097"
02/01/2013 3.00,,"1,867931",,,,"43,729361","1,514618"
02/01/2013 4.00,,"1,757734","5,441127","1,111917","8,704827",,"1,088139"
02/01/2013 5.00,,"2,595954","6,796405","0,995186","11,47708","37,342708","1,364051"
02/01/2013 6.00,,"2,464982","19,578268","7,906928","25,328607","28,144063","1,435546"
02/01/2013 7.00,,"2,56976","62,8495","43,988649","52,761083","5,269996","3,281605"
02/01/2013 8.00,,"2,604083","68,07257","50,69272","52,468416","4,287626","3,399831"
02/01/2013 9.00,,"2,595954","69,235544","51,857078","52,907103","8,312555","2,793597"
02/01/2013 10.00,,"2,469499","60,001255","37,948167","56,580075","24,054115","3,648081"
02/01/2013 11.00,,"2,370141","38,17503","18,065601","45,324283","33,337209","2,855075"
02/01/2013 12.00,,"2,091938","28,232591","12,635415","34,632418","46,903706","3,424646"
02/01/2013 13.00,,"2,059421","29,394207","12,141429","37,612978","50,475873","3,644419"
02/01/2013 14.00,,"2,11181","16,486166","5,605691","22,94312","72,449541","2,722763"
02/01/2013 15.00,,"2,143423","17,322195","5,561283","24,610882","74,666846","1,230926"
02/01/2013 16.00,,"2,197619","22,579821","5,606114","34,601904","63,924132","1,657354"
02/01/2013 17.00,,"2,321365","63,938559","45,837748","52,00768","34,723334","2,358423"
02/01/2013 18.00,,"2,462273","108,007501","87,548423","72,329751","6,185633","7,520817"
02/01/2013 19.00,,"2,457756","102,952325","80,028073","74,196077","6,079204","5,059778"
02/01/2013 20.00,,"2,541758","101,63366","78,168804","74,525745","6,65528","4,893855"
02/01/2013 21.00,,"2,567953","101,942636","79,435108","73,174018","6,589395","4,245975"
02/01/2013 22.00,,"2,505629","59,785887","35,594057","59,77933","8,105606","3,123054"
02/01/2013 23.00,,"2,642924","42,477603","19,905823","50,73316","11,893177","2,852736"
03/01/2013 0.00,,"2,560728","28,619235","9,141499","40,733055","23,744949","2,090393"
03/01/2013 1.00,,"2,502015","10,223605","2,129097","16,294779","52,450763","1,143261"
03/01/2013 2.00,,"2,581502","5,318012","1,249375","8,258359","60,579172","0,802616"
03/01/2013 3.00,,"2,558017","2,794331","0,754108","4,189532","67,203191","0,615692"
03/01/2013 4.00,,"2,502919","10,714702","1,291246","18,519979","51,045209","0,655863"
03/01/2013 5.00,,"2,561631","6,533218","0,81036","11,257094","57,334724","0,657033"
03/01/2013 6.00,,"2,410787","5,190826","0,889027","8,567903","67,044387","0,600538"
03/01/2013 7.00,,"0,767767","14,954189","4,706937","21,390862","58,323864","0,917486"
03/01/2013 8.00,,"1,673731","16,797517","5,046983","24,396088","52,710073","0,947844"
03/01/2013 9.00,,"2,520081","17,146508","4,443865","25,989223","44,209999","1,277759"
03/01/2013 10.00,,"2,461369","34,656261","18,595963","37,777793","35,506371","2,981488"
03/01/2013 11.00,,"2,14794","7,162696","2,228911","10,284981","76,889197","1,168126"
03/01/2013 12.00,,"1,988967","8,572239","4,101705","10,108476","86,433316","0,986744"
03/01/2013 13.00,,"1,836317","9,910222","3,364514","13,799617","83,061327","0,807803"
03/01/2013 14.00,,"1,978128","11,21903","3,733321","15,737992","81,645632","1,025492"
03/01/2013 15.00,,"1,961869","11,243111","3,186878","16,622496","85,390131","1,216027"
03/01/2013 16.00,,"2,179554","10,41523","2,116831","16,680251","83,158465","1,399697"
03/01/2013 17.00,,"2,239169","13,745431","2,497057","22,468753","69,463586","1,484159"
03/01/2013 18.00,,"2,460466","16,492274","3,464329","26,240364","63,141091","1,916689"
03/01/2013 19.00,,"2,477628","14,495642","3,42288","22,483666","65,897306","2,201245"
03/01/2013 20.00,,"2,435175","19,74073","4,814365","30,384471","56,638707","2,124055"
03/01/2013 21.00,,"2,426142","22,973253","6,596647","33,834866","44,798741","2,219297"
03/01/2013 22.00,,"2,494789","23,085851","6,9202","33,55388","24,954538","2,639267"
03/01/2013 23.00,,"2,535436","15,989977","4,04926","24,381805","32,742558","2,231705"
04/01/2013 0.00,,"2,700732","10,77846","2,951721","16,094259","45,792093","1,501702"
04/01/2013 1.00,,"2,668214","3,311886","0,778217","5,142817","71,576135","0,88718"
04/01/2013 2.00,,"2,751314","3,919659","0,691513","6,438742","64,942819","0,753139"
04/01/2013 3.00,,"2,628471",,,,"61,60123","0,751563"
04/01/2013 4.00,,"2,599567","4,242879","0,553633","7,268734",,"0,731223"
04/01/2013 5.00,,"2,611309","2,73803","0,505841","4,462732","64,522151","0,739461"
04/01/2013 6.00,,"2,590535","6,243915","1,406287","9,789201","55,08955","0,80043"
04/01/2013 7.00,,"2,873254","10,485088","1,727723","17,410945","44,171156","0,923639"
04/01/2013 8.00,,"2,857898","21,096682","9,221858","26,216349","37,023409","1,073698"
04/01/2013 9.00,,"2,699829","16,884345","7,732673","20,441478","42,498666","1,093377"
04/01/2013 10.00,,"2,449626","12,257876","4,7044","16,235731","49,750294","1,162482"
04/01/2013 11.00,,"2,420723","10,326022","4,055603","13,534852","58,722546","1,212315"
04/01/2013 12.00,,"2,410787","7,52424","2,359601","10,776231","74,100905","0,972455"
04/01/2013 13.00,,"2,544469","9,881394","3,476172","13,573141","73,754574","1,138074"
04/01/2013 14.00,,"2,612212","6,908327","2,380326","9,565965","81,516402","1,086461"
04/01/2013 15.00,,"2,637504","8,026534","2,998246","10,757413","83,222658","1,124293"
04/01/2013 16.00,,"2,879577","8,747924","2,705568","12,586757","82,38305","1,115191"
04/01/2013 17.00,,"2,436981","8,849673","2,033934","13,811955","79,379332","1,208247"
04/01/2013 18.00,,"2,809123","13,249573","3,085795","20,616674","67,979467","1,832634"
04/01/2013 19.00,,"2,68899","19,757345","5,372227","29,560321","54,762649","2,2823"
04/01/2013 20.00,,"2,753121","35,173475","14,630876","44,851199","28,20912","2,640132"
04/01/2013 21.00,,"3,11081","38,761765","20,241639","43,108161","29,515846","2,290081"
04/01/2013 22.00,,"2,606794","25,216106","8,72659","34,858245","34,890575","2,792733"
04/01/2013 23.00,,"2,343043","19,54842","5,154411","29,494778","39,053181","1,988387"
05/01/2013 0.00,,"2,543566","4,565418","1,07766","7,081839","73,127819","1,156685"
05/01/2013 1.00,,"2,491177","3,15723","0,492306","5,285584","78,132602","0,831601"
05/01/2013 2.00,,"2,127165","5,270189","1,024792","8,511445","71,011883","0,845585"
05/01/2013 3.00,,"2,329494","3,162997","0,48723","5,304402","72,411535","0,770377"
05/01/2013 4.00,,"2,291557","1,898272","0,372614","3,060382","81,952267","0,585487"
05/01/2013 5.00,,"1,952837","2,112282","0,415331","3,404318","77,92987","0,549078"
05/01/2013 6.00,,"2,203942","3,248125","0,484693","5,471178","77,466965","0,538654"
05/01/2013 7.00,,"2,143423","6,482005","1,035365","10,813866","73,109227","0,564994"
05/01/2013 8.00,,"2,11452","17,292683","6,223612","23,538192","64,013668","0,669135"
05/01/2013 9.00,,"1,693603","32,2628","12,110981","43,148408","31,052334","1,899807"
05/01/2013 10.00,,"2,2202","15,920107","4,720047","23,218906","54,159561","1,536026"
05/01/2013 11.00,,"1,582503","24,910186","9,517918","33,058729","49,713962","1,22696"
05/01/2013 12.00,,"1,779412","16,513643","6,409283","21,762708","56,893809","1,433461"
05/01/2013 13.00,,"1,906771","13,440517","4,558483","18,722451","67,681272","1,136955"
05/01/2013 14.00,,"2,098261","10,522737","3,461792","14,822346","74,220006","1,512075"
05/01/2013 15.00,,"1,970902","8,059093","2,290238","11,906028","76,509929","1,362678"
05/01/2013 16.00,,"2,329494","8,276832","2,165893","12,513428","72,201201","1,276081"
05/01/2013 17.00,,"2,012452","9,93905","2,083842","15,819753","64,141209","1,26286"
05/01/2013 18.00,,"1,810123","15,856349","3,610667","24,799079","52,647569","1,837668"
05/01/2013 19.00,,"2,524597","38,667483","17,486157","47,155578","28,889096","3,010625"
05/01/2013 20.00,,"2,435175","62,147452","41,958083","54,533335","11,076358","3,425866"
05/01/2013 21.00,,"2,530016","76,223901","57,607409","57,455484","10,412439","4,195176"
05/01/2013 22.00,,"2,713377","31,097799","20,110094","28,645965","27,714978","3,136784"
05/01/2013 23.00,,"2,857898","8,086903","1,975144","12,442694","47,440919","1,176313"
06/01/2013 0.00,,"2,996999","6,282918","1,319584","9,99686","49,387083","0,943115"
06/01/2013 1.00,,"3,109906","4,811986","0,860689","7,88652","51,517384","0,855348"
06/01/2013 2.00,,"3,360108","2,563025","0,607346","3,972138","66,508011","0,624438"
06/01/2013 3.00,,"3,028614",,,,"81,351691","0,449819"
06/01/2013 4.00,,"3,173135","1,245052","0,419561","1,738499",,"0,42114"
06/01/2013 5.00,,"3,151456","1,03613","0,373882","1,40884","89,866111","0,381477"
06/01/2013 6.00,,"2,625762","1,510275","0,403065","2,271276","87,309264","0,390681"
06/01/2013 7.00,,"2,981644","1,637798","0,458471","2,430267","88,169984","0,390681"
06/01/2013 8.00,,"2,749306","1,69617","0,323976","2,743699","88,876571","0,435073"
06/01/2013 9.00,,"3,079195","2,554883","0,6784","3,847542","89,887222","0,525179"
06/01/2013 10.00,,"2,742281","3,904736","1,123761","5,746979","85,712801","0,683932"
06/01/2013 11.00,,"2,691699","4,227277","1,616066","5,608754","86,062488","0,723494"
06/01/2013 12.00,,"2,72783","4,518274","1,71715","6,010444","83,131433","0,756953"
06/01/2013 13.00,,"2,804606","5,251874","2,150244","6,749585","83,740465","0,793209"
06/01/2013 14.00,,"2,857898","4,473506","1,738297","5,89234","81,745305","1,041764"
06/01/2013 15.00,,"3,250814","3,998684","1,389791","5,518552","80,497714","1,058189"
06/01/2013 16.00,,"2,892222","4,314441","1,362724","6,164244","77,674765","0,939047"
06/01/2013 17.00,,"2,780219","5,491659","1,492991","8,216829","73,007028","0,945962"
06/01/2013 18.00,,"2,690796","9,641608","2,208186","15,059856","64,316049","1,203975"
06/01/2013 19.00,,"2,860608","18,951513","7,316498","25,035288","52,407692","1,51411"
06/01/2013 20.00,,"2,805509","22,251185","6,651206","32,369565","34,023089","2,525262"
06/01/2013 21.00,,"3,220104","26,637524","9,314481","36,675905","26,044187","2,180092"
06/01/2013 22.00,,"2,995193","29,855133","14,119531","35,459797","19,212375","2,399815"
06/01/2013 23.00,,"2,837123","16,21009","5,711428","22,252659","30,368988","1,951725"
07/01/2013 0.00,,"2,616729","8,093687","1,938772","12,511485","44,4727","1,149362"
07/01/2013 1.00,,"2,819962","7,196951","1,7015","11,159749","50,423506","0,768852"
07/01/2013 2.00,,"2,666408","6,533556","1,72011","9,861881","50,884711","0,688662"
07/01/2013 3.00,,"2,614019","2,150268","0,494422","3,355648","64,667448","0,507991"
07/01/2013 4.00,,"2,571567","2,235057","0,395875","3,669084","67,662702","0,45226"
