,,ARPA Puglia,,,,
,,Via Garilliano,,,,
Parm,SO2,NO2,CO,,PM10,Benzene
,,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,
01/01/2008 1.00,,,,,"23,63166046",
01/01/2008 2.00,"1,16472697","50,00047866","0,73463265",,"23,63166046",
01/01/2008 3.00,"1,60522902","52,31377008","0,6977648",,"23,63166046",
01/01/2008 4.00,"1,610672","33,11460999","0,5462247",,"23,63166046",
01/01/2008 5.00,"1,38453996","19,31271606","0,43354655",,"23,63166046",
01/01/2008 6.00,"0,55058599","17,71651451","0,43315555",,"23,63166046",
01/01/2008 7.00,"0,223938","23,33959848","0,40148685",,"23,63166046",
01/01/2008 8.00,"0,43988901","14,11707053","0,35347665",,"23,63166046",
01/01/2008 9.00,"0,94421101","6,7561363","0,35003585",,"23,63166046",
01/01/2008 10.00,"2,91857791","9,44327835","0,2970197",,"23,63166046",
01/01/2008 11.00,"2,12684798","4,18765525","0,32020485",,"23,63166046",
01/01/2008 12.00,"1,81600201","4,48750358","0,356408",,"23,63166046",
01/01/2008 13.00,"1,63516295","11,38782041","0,4517269",,"23,63166046",
01/01/2008 14.00,"2,7233429","11,6276987","0,4473477",,"23,63166046",
01/01/2008 15.00,"1,49778104","4,53726544","0,3968351",,"23,63166046",
01/01/2008 16.00,"0,94763499","4,94046343","0,3847923",,"23,63166046",
01/01/2008 17.00,"0,91866702","15,49636833","0,4221305",,"23,63166046",
01/01/2008 18.00,"0,281349","23,51823705","0,46873425",,"23,63166046",
01/01/2008 19.00,"1,325109","21,61197522","0,5122491",,"23,63166046",
01/01/2008 20.00,"1,25172102","19,06517646","0,4783517",,"23,63166046",
01/01/2008 21.00,"0,96528","12,4060264","0,4284647",,"23,63166046",
01/01/2008 22.00,"0,744151","10,66946275","0,3996503",,"23,63166046",
01/01/2008 23.00,"1,01435196","13,55310158","0,3856525",,"23,63166046",
02/01/2008 0.00,"0,27976999","11,06117912","0,3962877",,"23,63166046",
02/01/2008 1.00,"0,57130301","12,64718001","0,40371555",,"25,89011002",
02/01/2008 2.00,"0,48062",,"0,34080825",,"25,89011002",
02/01/2008 3.00,,"17,15254556","0,37376725",,"25,89011002",
02/01/2008 4.00,"0,044194","10,22032886",,,"25,89011002",
02/01/2008 5.00,"0,001623","7,84706927","0,3461776",,"25,89011002",
02/01/2008 6.00,"0,20180599","11,23981016","0,35861255",,"25,89011002",
02/01/2008 7.00,"0,166934","42,76968894","0,5256788",,"25,89011002",
02/01/2008 8.00,"0,24073","46,03866003","0,58997185",,"25,89011002",
02/01/2008 9.00,"0,179794","55,37223846","0,7731105",,"25,89011002",
02/01/2008 10.00,"0,35761899","40,29310791","0,61687725",,"25,89011002",
02/01/2008 11.00,"1,00844598","40,75624773","0,6478111",,"25,89011002",
02/01/2008 12.00,"8,43304634","24,19449417","0,5512939",,"25,89011002",
02/01/2008 13.00,"16,38821983","17,22017316","0,5239193",,"25,89011002",
02/01/2008 14.00,"15,98855019","13,12055623","0,50784575",,"25,89011002",
02/01/2008 15.00,"17,03116989","8,86527527","0,50741565",,"25,89011002",
02/01/2008 16.00,"10,90404987","26,56263555","0,63975535",,"25,89011002",
02/01/2008 17.00,"5,52066517","35,97784938","0,6889121",,"25,89011002",
02/01/2008 18.00,"2,43972993","42,0474978","0,71820375",,"25,89011002",
02/01/2008 19.00,"1,74395502","33,23456136","0,59349085",,"25,89011002",
02/01/2008 20.00,"2,77238107","35,9114877","0,64350895",,"25,89011002",
02/01/2008 21.00,"1,13257599","47,15001126","0,7133151",,"25,89011002",
02/01/2008 22.00,"0,94623703","51,2764362","0,7092487",,"25,89011002",
02/01/2008 23.00,"0,432978","45,83325483","0,73951785",,"25,89011002",
03/01/2008 0.00,"0,179851","35,66012967","0,78249565",,"25,89011002",
03/01/2008 1.00,"0,102466","26,20409814","0,64472105",,"43,00107956",
03/01/2008 2.00,"0,014192","33,05082528","0,6751075",,"43,00107956",
03/01/2008 3.00,"0,049988","29,80610028","0,6357269",,"43,00107956",
03/01/2008 4.00,"0,059546","30,42237231","0,6212576",,"43,00107956",
03/01/2008 5.00,"0,093662","32,7254499","0,71714805",,"43,00107956",
03/01/2008 6.00,"0,24710301","43,28775396","0,810497",,"43,00107956",
03/01/2008 7.00,"0,60935301","58,67692974","0,99164155",,"43,00107956",
03/01/2008 8.00,"5,52240419","90,09073953","1,8308437",,"43,00107956",
03/01/2008 9.00,"4,03852701","81,53168166","1,78782565",,"43,00107956",
03/01/2008 10.00,"7,02898979","81,27520731","1,58755775",,"43,00107956",
03/01/2008 11.00,"9,89445114","48,22182387","0,81409535",,"43,00107956",
03/01/2008 12.00,"11,43577957","17,00326","0,5122652",,"43,00107956",
03/01/2008 13.00,"11,06739044","19,71590841","0,4735102",,"43,00107956",
03/01/2008 14.00,"6,37213898","11,57921216","0,4630682",,"43,00107956",
03/01/2008 15.00,"5,49286318","11,85992132","0,49044395",,"43,00107956",
03/01/2008 16.00,"5,68053722","17,63612997","0,52849515",,"43,00107956",
03/01/2008 17.00,"5,74483013","42,59488761","0,6754594",,"43,00107956",
03/01/2008 18.00,"3,088238","48,66585273","0,77733445",,"43,00107956",
03/01/2008 19.00,"5,47681904","76,8183471","0,92785795",,"43,00107956",
03/01/2008 20.00,"4,80125999","71,58057093","0,9248852",,"43,00107956",
03/01/2008 21.00,"3,2755599","69,93460188","0,9361874",,"43,00107956",
03/01/2008 22.00,"3,63352799","60,34968423","0,84107895",,"43,00107956",
03/01/2008 23.00,"3,41805291","39,63088305","0,65516305",,"43,00107956",
04/01/2008 0.00,"5,07755423","19,96472709","0,4643976",,"43,00107956",
04/01/2008 1.00,"4,92116213","17,15509808","0,4234139",,"27,98493958",
04/01/2008 2.00,"3,38167596",,"0,3636967",,"27,98493958",
04/01/2008 3.00,,"18,75385967","0,336283",,"27,98493958",
04/01/2008 4.00,"1,26752603","16,91394448",,,"27,98493958",
04/01/2008 5.00,"0,87392998","12,82326042","0,3234191",,"27,98493958",
04/01/2008 6.00,"1,07665801","22,30480395","0,34467455",,"27,98493958",
04/01/2008 7.00,"0,67212701","24,9524055","0,3727035",,"27,98493958",
04/01/2008 8.00,"1,30574596","28,27624536","0,46289455",,"27,98493958",
04/01/2008 9.00,"1,29060602","33,65562321","0,49530615",,"27,98493958",
04/01/2008 10.00,"1,12587094","39,86055315","0,5673732",,"27,98493958",
04/01/2008 11.00,"2,60406399","32,22401292","0,54314155",,"27,98493958",
04/01/2008 12.00,"3,9526329","30,39174963","0,49882975",,"27,98493958",
04/01/2008 13.00,"4,48178101","28,19203299","0,4939365",,"27,98493958",
04/01/2008 14.00,"3,58482504","26,40824307","0,43533595",,"27,98493958",
04/01/2008 15.00,"2,53666091","20,02341429","0,3773219",,"27,98493958",
04/01/2008 16.00,"2,00693798","22,36988655","0,42406135",,"27,98493958",
04/01/2008 17.00,"1,04333103","28,93717233","0,4665734",,"27,98493958",
04/01/2008 18.00,"1,56315303","29,54324934","0,4383892",,"27,98493958",
04/01/2008 19.00,"0,53962201","26,74509255","0,39759985",,"27,98493958",
04/01/2008 20.00,,"28,75343625","0,4223789",,"27,98493958",
04/01/2008 21.00,,"28,25199927","0,3828419",,"27,98493958",
04/01/2008 22.00,,"17,57998965","0,2878749",,"27,98493958",
