,Comune Lecce,,,,,,
,Via Garilliano,,,,,,
Parm,NOX,NO2,CO,Benzene,SO2,PM10,PM2.5



01/01/2010 1.00,"25,13536232","17,1356308","0,2180216","0,61713086","4,15914354","23,37783051","2,94261289"
01/01/2010 2.00,"23,09003856","15,97743106","0,18592585","0,64306436","4,31308073","23,37783051","2,94261289"
01/01/2010 3.00,"21,03043216","14,59874714","0,1660626","0,53592341","4,80848787","23,37783051","2,94261289"
01/01/2010 4.00,"20,37935792","13,46778384","0,16020265","0,50042909","4,25541683","23,37783051","2,94261289"
01/01/2010 5.00,"22,427282","15,95019462","0,16150046","0,44801291","4,13779773","23,37783051","2,94261289"
01/01/2010 6.00,"25,2676536","18,85671569","0,19249528","0,44076068","4,94695751","23,37783051","2,94261289"
01/01/2010 7.00,"26,30133816","20,36897576","0,20787445","0,41449666","4,10153964","23,37783051","2,94261289"
01/01/2010 8.00,"20,94353176","14,5131469","0,20673275","0,4593311","4,22763646","23,37783051","2,94261289"
01/01/2010 9.00,"16,50140893","9,5146053","0,22152242","0,44779324","4,40502261","23,37783051","2,94261289"
01/01/2010 10.00,"15,5572117","8,15018871","0,21959551","0,49933073","4,10680058","23,37783051","2,94261289"
01/01/2010 11.00,"17,59994662","9,28893194","0,23737341","0,48878139","3,64969163","23,37783051","2,94261289"
01/01/2010 12.00,"19,88132016","10,70393239","0,27922371","0,54713176","4,66556479","23,37783051","2,94261289"
01/01/2010 13.00,"25,45441776","14,95152452","0,26754225","0,66723946","4,98841043","23,37783051","2,94261289"
01/01/2010 14.00,"12,67273982","5,71965814","0,21330218","0,55537353","4,23493648","23,37783051","2,94261289"
01/01/2010 15.00,"11,6053295","5,58607052","0,22352855","0,41592554","4,55970119","23,37783051","2,94261289"
01/01/2010 16.00,"15,27057996","8,86093074","0,24618431","0,38317916","4,68028892","23,37783051","2,94261289"
01/01/2010 17.00,"20,65430352","13,1746685","0,28889903","0,45977045","4,60600724","23,37783051","2,94261289"
01/01/2010 18.00,"29,20008312","20,48830368","0,33366066","0,51614377","4,2758331","23,37783051","2,94261289"
01/01/2010 19.00,"34,7614984","25,08088944","0,34837112","0,61932859","4,48211325","23,37783051","2,94261289"
01/01/2010 20.00,"30,95229728","21,6607612","0,33527302","0,64745983","4,4362679","23,37783051","2,94261289"
01/01/2010 21.00,"26,6865488","19,12906288","0,33849774","0,55207642","4,03125477","23,37783051","2,94261289"
01/01/2010 22.00,"26,59834824","19,3742004","0,34459535","0,54284612","3,89631108","23,37783051","2,94261289"
01/01/2010 23.00,"19,47666448","12,86469124","0,30789785","0,49449591","4,23951603","23,37783051","2,94261289"
02/01/2010 0.00,"18,06556068","11,75058987","0,30054204","0,44548566","3,97080531","23,37783051","2,94261289"
02/01/2010 1.00,"18,536362","12,3186661","0,30258778","0,41350813","3,66218852","12,96512985",
02/01/2010 2.00,,,"0,25208387","0,37779414","4,24669199","12,96512985",
02/01/2010 3.00,"21,98501728","16,40024501","0,25782615","0,38241031",,"12,96512985",
02/01/2010 4.00,"15,511817","10,01912856",,"0,38383817","2,04363099","12,96512985",
02/01/2010 5.00,"12,02295618","6,81300857","0,22100167","0,38559657","2,05278094","12,96512985",
02/01/2010 6.00,"10,69355597","5,58866319","0,21604343","0,35823418","2,33231051","12,96512985",
02/01/2010 7.00,"16,54420905","10,30705664","0,22107972","0,36054176","1,9264431","12,96512985",
02/01/2010 8.00,"23,9538228","16,71670778","0,2939994","0,42603554","1,88670992","12,96512985",
02/01/2010 9.00,"21,73339808","13,7972157","0,26649259","0,54702193","1,82540618","12,96512985",
02/01/2010 10.00,"23,4778304","14,29784805","0,28786102","0,57800992","1,43928179","12,96512985",
02/01/2010 11.00,"23,43502072","14,04493825","0,34196944","0,62833921","2,40015051","12,96512985",
02/01/2010 12.00,"32,8095376","20,34823056","0,40288613","0,66767881","2,4210641","12,96512985",
02/01/2010 13.00,"24,46482392","15,3302401","0,32323741","0,75306206","1,92559899","12,96512985",
02/01/2010 14.00,"23,69960328","14,70509831","0,29010364","0,673613","1,71240426","12,96512985",
02/01/2010 15.00,"23,4687484","15,27447088","0,29455045","0,62680049","1,58430599","12,96512985",
02/01/2010 16.00,"22,82673704","15,6155755","0,29041819","0,68383182","1,91782199","12,96512985",
02/01/2010 17.00,"26,10031048","18,9124849","0,34531416","0,74646885","1,90958632","12,96512985",
02/01/2010 18.00,"33,39577592","24,1120408","0,3767179","0,8366859","1,88579462","12,96512985",
02/01/2010 19.00,"28,58531776","20,85793152","0,36361281","0,97602405","1,73893881","12,96512985",
02/01/2010 20.00,"28,79542744","20,86701352","0,38163653","0,87338943","1,85726574","12,96512985",
02/01/2010 21.00,"24,6178604","16,49751801","0,38037716","0,85251042","1,83115223","12,96512985",
02/01/2010 22.00,"18,83725918","12,1111491","0,35361828","0,83525803","1,9384081","12,96512985",
02/01/2010 23.00,"17,67257776","11,28238314","0,30297223","0,6727333","1,9155317","12,96512985",
03/01/2010 0.00,"17,04224681","10,88680563","0,29651813","0,69317296","1,8719258","12,96512985",
03/01/2010 1.00,"25,43625376","18,72312616","0,32296247","0,57438431","1,94984427","14,97109985","5,21774483"
03/01/2010 2.00,"23,45836624","17,48840627","0,30242119","0,59669119","1,72155523","14,97109985","5,21774483"
03/01/2010 3.00,"20,20815744","14,17982411","0,33783719","0,61482227","1,66070913","14,97109985","5,21774483"
03/01/2010 4.00,"12,4807865","7,09964031","0,28164225","0,56581304","1,68907225","14,97109985","5,21774483"
03/01/2010 5.00,"12,76741824","7,46927771","0,28762452","0,46878208","1,75678309","14,97109985","5,21774483"
03/01/2010 6.00,"12,4418773","6,98420905","0,30391588","0,45636451","1,37805941","14,97109985","5,21774483"
03/01/2010 7.00,"13,09944278","7,49910682","0,34004137","0,43658488","1,56039632","14,97109985","5,21774483"
03/01/2010 8.00,"22,62700952","15,33283468","0,39765295","0,57581218","1,58705087","14,97109985","5,21774483"
03/01/2010 9.00,"16,79452618","9,34989032","0,41803695","0,80437886","1,70470659","14,97109985","5,21774483"
03/01/2010 10.00,"14,54686693","6,73129925","0,41610888","0,98294677","1,61995388","14,97109985","5,21774483"
03/01/2010 11.00,"20,30023936","10,42637882","0,4527458","1,06239583","1,73690176","14,97109985","5,21774483"
03/01/2010 12.00,"18,79705364","10,58850113","0,42811187","1,29360061","1,75556066","14,97109985","5,21774483"
03/01/2010 13.00,"17,62458847","9,47180709","0,41237039","1,19843687","1,53443943","14,97109985","5,21774483"
03/01/2010 14.00,"14,09292754","7,48873231","0,36428269","1,07942855","1,56234489","14,97109985","5,21774483"
03/01/2010 15.00,"14,77513678","8,29804367","0,3558609","0,83097239","1,8533147","14,97109985","5,21774483"
03/01/2010 16.00,"15,44307678","8,96079832","0,36349515","0,69493136","1,91095724","14,97109985","5,21774483"
03/01/2010 17.00,"14,82312225","8,49129334","0,36904404","0,79624795","1,06618212","14,97109985","5,21774483"
03/01/2010 18.00,"25,61005456","18,02146231","0,49178262","0,88360825","1,84233415","14,97109985","5,21774483"
03/01/2010 19.00,"17,45857525","10,8271455","0,39568526","1,08096727","1,20870348","14,97109985","5,21774483"
03/01/2010 20.00,"19,78533776","13,362729","0,42972423","0,70471083","1,66988959","14,97109985","5,21774483"
03/01/2010 21.00,"20,59464912","14,27190794","0,43472208","0,7651491","2,02853363","14,97109985","5,21774483"
03/01/2010 22.00,"16,08118957","10,20459638","0,39714151","0,74196252","1,40508923","14,97109985","5,21774483"
03/01/2010 23.00,"14,70380198","9,45883608","0,41095375","0,63493242","1,44339759","14,97109985","5,21774483"
04/01/2010 0.00,"11,24736486","6,0685446","0,38261979","0,63504226","1,33911848","14,97109985","5,21774483"
04/01/2010 1.00,"9,25261732","4,27742315","0,362315","0,62658082","1,32079722","13,57847977","11,41716957"
04/01/2010 2.00,,,"0,34968291","0,55053871","1,05407067","13,57847977","11,41716957"
