"NetC","Comune Lecce","","","","","","","","","","","","","",""
"Stat","Via Garilliano","","","","","","","","","","","","","",""
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE,PM2.5
,,,,,,
,,,,,,
,,,,,,
,,,,,,,
,,,,,,,
01/01/2011 1.00,"2,8","22,6","25,6","0,5",,"23,6","3,2","19,7"
01/01/2011 2.00,"2,2",13,"14,7","0,3",,"23,6",2,"19,7"
01/01/2011 3.00,"1,9",7,8,"0,3",,"23,6","1,3","19,7"
01/01/2011 4.00,"1,8","7,4","8,8","0,3",,"23,6","1,1","19,7"
01/01/2011 5.00,"2,2","7,2","8,5","0,3",,"23,6",1,"19,7"
01/01/2011 6.00,2,"15,1","16,4","0,3",,"23,6","0,9","19,7"
01/01/2011 7.00,"1,6","21,2","25,1","0,4",,"23,6","0,9","19,7"
01/01/2011 8.00,"1,9","53,7",96,"0,8",,"23,6","1,3","19,7"
01/01/2011 9.00,2,"40,4","63,8","0,5",,"23,6","2,4","19,7"
01/01/2011 10.00,"2,3","14,7","22,5","0,4",,"23,6",2,"19,7"
01/01/2011 11.00,"2,1","4,9","7,2","0,3",,"23,6","1,2","19,7"
01/01/2011 12.00,2,"6,7",9,"0,3",,"23,6","0,9","19,7"
01/01/2011 13.00,"2,4","6,4","8,9","0,3",,"23,6",1,"19,7"
01/01/2011 14.00,"2,3","4,1","5,9","0,3",,"23,6","1,1","19,7"
01/01/2011 15.00,"2,2","5,7","7,4","0,3",,"23,6",1,"19,7"
01/01/2011 16.00,"1,9","11,1","12,7","0,3",,"23,6",1,"19,7"
01/01/2011 17.00,"2,2","20,3","21,8","0,4",,"23,6","1,1","19,7"
01/01/2011 18.00,"2,2","25,8","27,8","0,5",,"23,6","1,5","19,7"
01/01/2011 19.00,"2,3","27,6","29,6","0,5",,"23,6","1,7","19,7"
01/01/2011 20.00,"2,3","29,2","31,8","0,5",,"23,6","1,8","19,7"
01/01/2011 21.00,2,"26,2","27,9","0,5",,"23,6","1,8","19,7"
01/01/2011 22.00,"2,1",18,"19,2","0,4",,"23,6","1,6","19,7"
01/01/2011 23.00,"2,3","11,3","12,6","0,3",,"23,6","1,3","19,7"
02/01/2011 0.00,"2,4","9,4","10,6","0,3",,"23,6","1,1","19,7"
02/01/2011 1.00,"1,9","6,6","7,9","0,3",,"4,7","0,9",
02/01/2011 2.00,"2,3",,,"0,3",,"4,7","0,8",
02/01/2011 3.00,,10,"11,3","0,2",,"4,7","0,7",
02/01/2011 4.00,"1,6","6,3","7,3",,,"4,7","0,6",
02/01/2011 5.00,"1,9","5,2","6,5","0,2",,"4,7","0,7",
02/01/2011 6.00,"1,9","6,9","8,1","0,2",,"4,7","0,7",
02/01/2011 7.00,"1,7","8,6","9,7","0,3",,"4,7","0,8",
02/01/2011 8.00,"1,9","7,6",9,"0,2",,"4,7","0,8",
02/01/2011 9.00,"1,7","6,3",8,"0,3",,"4,7","0,7",
02/01/2011 10.00,"1,8","6,2","8,1","0,3",,"4,7","0,8",
02/01/2011 11.00,"1,9","8,6","10,5","0,3",,"4,7","0,8",
02/01/2011 12.00,"1,7","8,2","10,1","0,3",,"4,7","1,4",
