"NetC","Comune Lecce","","","","","","","","","","","","","",""
"Stat","Via Garilliano","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,PM10,BENZENE,PM2.5
,,,,
,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
01/01/2012 1.00,"2,60730121","34,32571536","47,06850704","0,57778758","32,89033","0,25439035","21,79509"
01/01/2012 2.00,"2,02925264","19,03310342","25,26635344","0,42770063","32,89033","0,2598852","21,79509"
01/01/2012 3.00,"2,00112649","18,4844837","24,19636","0,38901913","32,89033","0,31373026","21,79509"
01/01/2012 4.00,"1,83963198","22,6905644","30,209122","0,42330042","32,89033","0,29669755","21,79509"
01/01/2012 5.00,"1,45266551","26,40640256","37,32562424","0,42898096","32,89033","0,23735763","21,79509"
01/01/2012 6.00,"1,52272156","21,08880552","26,5996484","0,39865951","32,89033","0,33900373","21,79509"
01/01/2012 7.00,"1,34217456","19,37290024","26,3298652","0,40017983","32,89033","0,29944446","21,79509"
01/01/2012 8.00,"1,25139613","10,96462403","16,85288806","0,31789588","32,89033","0,31362043","21,79509"
01/01/2012 9.00,"1,33803741","11,46266179","19,03310342","0,33241644","32,89033","0,29406047","21,79509"
01/01/2012 10.00,"1,92898255","8,13592137","14,55075785","0,29881435","32,89033","0,27691791","21,79509"
01/01/2012 11.00,"1,93659784","4,80399369","10,25647468","0,2686525","32,89033","0,23735763","21,79509"
01/01/2012 12.00,"2,14256068","2,46814344","6,65607352","0,26425229","32,89033","0,25713726","21,79509"
01/01/2012 13.00,"2,01625233","2,54336726","6,54453318","0,25165165","32,89033","0,27691791","21,79509"
01/01/2012 14.00,"1,69350332","1,64197015","5,34483157","0,24801219","32,89033","0,217578","21,79509"
01/01/2012 15.00,"1,91128776","1,59917003","5,33834798","0,25925211","32,89033","0,25450018","21,79509"
01/01/2012 16.00,"1,62445308","3,9843059","7,65215095","0,24909215","32,89033","0,20571062","21,79509"
01/01/2012 17.00,"1,40945115","14,83738959","20,26003","0,37777805","32,89033","0,25977536","21,79509"
01/01/2012 18.00,"1,25431492","33,62925024","43,35655024","0,51922536","32,89033","0,33098265","21,79509"
01/01/2012 19.00,"2,23139258","75,18819544","182,32740224","1,39018751","32,89033","0,27691791","21,79509"
01/01/2012 20.00,"2,51562069","73,03002544","183,78126792","1,27886244","32,89033","0,42328862","21,79509"
01/01/2012 21.00,"1,70021246","60,03175232","124,73134672","1,08269275","32,89033","0,57097736","21,79509"
01/01/2012 22.00,"2,1028926","64,23524608","171,72979808","1,4535507","32,89033","0,53669226","21,79509"
01/01/2012 23.00,"3,15517334","72,14421496","248,6959432","1,7873663","32,89033","0,57888962","21,79509"
02/01/2012 0.00,"2,49159407","66,4349256","203,3107992","1,53763457","32,89033","0,75163317","21,79509"
02/01/2012 1.00,"3,52238865","65,20277544","211,3404344","1,60119814","36,68059","0,73438079","29,87035"
02/01/2012 2.00,"1,49462998",,,"0,69807383","36,68059","0,78613795","29,87035"
02/01/2012 3.00,,"29,01071864","34,2621796","0,63483064","36,68059","0,55383481","29,87035"
02/01/2012 4.00,"2,41520211","29,64104768","36,80940336",,"36,68059","0,52900069","29,87035"
