Stat,LECCE-Via Garigliano,,,,,,,,  ,
Parm,SO2,NO2,NOX,CO,PM10,BENZENE,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,,
01/01/2014 1.00,"4,9","18,2","20,3","0,8","41,3","1,0","25,6",,,
01/01/2014 2.00,"4,8","19,2","22,2","0,8","41,3","1,1","25,6",,,
01/01/2014 3.00,"4,6","11,8","13,9","0,8","41,3","1,1","25,6",,,
01/01/2014 4.00,"4,6","11,7","13,5","0,8","41,3","0,9","25,6",,,
01/01/2014 5.00,"4,7","11,4","13,1","0,7","41,3","0,9","25,6",,,
01/01/2014 6.00,"4,8","18,8","20,8","0,7","41,3","0,8","25,6",,,
01/01/2014 7.00,"4,4","13,9","15,8","0,8","41,3","0,6","25,6",,,
01/01/2014 8.00,"4,4","14,8","17,2","0,8","41,3","0,5","25,6",,,
01/01/2014 9.00,"4,6","14,5","17,9","0,7","41,3","0,6","25,6",,,
01/01/2014 10.00,"4,5","14,3","18,5","0,8","41,3","0,8","25,6",,,
01/01/2014 11.00,"4,5","13,2","17,1","0,8","41,3","1,1","25,6",,, 
01/01/2014 12.00,"4,7","18,0","22,6","0,8","41,3","1,2","25,6",,,
01/01/2014 13.00,"4,6","19,6","25,2","0,8","41,3","1,4","25,6",,,
01/01/2014 14.00,"4,5","9,9","12,2","0,8","41,3","1,3","25,6",,,
01/01/2014 15.00,"4,5","8,9","10,8","0,8","41,3","1,1","25,6",,,
01/01/2014 16.00,"4,0","17,1","19,2","0,9","41,3","1,4","25,6",,,
01/01/2014 17.00,"4,4","47,3","55,1","1,1","41,3","2,1","25,6",,,
01/01/2014 18.00,"5,7","65,1","113,4","1,3","41,3","2,7","25,6",,,
01/01/2014 19.00,"6,0","66,1","152,0","1,7","41,3","4,3","25,6",,,
01/01/2014 20.00,"7,1","65,3","197,5","2,0","41,3","5,9","25,6",,,
01/01/2014 21.00,"8,8","71,1","266,1","2,4","41,3","8,5","25,6",,,
01/01/2014 22.00,"7,8","62,6","212,0","2,0","41,3","10,0","25,6",,,
01/01/2014 23.00,"8,2","55,6","223,7","2,2","41,3","8,7","25,6",,,
02/01/2014 0.00,"5,5","46,9","113,0","1,6","41,3","8,7","25,6",,,
02/01/2014 1.00,"5,0","38,3","72,8","1,4","37,0","6,0","29,5",,,
02/01/2014 2.00,"4,6",,,"1,4","37,0","4,8","29,5",,,
02/01/2014 3.00,"5,0","41,0","71,3","1,5","37,0","5,0","29,5",,,
02/01/2014 4.00,"4,8","31,7","56,9",,"37,0","5,3","29,5",,,
