,Provincia di TARANTO,,,,,
,TA V. Machiavelli,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,,
,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,
01/01/2006 1.00,"1,970332","40,66231","0,734195",,,"2,50843"
01/01/2006 2.00,"0,826663","32,034066","0,657938","1,214642","28,61237","3,09168"
01/01/2006 3.00,"0,572082","34,057441","0,526627","0,823303","23,93441","2,17282"
01/01/2006 4.00,"0,853482","40,153549","0,960951","0,064997","26,453381","1,882467"
01/01/2006 5.00,"0,430211","28,854278","0,455274","13,222932","26,247681","3,384576"
01/01/2006 6.00,"0,330016","16,520614","0,271463","38,06823","12,1219",
01/01/2006 7.00,"0,445052","16,438844","0,301253","32,536676","10,34985","1,044967"
01/01/2006 8.00,"0,452974","21,921041","0,328403","23,579204","10,92986","0,992083"
01/01/2006 9.00,"0,563301","21,247444","0,323208","22,953592","10,67273","1,275826"
01/01/2006 10.00,"0,451558","25,87695","0,371433","31,143287","9,85247","1,127344"
01/01/2006 11.00,"0,363595","37,922511","0,274228","50,782029","8,055134","1,120276"
01/01/2006 12.00,"0,295579","42,465061","0,27117","53,501094","9,218513","0,842178"
01/01/2006 13.00,"0,18172","31,369551","0,290736","65,508023","8,689091","0,873959"
01/01/2006 14.00,"0,247477","32,267676","0,24779","68,507402","9,497555","0,896892"
01/01/2006 15.00,"0,255732","17,331777","0,196716","85,194142","7,656382","0,787819"
01/01/2006 16.00,"0,193904","11,352484","0,217414","84,175874","7,392514","0,707832"
01/01/2006 17.00,"0,195351","12,808696","0,245863","85,049265","8,852638","0,693797"
01/01/2006 18.00,"0,183675","15,239613","0,293125","81,2916","8,97572","0,722019"
01/01/2006 19.00,"0,145834","22,398658","0,319101","71,296874","10,36334","0,829516"
01/01/2006 20.00,"0,195033","21,051464","0,336868","71,038238","8,893947","0,942047"
01/01/2006 21.00,"0,176789","26,145624","0,302552","71,402506","7,807283","0,962997"
01/01/2006 22.00,"0,190977","26,479172","0,335694","69,156","8,206879","0,88596"
01/01/2006 23.00,"0,155504","24,90227","0,308041","65,999566","9,471421","0,979422"
02/01/2006 0.00,"0,164143","12,371318","0,260192","82,649761","8,457258","0,906554"
02/01/2006 1.00,,"10,575061","0,223699","88,114984","7,293036","0,746986"
