,Provincia di TARANTO,,,,,,,,
,TA V. Machiavelli,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,PM10,BENZENE,PM2.5



01/01/2008 1.00,"1,587246","56,925498","8,158577","44,446906","1,552961","33,339664","63,75775325","2,943198","60,1916568"
01/01/2008 2.00,"3,434251","77,485157","17,879498","50,10564","1,849883","27,045736","63,75775325","5,462307","60,1916568"
01/01/2008 3.00,"2,706438","28,960145","4,630384","21,875613","0,488128","47,419755","63,75775325","4,577009","60,1916568"
01/01/2008 4.00,"1,934676","22,116007","3,140778","17,312309","0,336938","52,811838","63,75775325","1,377018","60,1916568"
01/01/2008 5.00,"1,477801","22,816374","2,896316","18,388246","0,268708","54,401577","63,75775325","1,037645","60,1916568"
01/01/2008 6.00,"1,345696","18,721829","2,635783","14,690607","0,244666","56,000787","63,75775325","0,886468","60,1916568"
01/01/2008 7.00,"1,304147","24,309187","3,77773","18,529715","0,238244","54,262084","63,75775325","0,85311","60,1916568"
01/01/2008 8.00,"1,164111","28,069115","4,083941","21,82242","0,277736","49,773216","63,75775325","0,756445","60,1916568"
01/01/2008 9.00,"1,205722","31,845888","6,373757","22,119621","0,334127","47,196316","63,75775325","1,509991","60,1916568"
01/01/2008 10.00,"1,387428","32,367271","8,413191","19,558918","0,302983","50,643894","63,75775325","0,899842","60,1916568"
01/01/2008 11.00,"1,528589","38,578499","11,457528","21,856147","0,575101","56,388057","63,75775325","60,1916568",
01/01/2008 12.00,"3,796921","78,302249","23,654369","42,096463","1,14683","48,725122","63,75775325","2,265876","60,1916568"
01/01/2008 13.00,"11,890234","129,063234","43,574159","62,295252","1,437933","34,815644","63,75775325","4,131562","60,1916568"
01/01/2008 14.00,"10,984861","67,084697","17,799989","39,82","0,705019","49,660815","63,75775325","3,972402","60,1916568"
01/01/2008 15.00,"14,263537","71,94837","17,300067","45,454071","1,017674","46,97425","63,75775325","2,810479","60,1916568"
01/01/2008 16.00,"15,321847","54,120133","9,890953","39,032197","0,926687","52,10904","63,75775325","4,334962","60,1916568"
01/01/2008 17.00,"19,98583","73,780964","13,062175","53,790293","0,925363","38,547589","63,75775325","3,526447","60,1916568"
01/01/2008 18.00,"35,813114","101,585514","23,517336","65,572385","1,074747","26,40929","63,75775325","5,453662","60,1916568"
01/01/2008 19.00,"18,523159","53,973599","8,690641","40,676595","1,091081","48,172647","63,75775325","5,2645","60,1916568"
01/01/2008 20.00,"6,700617","37,17777","6,58269","27,352631","0,40308","54,279702","63,75775325","1,759918","60,1916568"
01/01/2008 21.00,"4,000328","35,787419","5,026259","28,100223","0,47416","48,612722","63,75775325","1,266165","60,1916568"
01/01/2008 22.00,"3,216259","40,61474","6,031173","31,389036","0,532156","43,268039","63,75775325","1,8306","60,1916568"
01/01/2008 23.00,"2,680068","32,263507","5,605691","23,696543","0,331398","49,891001","63,75775325","1,211755","60,1916568"
02/01/2008 0.00,"2,284519","30,893904","4,609236","23,843194","0,287731","51,018991","63,75775325","0,975049","60,1916568"
02/01/2008 1.00,"23,881185","2,815111","19,578401","0,26682","52,492262","41,17920118","0,843703","27,70275799",
02/01/2008 2.00,"1,886114","1,843943","37,335645","41,17920118","0,843551","27,70275799",,,
02/01/2008 3.00,"2,009594","28,960145","3,32941","23,87174","46,884875","41,17920118","3,466953","27,70275799",
02/01/2008 4.00,"1,644839","28,930299","3,273581","23,927551","0,283229","41,17920118","1,010949","27,70275799",
02/01/2008 5.00,"1,763611","49,572959","9,839355","34,510412","1,583101","41,17920118","0,808362","27,70275799",
02/01/2008 6.00,"1,942036","28,893991","4,465436","22,06251","0,378868","41,17920118","2,980318","27,70275799",
02/01/2008 7.00,"1,757925","49,768805","10,595569","33,618772","0,406914","41,17920118","1,034798","27,70275799",
02/01/2008 8.00,"2,194947","54,939828","13,066402","34,947783","0,38003","41,17920118","1,319557","27,70275799",
02/01/2008 9.00,"2,550064","65,779949","16,751088","40,279453","0,367768","41,17920118","1,278878","27,70275799",
02/01/2008 10.00,"2,577781","77,745819","23,730484","41,5942","0,415048","41,17920118","1,18989","27,70275799",
02/01/2008 11.00,"2,730222","65,128876","19,950229","35,07369","0,507039","47,477989","41,17920118","1,463463","27,70275799"
02/01/2008 12.00,"5,001237","77,217974","22,564017","42,650657","0,827931","47,720358","41,17920118","2,306047","27,70275799"
02/01/2008 13.00,"9,688779","74,891203","20,851934","43,081565","1,465026","51,270843","41,17920118","3,047949","27,70275799"
02/01/2008 14.00,"9,799644","71,720077","17,843971","44,391112","0,981865","49,423853","41,17920118","3,608316","27,70275799"
02/01/2008 15.00,"8,103745","61,458431","15,126983","38,298888","0,619986","53,807105","41,17920118","2,495209","27,70275799"
02/01/2008 16.00,"8,87634","68,096355","15,043235","45,094557","0,556","48,749479","41,17920118","1,658218","27,70275799"
02/01/2008 17.00,"7,71225","80,643264","17,039532","54,55475","0,674156","39,518495","41,17920118","2,815056","27,70275799"
02/01/2008 18.00,"4,647851","97,120055","23,546938","61,154419","0,57311","31,519724","41,17920118","2,31876","27,70275799"
02/01/2008 19.00,"5,20911","113,853614","28,827808","69,700926","0,839991","20,490466","41,17920118","2,139768","27,70275799"
02/01/2008 20.00,"7,253197","109,945832","27,159722","68,458852","1,086479","19,692897","41,17920118","4,223601","27,70275799"
02/01/2008 21.00,"5,888163","74,551383","10,996521","57,730639","0,669308","24,946857","41,17920118","3,095239","27,70275799"
02/01/2008 22.00,"4,012106","74,394466","11,111568","57,39709","0,482518","20,487753","41,17920118","2,327404","27,70275799"
02/01/2008 23.00,"2,605497","65,206693","12,423537","46,189961","0,449905","29,158161","41,17920118","2,004507","27,70275799"
03/01/2008 0.00,"2,326601","59,062921","10,346035","43,229514","0,390888","29,688972","41,17920118","1,614996","27,70275799"
03/01/2008 1.00,"2,06676","73,301089","13,864919","52,078403","0,414207","12,459214","32,96783491","1,431936","24,07323195"
03/01/2008 2.00,"2,007862","55,207011","6,774708","44,850546","0,509964","23,74846","32,96783491","1,502617","24,07323195"
03/01/2008 3.00,"1,987074","64,673611","5,886526","55,68648","0,541457","10,629799","32,96783491","1,480752","24,07323195"
03/01/2008 4.00,"1,959358","71,552774","14,199889","49,81492","0,504235","21,841859","32,96783491","2,255197","24,07323195"
03/01/2008 5.00,"1,948964","37,22186","2,64255","33,193064","0,383555","32,487916","32,96783491","1,479226","24,07323195"
03/01/2008 6.00,"2,744079","121,497982","42,554859","56,288703","0,510566","18,29545","32,96783491","1,427359","24,07323195"
03/01/2008 7.00,"1,928177","39,705566","4,165146","33,342315","0,364042","29,232636","32,96783491","1,466005","24,07323195"
03/01/2008 8.00,"1,651013","38,869029","4,635459","31,783578","0,401224","26,068047","32,96783491","1,158363","24,07323195"
03/01/2008 9.00,"2,726757","169,976302","68,734214","64,632708","0,817514","8,088131","32,96783491","1,461429","24,07323195"
03/01/2008 10.00,"2,113531","100,46623","27,413485","58,474312","0,521062","20,004324","32,96783491","2,365542","24,07323195"
03/01/2008 11.00,"2,113531","71,381577","17,454022","44,650688","0,487487","27,233945","32,96783491","1,539229","24,07323195"
03/01/2008 12.00,"2,707701","37,592807","6,954881","26,947709","0,47106","49,854452","32,96783491","1,711102","24,07323195"
03/01/2008 13.00,"4,027697","38,869029","5,905136","29,835478","0,482198","55,061023","32,96783491","1,96942","24,07323195"
03/01/2008 14.00,"3,028173","39,211429","5,243653","31,193055","0,461164","56,780754","32,96783491","2,056882","24,07323195"
03/01/2008 15.00,"2,764867","29,78372","3,238055","24,836056","0,382554","60,757786","32,96783491","1,886535","24,07323195"
03/01/2008 16.00,"2,317939","29,056108","2,805807","24,771183","0,399902","60,818733","32,96783491","2,04061","24,07323195"
03/01/2008 17.00,"2,115263","36,058464","3,183918","31,198237","0,43464","55,463194","32,96783491","1,978573","24,07323195"
03/01/2008 18.00,"1,994003","47,854472","4,140616","41,534491","0,570464","48,677722","32,96783491","2,311641","24,07323195"
03/01/2008 19.00,"1,725012","62,844898","6,351764","53,14266","0,601837","32,016697","32,96783491","2,345202","24,07323195"
03/01/2008 20.00,"1,697785","54,35747","5,864532","45,396957","0,619546","38,28353","32,96783491","2,593858","24,07323195"
03/01/2008 21.00,"1,974949","56,694641","6,483722","46,785682","0,663298","35,851545","32,96783491","2,6442","24,07323195"
03/01/2008 22.00,"1,748021","49,042473","5,104081","41,245069","0,577716","37,667417","32,96783491","2,75251","24,07323195"
03/01/2008 23.00,"1,924713","35,980666","3,549341","30,559686","0,508521","46,061579","32,96783491","2,348253","24,07323195"
04/01/2008 0.00,"1,779202","24,517996","2,828645","20,194868","0,415969","60,101049","32,96783491","2,079765","24,07323195"
04/01/2008 1.00,"19,411809","2,32788","15,853504","0,365686","65,392932","20,79338462","1,902298","15,00714793",
04/01/2008 2.00,"1,627873","0,328343","68,944768","20,79338462","1,565163","15,00714793",,,
04/01/2008 3.00,"1,398213","16,068218","2,204381","12,697081","65,81","20,79338462","1,610928","15,00714793",
04/01/2008 4.00,"1,433909","21,704871","3,137393","16,906077","0,321841","20,79338462","1,438038","15,00714793",
04/01/2008 5.00,"0,931826","16,214776","2,42262","12,50889","0,310995","64,091613","20,79338462","1,33227","15,00714793"
04/01/2008 6.00,"1,195903","17,663498","2,798193","13,421295","0,313405","62,462612","20,79338462","1,238706","15,00714793"
04/01/2008 7.00,"1,29507","27,006884","3,84963","21,118957","0,36896","55,526835","20,79338462","1,184805","15,00714793"
04/01/2008 8.00,"1,232877","34,657752","5,224197","26,66607","0,366268","50,444853","20,79338462","1,402951","15,00714793"
04/01/2008 9.00,"1,215403","36,120737","5,089701","28,336431","0,370285","50,3934","20,79338462","1,283454","15,00714793"
04/01/2008 10.00,"1,217391","33,522903","5,088855","25,738101","0,418248","49,840906","20,79338462","1,364305","15,00714793"
04/01/2008 11.00,"1,083701","36,727723","6,327233","27,045049","0,427969","49,330406","20,79338462","1,733985","15,00714793"
04/01/2008 12.00,"1,21107","36,918347","6,020175","27,706963","0,436204","49,980376","20,79338462","1,645506","15,00714793"
04/01/2008 13.00,"1,053298","24,935634","3,791264","19,135812","0,337345","63,711123","20,79338462","1,590588","15,00714793"
04/01/2008 14.00,"0,798313","39,407275","6,318775","29,739438","0,459061","48,540964","20,79338462","1,303285","15,00714793"
04/01/2008 15.00,"0,811419","29,78112","4,268345","23,252672","0,386233","48,163169","20,79338462","1,673473","15,00714793"
04/01/2008 16.00,"0,824952","24,656768","3,907997","18,677675","0,386676","56,472026","20,79338462","1,431427","15,00714793"
04/01/2008 17.00,"0,723157","25,798117","3,964671","19,732834","0,382618","51,243789","20,79338462","1,424309","15,00714793"
04/01/2008 18.00,"0,599199","28,655354","4,354625","21,993736","0,437852","48,735956","20,79338462","1,444648","15,00714793"
04/01/2008 19.00,"0,594435","27,879751","4,04503","21,692614","0,427608","49,696028","20,79338462","1,594147","15,00714793"
04/01/2008 20.00,"0,705111","19,852774","3,082412","15,13708","0,338913","58,727972","20,79338462","1,438546","15,00714793"
04/01/2008 21.00,"0,446859","17,112284","2,825262","12,789227","0,305009","61,146411","20,79338462","1,122768","15,00714793"
04/01/2008 22.00,"0,659506","15,804932","2,706838","11,662676","0,295729","61,105794","20,79338462","1,068867","15,00714793"
04/01/2008 23.00,"0,5841","14,550757","2,483523","10,750272","0,287857","60,811949","20,79338462","1,011305","15,00714793"
05/01/2008 0.00,"0,573371","14,218733","2,44292","10,480311","0,293802","57,038028","20,79338462","1,055443","15,00714793"
05/01/2008 1.00,"0,52308","12,035925","2,075806","8,859275","0,27665","59,402323","30,31848047","1,010593","10,50478107"
05/01/2008 2.00,"0,57373","10,886805","1,963303","7,881979","0,264237","59,53096","30,31848047","0,942301","10,50478107"
05/01/2008 3.00,"0,360263","10,67021","2,006443","7,599041","0,253311","57,56343","30,31848047","0,913368","10,50478107"
05/01/2008 4.00,"0,432507","10,676695","2,067348","7,512083","0,238086","65,325215","30,31848047","0,889468","10,50478107"
05/01/2008 5.00,"0,443128","10,383578","2,209456","7,000721","0,230616","67,206083","30,31848047","0,771445","10,50478107"
05/01/2008 6.00,"0,389673","11,527511","2,229758","8,114296","0,231258","66,862142","30,31848047","0,753241","10,50478107"
05/01/2008 7.00,"0,366615","14,506661","2,538507","10,621781","0,265603","64,611588","30,31848047","0,800684","10,50478107"
05/01/2008 8.00,"0,573833","16,409323","2,557961","12,495912","0,280586","62,45585","30,31848047","0,908232","10,50478107"
05/01/2008 9.00,"1,087602","18,723125","3,045193","14,063739","0,306536","60,868828","30,31848047","0,952878","10,50478107"
05/01/2008 10.00,"0,39773","18,471513","3,268507","13,469315","0,297418","62,505945","30,31848047","1,052239","10,50478107"
05/01/2008 11.00,"0,307834","17,052624","3,219445","12,124722","0,295972","63,995471","30,31848047","0,938335","10,50478107"
05/01/2008 12.00,"0,394183","17,479327","3,505354","12,113032","0,312682","62,556059","30,31848047","1,011356","10,50478107"
05/01/2008 13.00,"0,471189","19,627099","3,498587","14,272699","0,307661","61,5012","30,31848047","1,006728","10,50478107"
05/01/2008 14.00,"0,363138","20,113474","3,305726","15,055309","0,292718","63,303526","30,31848047","0,97393","10,50478107"
05/01/2008 15.00,"0,315363","16,14474","2,801576","11,857353","0,261947","64,170151","30,31848047","0,890536","10,50478107"
05/01/2008 16.00,"0,259847","13,107226","2,49875","9,282381","0,244875","70,339511","30,31848047","0,759801","10,50478107"
05/01/2008 17.00,"0,251038","14,692128","2,573188","10,754168","0,254877","67,527003","30,31848047","0,740478","10,50478107"
05/01/2008 18.00,"0,263186","15,685611","2,681462","11,582207","0,26239","68,954242","30,31848047","0,761682","10,50478107"
05/01/2008 19.00,"0,292699","15,554618","2,581647","11,604268","0,272512","71,00979","30,31848047","0,781005","10,50478107"
05/01/2008 20.00,"0,295721","14,415873","2,427696","10,70095","0,270905","72,293492","30,31848047","0,776886","10,50478107"
05/01/2008 21.00,"0,301616","14,383448","2,371021","10,755458","0,266809","72,588696","30,31848047","0,767632","10,50478107"
05/01/2008 22.00,"0,298279","12,744072","2,466606","8,968297","0,250258","74,091765","30,31848047","0,711849","10,50478107"
05/01/2008 23.00,"0,372301","11,808953","2,145169","8,525723","0,236199","74,648315","30,31848047","0,673407","10,50478107"
06/01/2008 0.00,"0,257215","10,495119","2,195922","7,133106","0,230575","75,321288","30,31848047","0,64727","10,50478107"
06/01/2008 1.00,"9,680618","2,00306","6,613956","0,223666","74,69298","28,08302959","0,629116","9,325846154",
06/01/2008 2.00,"0,594679","0,215992","74,992248","28,08302959","0,6132","9,325846154",,,
06/01/2008 3.00,"0,818944","75,911682","28,08302959","0,571096","9,325846154",,,,
06/01/2008 4.00,"0,603085","0,215699","28,08302959","0,52228","9,325846154",,,,
06/01/2008 5.00,"0,597765","0,221754","71,304995","28,08302959","0,490092","9,325846154",,,
06/01/2008 6.00,"0,704089","0,252793","55,330508","28,08302959","0,493194","9,325846154",,,
06/01/2008 7.00,"0,588794","0,230175","52,226867","28,08302959","0,497516","9,325846154",,,
06/01/2008 8.00,"0,993564","0,265985","37,332955","28,08302959","0,49833","9,325846154",,,
06/01/2008 9.00,"0,769408","0,245734","48,754909","28,08302959","0,56835","9,325846154",,,
06/01/2008 10.00,"0,808299","0,26835","51,859905","28,08302959","0,593165","9,325846154",,,
06/01/2008 11.00,"0,925937","0,259367","49,287072","28,08302959","0,545519","9,325846154",,,
06/01/2008 12.00,"0,735897","0,308691","41,894962","28,08302959","0,701984","9,325846154",,,
06/01/2008 13.00,"0,931471","0,260611","54,741443","28,08302959","0,739766","9,325846154",,,
06/01/2008 14.00,"0,902675","0,237794","63,704339","28,08302959","0,588843","9,325846154",,,
06/01/2008 15.00,"0,773604","0,224361","52,94726","28,08302959","0,497618","9,325846154",,,
06/01/2008 16.00,"0,661472","0,218987","53,719106","28,08302959","0,479007","9,325846154",,,
06/01/2008 17.00,"0,461852","0,250265","51,024398","28,08302959","0,481549","9,325846154",,,
06/01/2008 18.00,"0,591546","0,239839","56,140258","28,08302959","0,519941","9,325846154",,,
06/01/2008 19.00,"0,55244","0,250506","37,483259","28,08302959","0,497771","9,325846154",,,
06/01/2008 20.00,"0,620253","0,217103","64,765978","28,08302959","0,467566","9,325846154",,,
06/01/2008 21.00,"0,66313","0,219027","68,879768","28,08302959","0,542163","9,325846154",,,
06/01/2008 22.00,"0,55279","0,30797","38,360718","28,08302959","0,583199","9,325846154",,,
06/01/2008 23.00,"0,672205","0,280982","49,020323","28,08302959","0,848178","9,325846154",,,
07/01/2008 0.00,"0,55358","0,221393","73,941446","28,08302959","0,677576","9,325846154",,,
07/01/2008 1.00,"0,615388","0,289363","44,104881","27,57278757","0,614268","15,29526686",,,
07/01/2008 2.00,"0,905852","0,48818","11,507268","27,57278757","1,023255","15,29526686",,,
07/01/2008 3.00,"0,837051","0,399438","15,978554","27,57278757","1,255995","15,29526686",,,
07/01/2008 4.00,"0,633784","0,352","24,707177","27,57278757","1,407019","15,29526686",,,
07/01/2008 5.00,"0,898979","0,376421","12,800447","27,57278757","0,840042","15,29526686",,,
07/01/2008 6.00,"1,019274","0,428711","11,955484","27,57278757","1,041052","15,29526686",,,
07/01/2008 7.00,"2,095381","1,009723","8,254688","27,57278757","1,107055","15,29526686",,,
07/01/2008 8.00,"4,37955","1,085071","4,58368","27,57278757","4,068","15,29526686",,,
07/01/2008 9.00,"5,392481","1,177302","5,289176","27,57278757","2,286216","15,29526686",,,
07/01/2008 10.00,"5,54951","1,273703","5,607393","27,57278757","4,328352","15,29526686",,,
07/01/2008 11.00,"2,474682","1,005793","6,510587","27,57278757","3,124224","15,29526686",,,
07/01/2008 12.00,"1,980076","205,978797","73,068527","94,010058","0,619508","12,613583","27,57278757","2,988963","15,29526686"
07/01/2008 13.00,"1,721893","100,628369","26,938104","59,365956","0,382677","22,652986","27,57278757","1,839244","15,29526686"
07/01/2008 14.00,"2,63796","110,900395","32,954892","60,413327","0,407219","28,311823","27,57278757","1,335829","15,29526686"
07/01/2008 15.00,"1,368365","94,042332","22,017581","60,325088","0,378105","31,851492","27,57278757","1,217857","15,29526686"
07/01/2008 16.00,"0,964509","49,300594","6,256179","39,735641","0,326336","44,746732","27,57278757","0,94225","15,29526686"
07/01/2008 17.00,"0,629998","51,070954","4,463745","44,257426","0,349713","33,564438","27,57278757","0,885451","15,29526686"
07/01/2008 18.00,"1,062091","69,341434","6,303549","59,717665","0,553624","22,494543","27,57278757","0,981456","15,29526686"
07/01/2008 19.00,"1,33265","100,100502","16,696944","74,551076","0,648822","8,388746","27,57278757","1,719747","15,29526686"
07/01/2008 20.00,"0,912891","98,624534","17,911633","71,210335","0,739166","6,534962","27,57278757","1,860601","15,29526686"
07/01/2008 21.00,"1,125067","87,701393","14,369069","65,715151","0,561764","9,186319","27,57278757","1,787886","15,29526686"
07/01/2008 22.00,"1,058304","97,292537","21,787496","63,930565","0,584661","5,092828","27,57278757","1,616521","15,29526686"
07/01/2008 23.00,"1,312231","114,378877","35,534","59,937012","0,638917","3,786107","27,57278757","1,921113","15,29526686"
08/01/2008 0.00,"0,608225","56,56105","8,743085","43,185387","0,455498","8,669047","27,57278757","1,576858","15,29526686"
08/01/2008 1.00,"38,814556","3,66438","33,21903","0,374215","25,239344","28,08053254","1,26769","17,57936095",
08/01/2008 2.00,"1,641645","33,74856","3,065494","29,068442","0,34795","22,001659","28,08053254","1,007847","17,57936095"
08/01/2008 3.00,"1,511595","21,057677","2,849793","16,69972","30,449985","28,08053254","0,934114","17,57936095",
08/01/2008 4.00,"1,353506","21,189968","2,799885","16,90867","0,306267","28,08053254","0,827075","17,57936095",
08/01/2008 5.00,"1,599747","24,307887","3,529885","18,908697","0,329517","24,596135","28,08053254","0,842279","17,57936095"
08/01/2008 6.00,"1,997937","42,754767","12,127476","24,176742","0,421031","23,026708","28,08053254","0,815125","17,57936095"
08/01/2008 7.00,"3,003587","75,407386","22,476889","40,972515","0,698427","8,246562","28,08053254","1,304557","17,57936095"
08/01/2008 8.00,"3,03247","143,004385","56,909563","55,78512","0,89804","4,976374","28,08053254","1,959759","17,57936095"
08/01/2008 9.00,"6,752004","313,005296","159,979997","67,759291","1,437773","4,675761","28,08053254","3,053542","17,57936095"
08/01/2008 10.00,"4,376517","277,649547","133,992646","72,252525","1,139737","4,465871","28,08053254","4,652266","17,57936095"
08/01/2008 11.00,"2,82451","145,139208","58,41524","55,715046","0,719348","5,929671","28,08053254","6,152341","17,57936095"
08/01/2008 12.00,"2,175424","88,740279","27,849962","46,070556","0,606109","6,463192","28,08053254","2,676235","17,57936095"
08/01/2008 13.00,"2,433255","91,842632","29,530744","46,596184","0,757376","13,809268","28,08053254","2,23384","17,57936095"
08/01/2008 14.00,"2,1823","85,803944","26,329905","45,563071","0,679513","17,717242","28,08053254","2,185533","17,57936095"
08/01/2008 15.00,"2,235516","81,25285","25,090687","42,811592","0,740992","17,62381","28,08053254","2,135191","17,57936095"
08/01/2008 16.00,"2,524122","71,630613","19,001985","42,958261","0,619842","17,898695","28,08053254","1,8306","17,57936095"
08/01/2008 17.00,"1,633013","59,036977","11,459225","41,49556","0,53648","17,978586","28,08053254","1,797039","17,57936095"
08/01/2008 18.00,"2,111848","65,154784","11,410158","47,692887","0,657549","14,016441","28,08053254","1,595673","17,57936095"
08/01/2008 19.00,"1,862921","49,307056","7,122368","38,413111","0,537243","29,656474","28,08053254","1,827549","17,57936095"
08/01/2008 20.00,"1,650907","49,938705","7,933572","37,800506","0,520056","38,788627","28,08053254","1,506685","17,57936095"
08/01/2008 21.00,"1,914247","75,754989","17,492093","48,968708","0,677024","23,67263","28,08053254","1,537704","17,57936095"
08/01/2008 22.00,"1,844426","48,134619","6,304394","38,49487","0,509374","30,888705","28,08053254","1,966878","17,57936095"
08/01/2008 23.00,"1,802828","41,88058","6,175818","32,433808","0,459582","41,500907","28,08053254","1,378543","17,57936095"
09/01/2008 0.00,"1,81757","41,351415","5,548171","32,867298","0,542021","29,575216","28,08053254","1,257012","17,57936095"
09/01/2008 1.00,"1,678394","42,389021","7,215414","31,347506","0,486767","27,297584","41,18418935","1,910434","20,93948521"
09/01/2008 2.00,"1,235432","36,738065","4,594857","29,713473","0,401676","24,654369","41,18418935","1,1965","20,93948521"
09/01/2008 3.00,"1,48789","30,102776","4,687904","22,930787","0,434886","26,45805","41,18418935","1,092258","20,93948521"
09/01/2008 4.00,"1,21814","28,04577","3,86401","22,136484","0,32269","36,703292","41,18418935","1,201077","20,93948521"
09/01/2008 5.00,"1,40519","65,949834","18,740614","37,246312","0,456048","24,199369","41,18418935","0,842635","20,93948521"
09/01/2008 6.00,"2,030379","67,996475","14,207507","46,244471","0,538809","15,458575","41,18418935","1,378035","20,93948521"
09/01/2008 7.00,"2,82451","136,850252","48,026058","63,25697","0,867964","6,579648","41,18418935","2,130615","20,93948521"
09/01/2008 8.00,"4,452477","246,291418","112,910562","73,219429","0,879006","4,2614","41,18418935","20,93948521",
09/01/2008 9.00,"3,169785","201,610644","84,449932","72,17597","1,051997","5,069808","41,18418935","2,901501","20,93948521"
