"NetC","","","","","","",""
"Stat","TA V. Machiavelli","","","","","",""
,NO2,NOX,PM10,BENZENE,PM2.5

,,,,,

01/01/2012 1.00,"13,365482","22,112107","25,700001","1,256503","17,1"
01/01/2012 2.00,"17,150078","24,962861","25,700001","1,114123","17,1"
01/01/2012 3.00,"13,682162","16,828246","25,700001","1,140057","17,1"
01/01/2012 4.00,"16,730866","19,096654","25,700001","0,931674","17,1"
01/01/2012 5.00,"14,947591","16,404135","25,700001","3,865108","17,1"
01/01/2012 6.00,"18,780208","21,228878","25,700001","0,845127","17,1"
01/01/2012 7.00,"18,42588","21,36375","25,700001","0,900198","17,1"
01/01/2012 8.00,"33,695348","43,877913","25,700001","0,725477","17,1"
01/01/2012 9.00,"36,095921","52,818692","25,700001","7,101711","17,1"
01/01/2012 10.00,"30,387072","50,220151","25,700001","1,367865","17,1"
01/01/2012 11.00,"25,818558","42,33973","25,700001","2,086376","17,1"
01/01/2012 12.00,"19,540755","31,650042","25,700001","1,20006","17,1"
01/01/2012 13.00,"35,686274","55,742657","25,700001","1,294641","17,1"
01/01/2012 14.00,"30,785512","42,12702","25,700001","1,276843","17,1"
01/01/2012 15.00,"26,485655","33,71095","25,700001","1,099377","17,1"
01/01/2012 16.00,,,"25,700001","5,360607","17,1"
01/01/2012 17.00,"11,967678","13,258972","25,700001","0,804142","17,1"
01/01/2012 18.00,"16,863243","18,14727","25,700001","0,841567","17,1"
01/01/2012 19.00,"18,595903","20,004528","25,700001","0,952726","17,1"
01/01/2012 20.00,"34,545462","41,426653","25,700001","0,89857","17,1"
01/01/2012 21.00,"50,006733","66,992789","25,700001","1,324642","17,1"
01/01/2012 22.00,"43,383947","53,764769","25,700001","1,661778","17,1"
01/01/2012 23.00,"52,544339","64,451839","25,700001","1,513804","17,1"
02/01/2012 0.00,"58,802678","89,491216","25,700001","1,789411","17,1"
02/01/2012 1.00,"35,997777","44,058195","30,1","4,379202","18,4"
02/01/2012 2.00,,,"30,1","1,618047","18,4"
02/01/2012 3.00,"26,485655","29,069091","30,1","1,514313","18,4"
02/01/2012 4.00,"20,089746","25,005671","30,1","1,119717","18,4"
02/01/2012 5.00,"21,217597","23,82283","30,1","1,215823","18,4"
02/01/2012 6.00,"26,087232","36,765311","30,1","4,923298","18,4"
02/01/2012 7.00,"39,273607","120,557678","30,1","1,20006","18,4"
02/01/2012 8.00,"47,251618","176,651818","30,1","2,984895","18,4"
02/01/2012 9.00,,,"30,1",,"18,4"
02/01/2012 10.00,"64,387421","168,333031","30,1","3,519837","18,4"
02/01/2012 11.00,"69,499729","132,690844","30,1","3,469495","18,4"
02/01/2012 12.00,"56,705312","77,898856","30,1","3,415594","18,4"
02/01/2012 13.00,"33,948418","47,513352","30,1","2,698101","18,4"
02/01/2012 14.00,"44,165267","56,941059","30,1","1,600758","18,4"
02/01/2012 15.00,"30,258584","35,587674","30,1","1,773648","18,4"
02/01/2012 16.00,"20,564763","22,763201","30,1","1,278878","18,4"
02/01/2012 17.00,"21,457705","22,909755","30,1","1,204128","18,4"
02/01/2012 18.00,"77,795738","116,482556","30,1","1,829583","18,4"
