,Provincia di TARANTO,Provincia di TARANTO
Stazione,TA V. Machiavelli,TA V. Machiavelli
,IPA TOT,IPA TOT 2
Unit,ng/m3,ng/m3
01/09/2013 01.00.00,,3
01/09/2013 02.00.00,,1
01/09/2013 03.00.00,,2
01/09/2013 04.00.00,,2
01/09/2013 05.00.00,,4
01/09/2013 06.00.00,,3
01/09/2013 07.00.00,,5
01/09/2013 08.00.00,,7
01/09/2013 09.00.00,,6
01/09/2013 10.00.00,,2
01/09/2013 11.00.00,,1
01/09/2013 12.00.00,,2
01/09/2013 13.00.00,,2
01/09/2013 14.00.00,,1
01/09/2013 15.00.00,,2
01/09/2013 16.00.00,,1
01/09/2013 17.00.00,,1
01/09/2013 18.00.00,,2
01/09/2013 19.00.00,,1
01/09/2013 20.00.00,,2
01/09/2013 21.00.00,,4
01/09/2013 22.00.00,,3
01/09/2013 23.00.00,,2
02/09/2013 00.00.00,,2
02/09/2013 01.00.00,,1
02/09/2013 02.00.00,,1
02/09/2013 03.00.00,,1
02/09/2013 04.00.00,,1
02/09/2013 05.00.00,,3
02/09/2013 06.00.00,,9
02/09/2013 07.00.00,,12
02/09/2013 08.00.00,,11
02/09/2013 09.00.00,,16
02/09/2013 10.00.00,,4
02/09/2013 11.00.00,,2
02/09/2013 12.00.00,,2
02/09/2013 13.00.00,,2
02/09/2013 14.00.00,,2
02/09/2013 15.00.00,,2
02/09/2013 16.00.00,,3
02/09/2013 17.00.00,,1
02/09/2013 18.00.00,,3
02/09/2013 19.00.00,,14
02/09/2013 20.00.00,,5
02/09/2013 21.00.00,,5
02/09/2013 22.00.00,,4
02/09/2013 23.00.00,,3
03/09/2013 00.00.00,,1
03/09/2013 01.00.00,,1
03/09/2013 02.00.00,,1
03/09/2013 03.00.00,,2
03/09/2013 04.00.00,,1
03/09/2013 05.00.00,,5
03/09/2013 06.00.00,,10
03/09/2013 07.00.00,,12
03/09/2013 08.00.00,,17
03/09/2013 09.00.00,,10
03/09/2013 10.00.00,,7
03/09/2013 11.00.00,,6
03/09/2013 12.00.00,,8
03/09/2013 13.00.00,,5
03/09/2013 14.00.00,,2
03/09/2013 15.00.00,,5
03/09/2013 16.00.00,,4
03/09/2013 17.00.00,,4
03/09/2013 18.00.00,,10
03/09/2013 19.00.00,,7
03/09/2013 20.00.00,,7
03/09/2013 21.00.00,,4
03/09/2013 22.00.00,,5
03/09/2013 23.00.00,,2
04/09/2013 00.00.00,,2
04/09/2013 01.00.00,,4
04/09/2013 02.00.00,,7
04/09/2013 03.00.00,,6
04/09/2013 04.00.00,,4
04/09/2013 05.00.00,,9
04/09/2013 06.00.00,,11
04/09/2013 07.00.00,,15
04/09/2013 08.00.00,,8
04/09/2013 09.00.00,,7
04/09/2013 10.00.00,,6
04/09/2013 11.00.00,,4
04/09/2013 12.00.00,,4
04/09/2013 13.00.00,,4
04/09/2013 14.00.00,,2
04/09/2013 15.00.00,,5
04/09/2013 16.00.00,,6
04/09/2013 17.00.00,,2
04/09/2013 18.00.00,,4
04/09/2013 19.00.00,,6
04/09/2013 20.00.00,,4
04/09/2013 21.00.00,,4
04/09/2013 22.00.00,,4
04/09/2013 23.00.00,,2
05/09/2013 00.00.00,,2
05/09/2013 01.00.00,,1
05/09/2013 02.00.00,,2
05/09/2013 03.00.00,,2
05/09/2013 04.00.00,,4
05/09/2013 05.00.00,,7
05/09/2013 06.00.00,,28
05/09/2013 07.00.00,,16
05/09/2013 08.00.00,,13
05/09/2013 09.00.00,,8
05/09/2013 10.00.00,,4
05/09/2013 11.00.00,,4
05/09/2013 12.00.00,,4
05/09/2013 13.00.00,,2
05/09/2013 14.00.00,,2
05/09/2013 15.00.00,,3
05/09/2013 16.00.00,,3
05/09/2013 17.00.00,,3
05/09/2013 18.00.00,,4
05/09/2013 19.00.00,,2
05/09/2013 20.00.00,,3
05/09/2013 21.00.00,,4
05/09/2013 22.00.00,,5
05/09/2013 23.00.00,,4
06/09/2013 00.00.00,,2
06/09/2013 01.00.00,,1
06/09/2013 02.00.00,,2
06/09/2013 03.00.00,,1
06/09/2013 04.00.00,,2
06/09/2013 05.00.00,,4
06/09/2013 06.00.00,,12
06/09/2013 07.00.00,,13
06/09/2013 08.00.00,,13
06/09/2013 09.00.00,,6
06/09/2013 10.00.00,,4
06/09/2013 11.00.00,,3
06/09/2013 12.00.00,,3
06/09/2013 13.00.00,,3
06/09/2013 14.00.00,,3
06/09/2013 15.00.00,,4
