NetC,SIMAGE Brindisi,,,,
Stat,Via Taranto,,,,
Parm,SO2,NO2,CO,O3,BENZENE
PtId,1,4,6,7,8
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
,,,,,,,
,,,,,,,
01/01/2006 1.00,"1,747968","30,9179","0,429103","27,765174","1,415664"
01/01/2006 2.00,"2,358853","48,689651","0,618089","21,939753","1,775173"
01/01/2006 3.00,"2,000265","46,263938","0,471894","26,479157","2,148412"
01/01/2006 4.00,"2,91449","35,826444","0,412952","29,019111","1,661778"
01/01/2006 5.00,"2,050489","29,69919","0,369941","32,313313","1,619572"
01/01/2006 6.00,"2,303839","26,830904","0,329958","34,504602","1,131921"
01/01/2006 7.00,"1,985548","32,028887","0,329036","31,178279","1,01044"
01/01/2006 8.00,"1,639224","30,245601","0,304415","33,010666","1,745172"
01/01/2006 9.00,"0,72535","25,212453","0,315519","38,042435","0,887078"
01/01/2006 10.00,"1,483406","25,086548","0,344573","38,871838","1,136497"
01/01/2006 11.00,"0,964097","29,091787","0,372837","38,659548","1,12887"
01/01/2006 12.00,"1,120498","28,894507","0,377534","39,921526","1,354644"
01/01/2006 13.00,"0,803375","36,707702","0,435072","39,203009","1,310913"
01/01/2006 14.00,"0,85033","34,724559","0,396626","44,350029","1,79653"
01/01/2006 15.00,"1,171189","19,176041","0,30437","50,385519","1,132124"
01/01/2006 16.00,"1,626258","21,170868","0,334083","51,416239","0,847263"
01/01/2006 17.00,"0,698485","25,125496","0,31701","52,745305","1,006067"
01/01/2006 18.00,"0,293643","22,686798","0,30099","55,148861","0,92608"
01/01/2006 19.00,"0,35917","30,516858","0,349752","55,221083",
01/01/2006 20.00,"0,894483","29,559021","0,334829","56,016168","1,098868"
01/01/2006 21.00,"0,981151","27,129406","0,331582","56,714997","1,024831"
01/01/2006 22.00,"0,591026","25,38767","0,314114","56,605572","1,045527"
01/01/2006 23.00,"1,912779","22,593338","0,291467","53,274161","0,948403"
02/01/2006 0.00,"1,757546","18,758144","0,269918","56,369226","0,769666"
02/01/2006 1.00,,"15,745784","0,2467","54,204211","0,701984"
02/01/2006 2.00,"0,80718",,"0,239414","57,366406","0,627794"
02/01/2006 3.00,"0,419235","10,887845",,"59,367289","0,512161"
02/01/2006 4.00,"1,01583","9,195423","0,211233",,"0,754563"
02/01/2006 5.00,"0,808762","8,543892","0,211462","59,683277","0,925521"
02/01/2006 6.00,"0,665677","12,124722","0,234226","57,424857","0,599776"
02/01/2006 7.00,"0,325192","42,141892","0,411322","42,269283","0,676152"
02/01/2006 8.00,"0,853233","60,165436","0,391137","39,843802","0,994067"
02/01/2006 9.00,"0,911241","87,135227","0,618562","26,278479",
02/01/2006 10.00,"0,77132","69,122046","0,527556","32,060327","1,626183"
02/01/2006 11.00,"0,640365","69,350478","0,549014","33,639552","1,635336"
02/01/2006 12.00,"0,958175","52,950562","0,457659","41,044033","1,772122"
02/01/2006 13.00,"1,474613","55,914908","0,480695","41,501744","1,479735"
02/01/2006 14.00,"2,182828","51,756518","0,410664","44,837527","1,636353"
02/01/2006 15.00,"2,513645","48,793492","0,38043","47,643452","1,390239"
02/01/2006 16.00,"0,929698","57,843563","0,405266","45,216517","1,317015"
02/01/2006 17.00,"0,854288","66,049998","0,42918","38,327879","1,219891"
02/01/2006 18.00,"0,385837","126,251746","0,702591","18,40892","1,607877"
02/01/2006 19.00,"1,046942","124,036314","0,84331","15,310837","2,693016"
02/01/2006 20.00,"0,251541","96,119104","0,697413","20,164742","3,184735"
02/01/2006 21.00,"0,937432","97,333914","0,817158","15,777388","2,631996"
02/01/2006 22.00,"0,402887","107,27943","0,782801","18,719466","3,29508"
02/01/2006 23.00,"0,268416","98,338461","0,694955","14,953936","2,453512"
03/01/2006 0.00,"0,148534","87,207901","0,74173","14,204805","2,569959"
03/01/2006 1.00,"0,463882","87,557036","0,681792","16,685479","3,098799"
03/01/2006 2.00,"0,810519","42,979026","0,424573","31,43336","2,30503"
03/01/2006 3.00,"0,465465","27,614823","0,303687","35,641154","1,491939"
03/01/2006 4.00,"0,108632","24,444117","0,290259","35,074535","1,082596"
03/01/2006 5.00,"0,136757","35,259286","0,331857","27,229974","1,049544"
03/01/2006 6.00,"0,018457","54,527486","0,351997","20,292042","1,218874"
03/01/2006 7.00,"0,173846","86,792576","0,643222","13,365896","1,164973"
03/01/2006 8.00,"0,414664","128,375015","1,445681","6,301391","2,402154"
03/01/2006 9.00,"0,490425","172,93877","2,254239","7,334576","5,848258"
03/01/2006 10.00,"1,026201","147,804253","1,182626","11,501155","6,537784"
03/01/2006 11.00,"0,585346","84,147515","0,413647","33,968485","3,120664"
03/01/2006 12.00,"0,410621","70,954662","0,583942","37,643494","1,935351"
03/01/2006 13.00,"0,236951","63,855294","0,482581","44,077351","2,408764"
