, Brindisi,,,,,
,Via Taranto,,,,,
Parm,SO2,NOX,NO2,CO,O3,BENZENE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,,
01/01/2007 1.00,"9,06377045","316,0866776","63,58015664","1,87427442","15,19082177","2,3792715"
01/01/2007 2.00,"6,57634812","586,7885936","109,25745424","3,24168589","14,84717105","2,85777"
01/01/2007 3.00,"2,95246185","303,9795112","99,88161808","1,79225395","12,22566125","5,24822952"
01/01/2007 4.00,"1,86556649","149,58784384","75,1935108","1,09938234","12,72043122","3,301182"
01/01/2007 5.00,"1,6132193","162,30597072","75,8826912","1,18407518","12,73561317","2,06451"
01/01/2007 6.00,"5,73999783","175,35615464","75,34406168","1,26175302","12,64314692","2,6945415"
01/01/2007 7.00,"1,20585893","176,18749224","73,78920416","1,17827139","12,6555638","2,724543"
01/01/2007 8.00,"1,18422938","112,70968496","68,14476984","0,81686299","15,0541922","2,9945565"
01/01/2007 9.00,"1,86917176","90,52232072","51,91097208","0,6799255","23,4555741","1,607877"
01/01/2007 10.00,"2,00075325","47,25915256","33,19306568","0,52298368","41,546673","1,724832"
01/01/2007 11.00,"1,15989562","36,53447688","24,57390352","0,42597077","65,2948338","1,5331275"
01/01/2007 12.00,"1,11483337","39,90269432","23,82113","0,47470674","70,84079415","1,249893"
01/01/2007 13.00,"1,60961404","50,64555312","29,9042536","0,46074213","67,56304905","1,712628"
01/01/2007 14.00,"2,27022368","48,1229368","27,15017056","0,44530818","71,13753045","1,4222745"
01/01/2007 15.00,"3,21832803","31,0495416","15,54590796","0,34823453","77,95041555","1,665846"
01/01/2007 16.00,"2,02148073","33,87436864","18,41550639","0,37773587","74,1709878","1,8565335"
01/01/2007 17.00,"2,15486435","40,48375112","27,9055444","0,40137386","65,3714418","1,533636"
01/01/2007 18.00,"2,84160987","53,31862472","40,99458016","0,5073243","54,49759455","1,738053"
01/01/2007 19.00,"3,4607615","71,46717576","59,03110712","0,59519061","37,6906572","1,3479318"
01/01/2007 20.00,"1,32302039","50,09174232","41,28269944","0,67470571","45,69114585","1,11020805"
