, Brindisi,,,,
,Via Taranto,,,,
Parm,SO2,NO2,CO,O3,BENZENE
,,,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
01/01/2008 1.00,,"7,994892","0,594823","37,407628",
01/01/2008 2.00,"0,591959","10,089658","0,625703","44,512441",
01/01/2008 3.00,"0,468544","5,502977","0,4489","57,011952",
01/01/2008 4.00,"0,338862","3,970191","0,39911","57,99086",
01/01/2008 5.00,"0,377465","4,011722","0,366551","61,491565",
01/01/2008 6.00,"0,405404","3,356298","0,337128","63,147575",
01/01/2008 7.00,"0,241362","3,001978","0,297942","63,78793",
01/01/2008 8.00,"0,278894","2,61132","0,309648","63,211395",
01/01/2008 9.00,"0,301826","3,000681","0,333329","62,139561",
01/01/2008 10.00,"0,276716","2,180426","0,332798","65,438373",
01/01/2008 11.00,"0,349641","3,937745","0,363369","60,508529",
01/01/2008 12.00,"0,26395","3,345916","0,431715","61,9328",
01/01/2008 13.00,"0,324262","4,650275","0,474877","58,8518",
01/01/2008 14.00,"0,546821","3,713211","0,518791","64,736991",
01/01/2008 15.00,"0,289022","2,420533","0,367831","72,856785",
01/01/2008 16.00,"0,366343","2,839744","0,346891","72,758269",
01/01/2008 17.00,"0,370814","4,023402","0,387669","71,622573",
01/01/2008 18.00,"0,275683","4,902064","0,394339","70,61177",
01/01/2008 19.00,"0,310923","3,765127","0,439799","66,570599",
01/01/2008 20.00,"0,343487","7,900147","0,483359","60,294846",
01/01/2008 21.00,"0,303432","7,662638","0,561776","53,869909",
01/01/2008 22.00,"0,406322","8,369979","0,559303","48,692364",
01/01/2008 23.00,"0,288602","7,316105","0,463655","49,345885",
02/01/2008 0.00,"0,218085","2,606127","0,387669","63,690796",
02/01/2008 1.00,,"2,35953","0,36496","64,340166",
02/01/2008 2.00,"0,177749",,"0,371985","58,763703",
02/01/2008 3.00,"0,170594",,,"59,329127",
02/01/2008 4.00,"0,133658",,"0,305501",,
02/01/2008 5.00,"0,117037",,"0,289428","63,438187",
02/01/2008 6.00,"0,134812",,"0,358231","58,185094",
02/01/2008 7.00,"0,269856",,"0,428586","56,393404",
02/01/2008 8.00,"0,392203",,"0,503456","45,571048",
02/01/2008 9.00,"0,63159",,"0,551848","46,347023",
02/01/2008 10.00,"0,802645",,"0,474454","57,299751",
02/01/2008 11.00,"1,087046",,"0,511955","58,173861",
02/01/2008 12.00,"2,857855",,"0,526036","58,159854",
02/01/2008 13.00,"4,060556",,"0,539186","61,992073",
02/01/2008 14.00,"6,043512",,"0,527497","65,958188",
02/01/2008 15.00,"5,536808",,"0,488535","63,094706",
02/01/2008 16.00,"2,388086",,"0,522715","57,232461",
02/01/2008 17.00,"1,441392",,"0,706812","34,215269",
02/01/2008 18.00,"0,733622",,"0,525549","50,554975",
02/01/2008 19.00,"0,488003",,"0,613081","41,379911",
02/01/2008 20.00,"0,782561",,"0,650139","34,771135",
02/01/2008 21.00,"0,986859",,"0,737229","27,372339",
02/01/2008 22.00,"0,328952",,"0,547464","40,391547",
02/01/2008 23.00,"0,195063",,"0,452317","49,83508",
03/01/2008 0.00,"0,08218",,"0,378421","56,71865",
03/01/2008 1.00,,,"0,352477","58,731146",
03/01/2008 2.00,"0,493992",,"0,452317","62,470154",
03/01/2008 3.00,"0,36324",,"0,497301","54,70685",
03/01/2008 4.00,"0,530409",,"0,4598","48,190581",
03/01/2008 5.00,"0,531796",,"0,380857","53,244614",
03/01/2008 6.00,"0,4822",,"0,376783","50,500991",
03/01/2008 7.00,"0,729255",,"0,544587","25,718741",
03/01/2008 8.00,"2,901762",,"0,987164","14,191227",
03/01/2008 9.00,"7,945745",,"1,972689","13,830224",
