SIMAGE Brindisi,,,,,,,
,Via Taranto,,,,,,,
Parm,SO2,NOX,NO2,CO,O3,BENZENE,PM10



01/01/2010 1.00,"1,45490698","16,42229419","13,58222278","0,24768716","81,93646545","0,71073045","25,5"
01/01/2010 2.00,"1,69003433","44,35520696","33,0606788","0,34767445","62,65064085","0,83368575","25,5"
01/01/2010 3.00,"1,93146708","34,51638","24,80881184","0,3114779","60,14819265","1,01593215","25,5"
01/01/2010 4.00,"1,50151202","18,12392448","14,37523051","0,22167154","70,09334745","0,8506188","25,5"
01/01/2010 5.00,"1,30929597","13,88281786","11,37324711","0,22101332","67,48707945",,"25,5"
01/01/2010 6.00,"1,07377911","14,08384745","11,02023264","0,20530795","65,8347606","0,60445395","25,5"
01/01/2010 7.00,"0,62643641","10,90366565","9,03059397","0,19037265","67,8066186","0,46878615","25,5"
01/01/2010 8.00,"0,85826054","10,07879061","7,57438226","0,18956298","73,6230012","0,44102205","25,5"
01/01/2010 9.00,"1,21290268","12,32385336","8,63863779","0,22106341","77,70383355","0,47376945","25,5"
01/01/2010 10.00,"1,07359808","11,16435729","7,36153078","0,21120751","86,2057056","0,6292179","25,5"
01/01/2010 11.00,"0,59049156","8,86741624","6,47638185","0,21392895","88,90252665","0,5479596","25,5"
01/01/2010 12.00,"0,06342114","12,17988932","8,08704109","0,24070531","92,76568455","0,5926059","25,5"
01/01/2010 13.00,"0,00057054","16,64926389","11,48746617","0,26724751","90,33449775","0,67696605","25,5"
01/01/2010 14.00,"0,00057054","17,14341073","11,81452142","0,25386981","91,1246973","0,82697355","25,5"
01/01/2010 15.00,"0,00684644","5,06338899","3,7508507","0,20342648","97,73726445","0,66994875","25,5"
01/01/2010 16.00,"0,26900057","6,06595002","4,43742505","0,20772649","97,30454895","0,5981994","25,5"
01/01/2010 17.00,"1,14837098","13,34586898","10,05980636","0,22918929","94,88800545","0,75435975","25,5"
01/01/2010 18.00,"1,13870134","26,39083888","20,8697668","0,29087604","87,75683805","0,6860682","25,5"
01/01/2010 19.00,"1,12503794","27,54643256","22,12352256","0,30041739","90,61543365","0,86572125","25,5"
01/01/2010 20.00,"0,96822671","32,08064496","24,79324816","0,27737718","87,4872138","0,93833505","25,5"
01/01/2010 21.00,"0,74126689","40,361842","33,01654984","0,32745704","79,92067755","0,75944475","25,5"
01/01/2010 22.00,"0,91942902","65,40902288","53,24778512","0,43520556","64,0346721","1,20936555","25,5"
01/01/2010 23.00,"1,00251995","42,92596784","36,93743088","0,36036479","79,2170211","1,215315","25,5"
02/01/2010 0.00,"0,69475236","20,11865672","16,25843579","0,23455295","93,8874132","0,9239445","25,5"
02/01/2010 1.00,,"14,33935183","11,89759399","0,22359379","97,25196075","0,57048615","14,69999981"
02/01/2010 2.00,"0,13355244",,,"0,20428625","99,17322555","0,5483664","14,69999981"
02/01/2010 3.00,"0,03683676","12,2538168","10,85280454",,"100,1678129","0,4433103","14,69999981"
02/01/2010 4.00,"0,04110714","5,00632153","4,42574464","0,15499743",,"0,43451325","14,69999981"
02/01/2010 5.00,"0,0468359","5,0893291","4,10516916","0,16026789","90,90371115","0,4728033","14,69999981"
02/01/2010 6.00,"0,04637418","5,40968087","4,39589258","0,16609405","90,9083196","0,51404265","14,69999981"
02/01/2010 7.00,"0,07653027","9,07104042","7,70676532","0,18997189","86,705892","0,4460562","14,69999981"
02/01/2010 8.00,"0,01227926","20,47274","16,90607799","0,2212102","75,32044695","0,61116615","14,69999981"
02/01/2010 9.00,"0,06959026","32,34782784","24,66734296","0,2995448","66,59148405","0,66201615","14,69999981"
02/01/2010 10.00,"0,11495354","33,51252264","23,80426616","0,3936803","65,40453885","0,95440365","14,69999981"
02/01/2010 11.00,"0,06539107","34,12466856","23,34871304","0,34431925","62,0814474","1,148193","14,69999981"
02/01/2010 12.00,,"26,43622976","18,04950179","0,33812378","70,51133985","1,172601","14,69999981"
02/01/2010 13.00,,"28,3298172","18,51284058","0,29768197","71,8056759","1,2005685","14,69999981"
02/01/2010 14.00,,"28,22345264","20,54011888","0,33455771","71,83661835","1,2239595","14,69999981"
02/01/2010 15.00,,"24,17171432","19,09948042","0,35044249","70,2498552","1,04267925","14,69999981"
02/01/2010 16.00,,"39,601822","30,5259404","0,3469172","58,34339595","1,03993335","14,69999981"
02/01/2010 17.00,"0,0209502","35,9261932","29,0930876","0,35635952","61,3819206","1,335321","14,69999981"
02/01/2010 18.00,"0,15525319","41,51225416","34,01851432","0,37175733","57,41133195","1,346508","14,69999981"
02/01/2010 19.00,"0,25869327","46,82855104","38,08604576","0,39137127","55,33186365","1,4385465","14,69999981"
02/01/2010 20.00,"0,08474051","51,14097144","41,1036024","0,39659746","55,68031035","1,5127875","14,69999981"
02/01/2010 21.00,"0,07700622","39,71076776","31,25664944","0,35830041","64,67009955","1,5255","14,69999981"
02/01/2010 22.00,"0,02008473","31,21816088","26,1417244","0,34561589","66,4768713","1,288539","14,69999981"
02/01/2010 23.00,"0,02509142","23,00571936","18,72959254","0,27793988","72,5974116","1,131921","14,69999981"
03/01/2010 0.00,"0,02776105","13,63898432","11,24346438","0,24021951","77,8676031","0,96589575","14,69999981"
03/01/2010 1.00,"0,03343184","20,870914","17,20069425","0,28078015","71,58764235","0,8165493",17
03/01/2010 2.00,"0,0476434","16,20050984","13,27852452","0,23979428","75,1583931","0,9717435",17
03/01/2010 3.00,"0,00053393","8,45757139","7,33687171","0,20596734","80,6321145","0,69211935",17
03/01/2010 4.00,"0,00266963","7,25786978","5,79370225","0,20772067","81,2473326","0,7034589",17
03/01/2010 5.00,,"4,1399427","3,61068007","0,19641434","86,06036985","0,58986",17
03/01/2010 6.00,"0,00053393","6,05687184","5,2550842","0,19952023","82,83277905","0,6319638",17
03/01/2010 7.00,,"13,42887464","10,7892095","0,23604182","71,4236334","0,5590449",17
03/01/2010 8.00,,"11,28886673","9,06953185","0,27154403","65,21680935","0,88860375",17
03/01/2010 9.00,,"13,88800511","10,3479352","0,30331008","61,1612736","1,0236105",17
03/01/2010 10.00,"0,00266963","17,14730165","11,21620308","0,37892208","56,15061165","1,1812455",17
03/01/2010 11.00,"0,06513173","18,26788852","12,26358712","0,37791202","58,6397931","1,44414",17
03/01/2010 12.00,"0,07520308","18,61936766","12,66203836","0,37860636","65,6759187","1,5687225",17
03/01/2010 13.00,"0,07358707","22,6905644","14,21298966","0,34995435","67,1191017","1,508211",17
03/01/2010 14.00,"0,04698032","16,12269144","10,54131106","0,34257757","76,0812402","1,437021",17
03/01/2010 15.00,"0,0533864","13,81148305","10,24410022","0,32393641","79,1941983","1,5605865",17
03/01/2010 16.00,"0,03536516","16,58960375","13,00208182","0,32373719","74,63540385","1,420749",17
03/01/2010 17.00,"0,00053393","19,19261776","15,37588527","0,34197294","71,1601737","1,46448",17
03/01/2010 18.00,"0,00053393","21,9422076","15,86777786","0,32961462","78,81018075","1,488888",17
03/01/2010 19.00,,"21,41952416","15,31877957","0,33897539","81,35799525","1,1812455",17
03/01/2010 20.00,,"30,83296936","21,68095192","0,34841306","77,3584392","1,202094",17
03/01/2010 21.00,,"27,55551456","20,53751856","0,32758752","79,2884022","1,2331125",17
03/01/2010 22.00,,"21,82287968","16,46480178","0,31696971","82,67274015","1,093275",17
03/01/2010 23.00,,"20,65690384","15,57186527","0,33001887","79,5637122","0,97504875",17
04/01/2010 0.00,,"16,2770319","12,53614272","0,28345732","80,69996445","1,0048977",17
04/01/2010 1.00,,"12,0916945","9,47576493","0,26761332","80,4305397","0,79148025","17,7999897"
04/01/2010 2.00,"1,05348996",,,"0,2373839","83,19375435","0,7517664","17,7999897"
04/01/2010 3.00,"1,59484821","9,67802394","8,67367902",,"84,3405402","0,80063325","17,7999897"
04/01/2010 4.00,"1,51283428","7,34476827","6,54387162","0,1569488",,"0,77358105","17,7999897"
04/01/2010 5.00,"1,42630894","5,08803085","4,21289315","0,15702919","85,32457395","0,72435825","17,7999897"
04/01/2010 6.00,"1,03833971","10,88421105","8,90340199","0,1619851","80,9149257","0,59550435","17,7999897"
04/01/2010 7.00,"1,3115588","29,5385836","25,27344696","0,22406445","61,87043625","0,61228485","17,7999897"
04/01/2010 8.00,"2,16501197","130,616999","71,64382544","0,45396905","29,11848135","1,07339265","17,7999897"
04/01/2010 9.00,"4,91453249","242,745608","89,72058088","0,8387301","22,0080021","2,0039985","17,7999897"
04/01/2010 10.00,"3,03280994","112,1753192","60,7248332","0,45832032","35,1676605","2,698101","17,7999897"
04/01/2010 11.00,"2,33713719","60,03953416","40,91280392","0,35724492","48,70946115","2,000439","17,7999897"
04/01/2010 12.00,"2,14618629","50,93478136","33,48768576","0,30527777","63,81951135","1,7589015","17,7999897"
04/01/2010 13.00,"2,13184252","68,2065848","41,91994992","0,31506726","61,0355088","1,2717585","17,7999897"
04/01/2010 14.00,"3,20941809","78,66797808","52,6455816","0,29222511","56,31894975","1,438038","17,7999897"
04/01/2010 15.00,"2,37299661","41,21914456","30,25598512","0,25496258","64,5653421","1,3287105","17,7999897"
04/01/2010 16.00,"2,14618629","59,18093144","42,42743296","0,23953332","57,05949375","1,0795455","17,7999897"
04/01/2010 17.00,"1,23148733","25,11849848","19,8717028","0,22184746","72,9008511","1,2308751","17,7999897"
04/01/2010 18.00,"0,45386066","22,75541944","16,6789496","0,20283349","77,6365422","1,052595","17,7999897"
04/01/2010 19.00,"0,22273215","19,00846157","13,51084782","0,20194809","78,8622303","0,87141645","17,7999897"
04/01/2010 20.00,"0,25884582","28,68778184","20,98138936","0,25460027","71,908179","0,8422794","17,7999897"
04/01/2010 21.00,"0,48752438","20,21852048","14,46997202","0,22648066","77,9903355","1,1039535","17,7999897"
04/01/2010 22.00,"0,43007405","19,685474","12,99429042","0,21363071","77,3501001","1,01308455","17,7999897"
04/01/2010 23.00,"0,75074737","9,61577113","6,98125501","0,21367032","81,1848891","0,98328645","17,7999897"
05/01/2010 0.00,"0,45548989","6,50821856","5,17851051","0,19115204","80,73671235","0,84792375","17,7999897"
05/01/2010 1.00,"0,54040126","9,36286133","8,08444459","0,19896686","85,885947",,"21,7999897"
05/01/2010 2.00,"0,77084329","7,54320519","6,2245963","0,19199666","76,5250878",,"21,7999897"
05/01/2010 3.00,"0,75609577","6,63661892","6,00655182","0,17266116","72,293613",,"21,7999897"
05/01/2010 4.00,"0,61301709","11,09561898","10,01957406","0,17113035","63,7007091",,"21,7999897"
05/01/2010 5.00,"0,99744512","14,92558442","13,7094224","0,17036378","59,6269989",,"21,7999897"
05/01/2010 6.00,"1,04805104","21,28335152","18,96190628","0,18808925","59,90751585",,"21,7999897"
05/01/2010 7.00,"0,77714869","18,15375359","15,30969757","0,17668973","70,93791075",,"21,7999897"
05/01/2010 8.00,"1,25016454","46,98938848","34,77126872","0,21959202","60,12664665",,"21,7999897"
05/01/2010 9.00,"1,37610575","34,40095256","25,8419228","0,21064948","67,31766405",,"21,7999897"
05/01/2010 10.00,"1,39582843","31,37509784","22,3091204","0,20073882","72,366231",,"21,7999897"
05/01/2010 11.00,"1,72932002","22,72687328","16,63092781","0,20001419","79,01865825",,"21,7999897"
05/01/2010 12.00,"1,65222329","24,26379624","17,77305145","0,18764655","78,01210095",,"21,7999897"
05/01/2010 13.00,"1,39270523","21,87607152","16,45441388","0,18833157","81,2231532",,"21,7999897"
05/01/2010 14.00,"1,16994358","18,32106506","13,67826636","0,17024262","84,25796715",,"21,7999897"
05/01/2010 15.00,"1,37700173","13,42109471","10,14936062","0,16069661","87,19708095",,"21,7999897"
05/01/2010 16.00,"1,29678179","16,1019405","12,5179749","0,17161266","87,2776191",,"21,7999897"
05/01/2010 17.00,"1,17352952","17,40929154","13,44984737","0,18490647","87,23139495",,"21,7999897"
05/01/2010 18.00,"1,42451597","17,85026374","13,88592486","0,17902555","86,4466218",,"21,7999897"
05/01/2010 19.00,"1,18873977","16,21607543","12,20648333","0,18140215","87,72180585",,"21,7999897"
05/01/2010 20.00,"1,08211749","12,60918686","9,2927655","0,17733281","89,0095185",,"21,7999897"
05/01/2010 21.00,"0,85323046","10,72338699","7,39008458","0,16081777","90,05368155",,"21,7999897"
05/01/2010 22.00,"1,14889066","9,3524849","6,80085016","0,15835845","88,02277155",,"21,7999897"
05/01/2010 23.00,"1,08749641","7,42647759","5,21355174","0,14260765","85,84335375",,"21,7999897"
06/01/2010 0.00,"1,08700418","6,99199089","4,72814847","0,13418936","83,79133665",,"21,7999897"
06/01/2010 1.00,,"4,69245334","3,28361718","0,12101554","83,88769515",,"35,59999084"
06/01/2010 2.00,"0,24458748",,,"0,12790302","81,5425926",,"35,59999084"
06/01/2010 3.00,"0,27842714","10,51068273","8,89561633",,"79,7050779",,"35,59999084"
06/01/2010 4.00,"0,13021871","6,17619402","5,22523406","0,16445257",,,"35,59999084"
06/01/2010 5.00,"0,17528097","6,26827786","5,41861565","0,16417064","72,3760065",,"35,59999084"
06/01/2010 6.00,"0,09500814","9,71434046","7,66004178","0,17347083","66,17209515",,"35,59999084"
06/01/2010 7.00,"0,16260203","12,9152732","10,80088609","0,18743452","64,77387945",,"35,59999084"
06/01/2010 8.00,"0,09132457","23,87988576","17,47714459","0,20034622","57,59148045",,"35,59999084"
06/01/2010 9.00,"0,13510235","16,34188121","11,4783727","0,22560109","64,3548297",,"35,59999084"
06/01/2010 10.00,"0,08849731","16,60905835","11,22009974","0,22187775","72,1584318",,"35,59999084"
06/01/2010 11.00,"0,04566228","14,69472189","9,45889153","0,23510399","76,58001015",,"35,59999084"
06/01/2010 12.00,"0,00445446","20,0149116","12,83594623","0,25583517","77,0118279",,"35,59999084"
06/01/2010 13.00,,"24,69697896","16,05338144","0,2908539","78,44964435",,"35,59999084"
06/01/2010 14.00,,"20,01101112","13,8612677","0,2524357","83,9088222",,"35,59999084"
06/01/2010 15.00,,"7,35125186","5,7184249","0,20504","94,2509421",,"35,59999084"
06/01/2010 16.00,"0,00034273","8,76884499","6,80993598","0,20338104","91,6963047",,"35,59999084"
06/01/2010 17.00,"0,01533534","20,97077776","16,07154926","0,25526898","78,41070195",,"35,59999084"
06/01/2010 18.00,"0,07401929","21,43250664","16,3402063","0,28033046","73,14629595",,"35,59999084"
06/01/2010 19.00,"0,25658198","31,30117992","23,22020752","0,27736786","73,1483109",,"35,59999084"
06/01/2010 20.00,"0,14092772","27,04709464","20,84380184","0,27565997","76,1804316",,"35,59999084"
06/01/2010 21.00,"0,0932945","67,74745624","46,01604664","0,48524114","58,982973",,"35,59999084"
06/01/2010 22.00,"0,12499235","57,68423696","44,32232056","0,4675145","57,80638185",,"35,59999084"
06/01/2010 23.00,"0,06759389","72,3996964","48,51835752","0,42926639","54,277965",,"35,59999084"
07/01/2010 0.00,"0,04583314","82,85072664","56,57424448","0,52324577","41,9594385",,"35,59999084"
07/01/2010 1.00,"0,01473531","60,8229188","47,42423464","0,41708282","42,85261995",,"21,39999962"
07/01/2010 2.00,"0,00008543","25,90706464","23,17349736","0,26494197","54,99790065",,"21,39999962"
07/01/2010 3.00,"0,00034273","12,52229028","10,10004058","0,22341671","69,3687435",,"21,39999962"
07/01/2010 4.00,"0,00085631","7,89857525","6,92285106","0,20649742","73,56333075",,"21,39999962"
07/01/2010 5.00,"0,00154177","8,13203045","7,36672186","0,24519173","65,53409415",,"21,39999962"
07/01/2010 6.00,"0,00308456","19,19651824","17,03327379","0,27319833","52,72798965",,"21,39999962"
07/01/2010 7.00,"0,00017086","33,69150496","26,98015552","0,28420758","47,610675",,"21,39999962"
07/01/2010 8.00,"0,01610623","45,92713864","32,79202368","0,33965692","48,3702114",,"21,39999962"
07/01/2010 9.00,"0,03983691","62,50765848","41,65259496","0,45921737","41,5094862",,"21,39999962"
07/01/2010 10.00,"0,18984441","69,60341552","43,96020688","0,44622413","42,11323305",,"21,39999962"
07/01/2010 11.00,"0,41370035","78,389132","46,03291048","0,47625666","44,0648019",,"21,39999962"
07/01/2010 12.00,"0,33145759","52,67013168","32,97112072","0,4536312","55,3370307",,"21,39999962"
07/01/2010 13.00,"0,23533583","46,28902288","29,185246","0,3621519","65,3205294",,"21,39999962"
07/01/2010 14.00,"0,08729826","48,73770216","31,83158784","0,37118531","70,73940825",,"21,39999962"
07/01/2010 15.00,"0,0002573","24,8876436","18,39083968","0,2443005","84,48300315",,"21,39999962"
07/01/2010 16.00,"0,00745359","34,4735512","26,53886592","0,25114022","78,66255075",,"21,39999962"
07/01/2010 17.00,"0,13090417","59,60893264","46,62215064","0,37203576","57,86547375",,"21,39999962"
07/01/2010 18.00,"0,2283104","61,974612","49,00893848","0,39352768","55,50291495",,"21,39999962"
07/01/2010 19.00,"0,08464186","41,01681672","33,23459432","0,39417542","60,5221953",,"21,39999962"
07/01/2010 20.00,"0,03897958","43,6574608","34,72843992","0,39660328","51,43993785",,"21,39999962"
07/01/2010 21.00,"0,01636353","62,23011256","41,16329504","0,50033838","47,7087093",,"21,39999962"
07/01/2010 22.00,"0,00351272","32,27651024","25,19687136","0,38098063","59,71767165",,"21,39999962"
07/01/2010 23.00,"0,00008543","26,35971152","21,10339408","0,33188637","67,04913705",,"21,39999962"
08/01/2010 0.00,"0,00008543","14,37566645","11,4303509","0,23624686","75,0112419",,"21,39999962"
08/01/2010 1.00,,"11,69741524","10,07538151","0,22021879","70,62724935",,26
08/01/2010 2.00,"0,00201163",,,"0,19577243","76,15088565",,26
08/01/2010 3.00,"0,07572582","16,41451044","12,1714421",,"78,81161715",,26
08/01/2010 4.00,"0,07170257","7,39535023","5,86119202","0,16882598",,,26
08/01/2010 5.00,"0,23394254","5,09840727","4,0208079","0,1689052","80,19750375",,26
08/01/2010 6.00,"0,21822583","8,73253038","7,57178768","0,16390036","78,77307375",,26
08/01/2010 7.00,"0,10949225","10,99575139","9,5289778","0,16943061","77,0001372",,26
08/01/2010 8.00,"0,12564628","21,29371456","17,42782073","0,19044954","75,50203185",,26
08/01/2010 9.00,"0,27849833","23,19508384","17,52126782","0,23150414","77,8258677",,26
08/01/2010 10.00,"0,19422869","19,9280112","15,43169655","0,20857927","80,7962232",,26
08/01/2010 11.00,"0,17509994","19,07849622","14,99561142","0,20922585","81,8728449",,26
08/01/2010 12.00,"0,22350406","16,55847639","12,95016529","0,20099279","83,4326955",,26
08/01/2010 13.00,"0,12564628","17,31201662","13,31097116","0,20135511","83,68626",,26
08/01/2010 14.00,"0,13028279","16,32502119","12,10135774","0,20736651","85,8069849",,26
08/01/2010 15.00,"0,0563357","10,7882363","8,56725518","0,19582136","90,0564147",,26
08/01/2010 16.00,"0,08351197","11,53140202","9,01631706","0,21104208","92,4326991",,26
08/01/2010 17.00,"0,10048163","11,2940559","9,14221079","0,21782238","93,54185925",,26
08/01/2010 18.00,"0,18516011","10,25777293","7,70676532","0,22080828","95,056563",,26
08/01/2010 19.00,"0,08263634","9,6961822","7,28365884","0,23941449","95,17803855",,26
08/01/2010 20.00,"0,10161966","10,75710702","8,18308467","0,2380829","94,62446595",,26
08/01/2010 21.00,"0,04916178","9,21370812","7,03706246","0,23630744","96,5427582",,26
08/01/2010 22.00,"0,12048501","8,37456574","6,28559484","0,22767013","97,9014729",,26
08/01/2010 23.00,"0,03286232","5,6794526","4,41406232","0,20749","99,1719288",,26
09/01/2010 0.00,"0,03755679","4,63020054","3,45104146","0,19792535","99,39626655",,26
09/01/2010 1.00,"0,09257954","3,87017289","2,57497835","0,18977268","99,9803826",,"43,79999161"
09/01/2010 2.00,"0,05164021","2,68084579","1,72746906","0,19215394","100,6315307",,"43,79999161"
09/01/2010 3.00,"0,03863583","2,18540262","1,49385134","0,18827798","98,78627535",,"43,79999161"
09/01/2010 4.00,"0,03327014","4,59647859","3,70282891","0,18222464","95,21853705",,"43,79999161"
09/01/2010 5.00,"0,00536569","2,35141584","1,9792546","0,17064221","91,38462585",,"43,79999161"
