"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","",""
"Stat","Via Taranto","","","","","","","","","","","","","","","","",""
,SO2,NOX,NO2,CO,O3,BENZENE,PM10
,,,,,
,,,,,,
,,,,,,
,,,,,,,
,,,,,,,
01/01/2011 1.00,"2,7","141,9","51,8","1,3",,,"48,3"
01/01/2011 2.00,"7,5","361,7","85,8","2,1",,,"48,3"
01/01/2011 3.00,7,"314,2","85,9",2,,,"48,3"
01/01/2011 4.00,"7,4","357,4","86,5","2,1",,,"48,3"
01/01/2011 5.00,"1,1","88,3","49,3","1,1","14,8",,"48,3"
01/01/2011 6.00,"0,2","50,3","33,9","0,8","41,6",,"48,3"
01/01/2011 7.00,"0,2","26,2","20,9","0,7","38,4",,"48,3"
01/01/2011 8.00,"0,2",91,"54,3",1,"1,4",,"48,3"
01/01/2011 9.00,"0,2","98,4","47,6","1,1","2,6",,"48,3"
01/01/2011 10.00,"0,3","106,1","50,6","1,1","6,1",,"48,3"
01/01/2011 11.00,"0,2","29,1",20,"0,7","50,7",,"48,3"
01/01/2011 12.00,"0,2","22,6","16,1","0,7","54,5",,"48,3"
01/01/2011 13.00,"0,2","21,2","14,2","0,6","54,6",,"48,3"
01/01/2011 14.00,"3,4","20,6","13,7","0,6",54,,"48,3"
01/01/2011 15.00,"1,6","21,4","16,1","0,5","54,4",,"48,3"
01/01/2011 16.00,"0,5","11,4","9,4","0,4","58,6",,"48,3"
01/01/2011 17.00,"0,3","20,5","17,2","0,4","53,2",,"48,3"
01/01/2011 18.00,"0,3","54,7","40,5","0,5","32,7",,"48,3"
01/01/2011 19.00,"1,6","137,9","72,9","0,8","14,3",,"48,3"
01/01/2011 20.00,"1,6","155,6",73,"0,7","19,5",,"48,3"
01/01/2011 21.00,"2,2","178,4","79,5","0,9","13,4",,"48,3"
01/01/2011 22.00,"0,4",108,"69,2",1,"14,3",,"48,3"
01/01/2011 23.00,"1,6","174,2","83,2","1,2","5,7",,"48,3"
02/01/2011 0.00,"0,2","93,6","60,3","0,7","15,3",,"48,3"
02/01/2011 1.00,,"53,7","42,7","0,5","26,4",,"6,2"
02/01/2011 2.00,"0,1",,,"0,3","52,7",,"6,2"
02/01/2011 3.00,"0,1","19,6","17,9",,"57,3",,"6,2"
02/01/2011 4.00,"0,1","13,1","12,2","0,3",,,"6,2"
02/01/2011 5.00,"0,1","7,5","6,9","0,2",59,,"6,2"
02/01/2011 6.00,"0,1","10,4","9,3","0,2","57,2",,"6,2"
02/01/2011 7.00,"0,1","12,6","11,5","0,2","57,2",,"6,2"
02/01/2011 8.00,"0,1","13,7","12,1","0,2","55,7",,"6,2"
02/01/2011 9.00,"0,1","13,5","11,8","0,2","56,4",,"6,2"
02/01/2011 10.00,"0,1","13,7","11,2","0,1","56,5",,"6,2"
02/01/2011 11.00,"0,1","14,2","11,2",,"56,4",,"6,2"
02/01/2011 12.00,"0,1","15,2","12,5",,"53,4",,"6,2"
02/01/2011 13.00,"0,1","19,6","15,2",,"51,6",,"6,2"
02/01/2011 14.00,"0,1","18,9","14,9",,"51,8",,"6,2"
02/01/2011 15.00,"0,1","13,1","10,8",,"54,3",,"6,2"
