"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","",""
"Stat","Via Taranto","","","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE

,,,,,

01/01/2012 1.00,"0,39209927","9,20580774","12,72332178","0,36326564","57,70064685","13,1","0,59265675"
01/01/2012 2.00,"0,35960408","14,44011614","21,3079972","0,38623245","55,62225585","13,1","0,6050133"
01/01/2012 3.00,"0,35759042","13,9170809","20,21723944","0,36006539","56,67401985","13,1","0,6014538"
01/01/2012 4.00,"0,222783","9,31482806","12,98920068","0,31544589","58,911552","13,1","0,5160258"
01/01/2012 5.00,"0,11710857","7,03836071","9,84922442","0,29984188","60,38974725","13,1","0,4462596"
01/01/2012 6.00,"0,10135015","6,40889207","9,62614564","0,28818372","60,19922475","13,1","0,4822614"
01/01/2012 7.00,"0,13375584","8,20125441","11,00742415","0,28634302","59,22981435","13,1","0,4133088"
01/01/2012 8.00,"0,11453149","9,95338253","12,95548065","0,30584629","57,7292751","13,1","0,4134105"
01/01/2012 9.00,"0,36116009","22,25849064","29,069092","0,37378443","35,00006055","13,1","0,4176819"
01/01/2012 10.00,"0,33450045","14,52318107","21,07324184","0,39013287","39,67893405","13,1","0,60730155"
01/01/2012 11.00,"0,63583959","8,98257409","14,05272009","0,34419809","58,11452955","13,1","0,72252765"
01/01/2012 12.00,"0,69477169","8,99555274","13,6999427","0,31443816","62,297865","13,1","0,54841725"
01/01/2012 13.00,"0,47866834","9,66525369","15,5961209","0,32872572","64,48584135","13,1","0,57811365"
01/01/2012 14.00,"0,57050954","10,62696866","16,40543226","0,32644698","64,3972035","13,1","0,638676"
01/01/2012 15.00,"0,26203107","7,73402088","11,38484339","0,30746913","66,4868064","13,1","0,5454171"
01/01/2012 16.00,"0,23633453","6,93063672","9,77529885","0,30567154","67,5441564","13,1","0,4765662"
01/01/2012 17.00,"0,28732793","10,76194821","14,00343638","0,35314063","65,6339439","13,1","0,44712405"
01/01/2012 18.00,"0,36721734","16,08971518","20,94353176","0,3819802","59,95842825","13,1","0,68062725"
01/01/2012 19.00,"0,26884395","16,48816642","21,4843792","0,38566277","60,10150965","13,1","0,7646823"
01/01/2012 20.00,"0,29582903","25,48110928","33,58515952","0,46766828","53,4259005","13,1","0,81049815"
01/01/2012 21.00,"0,33812911","33,70831144","45,56399248","0,52434087","48,39177735","13,1","1,056663"
01/01/2012 22.00,"0,21355576","21,36166704","28,0120428","0,42353109","57,53593965","13,1","1,1863305"
01/01/2012 23.00,"0,70749436","54,82728832","80,00905488","0,6286573","21,8944866","13,1","0,7500375"
02/01/2012 0.00,"1,57912234","69,78266552","134,0280452","0,84855338","6,20521808","13,1","1,2723687"
02/01/2012 1.00,,"56,85586296","109,19099312","0,82238632","6,53254371","29,5","1,73907"
02/01/2012 2.00,"0,88177053",,,"0,73915289","7,25838257","29,5","1,819413"
02/01/2012 3.00,"0,56730192","29,54994088","36,17651224",,"19,27240224","29,5","1,4965155"
02/01/2012 4.00,"0,22453631","22,26627248","26,41028392","0,4952415",,"29,5","1,158363"
02/01/2012 5.00,"0,27906175","19,87560328","23,20416584","0,49209717","24,7411521","29,5","0,95603085"
