Stat,BR-Via Taranto,,,,,,,,  ,
,,,,,,,,,,,,,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,
,,,,,,,
,,,,,,,,
01/01/2014 1.00,"0,6","15,3","17,7","0,3","64,2","25,5",,,,
01/01/2014 2.00,"0,6","23,9","30,9","0,4","62,1","25,5",,,,
01/01/2014 3.00,"0,9","20,6","27,7","0,3","63,1","25,5",,,,
01/01/2014 4.00,"0,4","14,5","17,8","0,3","60,8","25,5",,,,
01/01/2014 5.00,"0,4","10,7","13,4","0,3","57,6","25,5",,,,
01/01/2014 6.00,"0,5","8,2","9,8","0,3","54,3","25,5",,,,
01/01/2014 7.00,"0,5","15,2","18,6","0,3","45,4","25,5",,,,
01/01/2014 8.00,"0,5","9,3","11,2","0,3","55,4","25,5",,,,
01/01/2014 9.00,"0,5","14,4","17,5","0,3","44,4","25,5",,,,
01/01/2014 10.00,"0,4","16,2","19,6","0,3","43,8","25,5",,,,
01/01/2014 11.00,"0,3","15,9","20,4","0,3","46,9","25,5",,,, 
01/01/2014 12.00,"0,3","13,2","18,4","0,3","47,1","25,5",,,,
01/01/2014 13.00,"0,4","17,2","24,5","0,4","49,5","25,5",,,,
01/01/2014 14.00,"0,4","25,2","34,4","0,4","51,9","25,5",,,,
01/01/2014 15.00,"0,4","25,7","31,8","0,4","44,7","25,5",,,,
01/01/2014 16.00,"0,4","40,5","47,9","0,4","35,4","25,5",,,,
01/01/2014 17.00,"0,4","24,3","30,3","0,4","45,1","25,5",,,,
01/01/2014 18.00,"1,0","59,0","84,4","0,7","11,2","25,5",,,,
01/01/2014 19.00,"2,2","59,6","123,0","0,9","12,6","25,5",,,,
01/01/2014 20.00,"0,7","46,5","64,2","0,7","15,3","25,5",,,,
01/01/2014 21.00,"1,2","51,5","83,0","0,8","10,3","25,5",,,,
01/01/2014 22.00,"1,0","50,2","80,2","0,8","10,4","25,5",,,,
01/01/2014 23.00,"1,0","46,3","73,4","0,8","9,7","25,5",,,,
02/01/2014 0.00,"2,5","49,4","117,6","0,9","5,7","25,5",,,,
02/01/2014 1.00,,"34,6","52,1","0,6","11,3","25,1",,,,
02/01/2014 2.00,"0,5",,,"0,5","17,5","25,1",,,,
02/01/2014 3.00,"0,9","31,6","42,4",,"9,3","25,1",,,,
02/01/2014 4.00,"1,1","28,0","43,5","0,6",,"25,1",,,,
02/01/2014 5.00,"0,6","26,1","32,9","0,6","6,4","25,1",,,,
02/01/2014 6.00,"0,7","26,5","38,4","0,6","4,7","25,1",,,,
02/01/2014 7.00,"2,2","33,4","86,9","0,7","5,2","25,1",,,,
02/01/2014 8.00,"5,1","52,8","193,7","1,2","4,8","25,1",,,,
02/01/2014 9.00,"6,3","64,4","253,0","1,0","5,7","25,1",,,,
02/01/2014 10.00,"2,3","48,5","114,8","0,7","12,1","25,1",,,,
02/01/2014 11.00,"0,6","26,3","42,4","0,5","32,7","25,1",,,,
02/01/2014 12.00,"0,5","27,4","41,5","0,5","33,3","25,1",,,,
02/01/2014 13.00,"0,7","29,7","46,2","0,5","31,5","25,1",,,,
02/01/2014 14.00,"0,6","25,7","38,1","0,5","37,6","25,1",,,,
02/01/2014 15.00,"0,8","22,1","30,9","0,5","38,5","25,1",,,,
02/01/2014 16.00,"0,5","18,4","24,2","0,4","41,0","25,1",,,,
02/01/2014 17.00,"0,6","27,3","36,5","0,5","30,7","25,1",,,,
02/01/2014 18.00,"0,7","30,1","37,0","0,5","25,6","25,1",,,,
02/01/2014 19.00,"0,5","40,2","50,2","0,6","19,8","25,1","1,2",,,
02/01/2014 20.00,"1,1","51,5","72,3","0,7","15,1","25,1","1,7",,,
02/01/2014 21.00,"1,1","45,5","65,3","0,6","18,3","25,1","2,4",,,
02/01/2014 22.00,"1,5","52,5","92,4","0,7","11,9","25,1","2,1",,,
02/01/2014 23.00,"1,0","39,0","57,0","0,6","17,6","25,1","2,0",,,
03/01/2014 0.00,"0,6","26,8","33,8","0,5","26,4","25,1","1,8",,,
03/01/2014 1.00,"0,8","24,0","29,9","0,6","29,1","31,1","1,6",,,
03/01/2014 2.00,"0,7","22,6","28,4","0,6","32,9","31,1","2,1",,,
03/01/2014 3.00,"0,5","15,2","18,6","0,5","38,3","31,1","1,8",,,
03/01/2014 4.00,"0,6","12,5","14,7","0,4","34,2","31,1","1,3",,,
03/01/2014 5.00,"0,5","18,0","20,1","0,6","23,5","31,1","1,3",,,
03/01/2014 6.00,"0,6","22,5","25,4","0,6","21,2","31,1","1,5",,,
03/01/2014 7.00,"0,7","34,7","46,2","0,6","11,4","31,1","1,5",,,
03/01/2014 8.00,"1,0","47,0","77,5","0,7","6,5","31,1","1,5",,,
03/01/2014 9.00,"2,1","46,9","107,1","0,7","7,5","31,1","1,8",,,
03/01/2014 10.00,"1,3","42,8","81,6","0,7","13,9","31,1","1,9",,,
03/01/2014 11.00,"1,1","44,5","77,5","0,6","21,1","31,1","2,2",,,
03/01/2014 12.00,"0,6","48,5","81,3","0,6","23,2","31,1","1,6",,,
03/01/2014 13.00,"0,7","42,1","68,2","0,6","29,3","31,1","2,0",,,
03/01/2014 14.00,"1,2","49,8","80,1","0,6","29,1","31,1","2,2",,,
03/01/2014 15.00,"1,0","47,6","71,0","0,5","24,3","31,1","2,2",,,
03/01/2014 16.00,"0,4","27,9","35,7","0,4","41,8","31,1","1,8",,,
