,SIMAGE Brindisi,,,,
,Via Dei Mille,,,,
Parm,SO2,NOX,NO,NO2,PM10



01/01/2005 1.00,"0,721346","16,551988","6,216399","7,013701",
01/01/2005 2.00,"0,656129","30,50223","10,195628","14,860629","17,582411"
01/01/2005 3.00,"0,253903","37,585024","13,241307","17,275975",
01/01/2005 4.00,"0,477564","23,709986","8,369073","10,869679","16,11721"
01/01/2005 5.00,"0,386182","18,634932","7,187129","7,67302",
01/01/2005 6.00,0,"22,974591","6,703875","12,691882","19,0476"
01/01/2005 7.00,0,"24,36366","6,994504","13,635443",
01/01/2005 8.00,0,"17,581787","4,581615","10,555594","24,908421"
01/01/2005 9.00,"0,098644","25,546499","7,504793","14,035187",
01/01/2005 10.00,0,"17,742613","5,469551","9,352467","25,39682"
01/01/2005 11.00,0,"15,574072","5,118094","7,722338",
01/01/2005 12.00,0,"16,871045","6,219778","7,327786","25,88522"
01/01/2005 13.00,"0,003513","17,653121","6,415783","7,809298",
01/01/2005 14.00,"0,015805","17,990335","6,26371","8,380361","21,97802"
01/01/2005 15.00,0,"8,122952","3,393758","2,91502",
01/01/2005 16.00,0,"10,078791","4,269021","3,527617","20,51281"
01/01/2005 17.00,0,"12,802436","4,933072","5,233022",
01/01/2005 18.00,0,"21,752843","7,797111","9,789849","17,094"
01/01/2005 19.00,0,"26,218337","7,742195","14,342781",
01/01/2005 20.00,0,"25,017334","6,961556","14,340189","13,18681"
01/01/2005 21.00,0,"20,808659","6,99366","10,079274",
01/01/2005 22.00,0,"30,829088","9,325442","16,524499","16,60561"
01/01/2005 23.00,0,"26,10549","8,603942","12,90604",
02/01/2005 0.00,0,"37,049339","10,467675","20,994371","14,16361"
02/01/2005 1.00,,"36,42293","10,912909","19,683524",
02/01/2005 2.00,0,,,,"11,23321"
02/01/2005 3.00,0,"20,977258","5,3141","12,828164",
02/01/2005 4.00,0,"15,731005","4,447284","8,909893","17,582411"
02/01/2005 5.00,0,"11,190297","3,518796","5,792404",
02/01/2005 6.00,0,"9,270775","2,910504","4,80602","17,582411"
02/01/2005 7.00,0,"10,412113","3,073561","5,697659",
02/01/2005 8.00,0,"18,509125","4,633995","11,403099","12,69841"
02/01/2005 9.00,"0,001777","23,309211","5,800733","14,414156",
02/01/2005 10.00,"0,129562","21,611488","5,748352","12,795715","21,001221"
02/01/2005 11.00,"0,017751","24,846133","7,505637","13,333033",
02/01/2005 12.00,"0,282194","19,812584","7,289356","8,628253","17,582411"
02/01/2005 13.00,"2,22381","21,603707","7,903561","9,504319",
02/01/2005 14.00,"0,81818","18,266591","6,693739","7,99619","17,094"
02/01/2005 15.00,"0,278645","12,085208","4,905193","4,558125",
02/01/2005 16.00,"0,008876","15,843842","5,883527","6,816425","15,14041"
02/01/2005 17.00,"0,000001","16,336692","4,780155","9,004636",
02/01/2005 18.00,"0,037273","55,878848","14,223868","34,066525","16,11721"
02/01/2005 19.00,"0,001778","54,772529","13,159353","34,594771",
02/01/2005 20.00,"0,566159","73,468407","22,895394","38,346917","26,37361"
02/01/2005 21.00,"2,092475","104,517969","35,10684","50,658535",
02/01/2005 22.00,"0,578584","96,238108","33,038654","45,550111","46,398041"
02/01/2005 23.00,"1,162487","86,313642","28,536448","42,535154",
03/01/2005 0.00,"0,298167","84,287766","28,004191","41,325526","48,84005"
03/01/2005 1.00,"4,932132","47,732543","15,051826","24,642697",
03/01/2005 2.00,"0,43305","37,412525","9,895714","22,236425","47,863232"
03/01/2005 3.00,0,"28,72539","6,302572","19,063138",
