NetC,SIMAGE Brindisi,,
Stat,Via Dei Mille,,
Parm,SO2,NO2,PM10
PtId,1,4,5
Unit,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver
,,,,,,,
,,,,,,,,
01/01/2006 1.00,,"22,84643",
01/01/2006 2.00,,"31,572032","84,981682"
01/01/2006 3.00,,"23,189079",
01/01/2006 4.00,,"20,429797","64,95726"
01/01/2006 5.00,,"17,386289",
01/01/2006 6.00,,"14,172759","35,653221"
01/01/2006 7.00,,"18,287015",
01/01/2006 8.00,,"16,675054","30,28083"
01/01/2006 9.00,,"11,980659",
01/01/2006 10.00,,"10,107828","24,42001"
01/01/2006 11.00,,"15,074779",
01/01/2006 12.00,,"17,135795","21,48962"
01/01/2006 13.00,,"22,951552",
01/01/2006 14.00,,"19,196824","28,327221"
01/01/2006 15.00,,"9,99102",
01/01/2006 16.00,,"8,819043","25,88522"
01/01/2006 17.00,,"11,381038",
01/01/2006 18.00,,"15,127998","21,48962"
01/01/2006 19.00,,"18,259755",
01/01/2006 20.00,,"18,665988","28,327221"
01/01/2006 21.00,,"20,978788",
01/01/2006 22.00,,"20,222134","29,30402"
01/01/2006 23.00,,"14,094883",
02/01/2006 0.00,,"10,869679","30,28083"
02/01/2006 1.00,,"7,563998",
02/01/2006 2.00,,,"20,51281"
02/01/2006 3.00,,"3,635339",
02/01/2006 4.00,,"2,844935","26,37361"
02/01/2006 5.00,,"2,072702",
02/01/2006 6.00,,"7,998785","22,46641"
02/01/2006 7.00,,"13,828819",
02/01/2006 8.00,,"19,970343","15,14041"
02/01/2006 9.00,,"39,100973",
02/01/2006 10.00,,"62,360144","16,11721"
02/01/2006 11.00,,"32,568796",
02/01/2006 12.00,,"17,150078","10,25641"
02/01/2006 13.00,,"20,178005",
02/01/2006 14.00,,"17,095567","15,62881"
02/01/2006 15.00,,"19,348655",
02/01/2006 16.00,,"33,091824","13,67521"
02/01/2006 17.00,,"53,76435",
02/01/2006 18.00,,"71,415398","20,02442"
02/01/2006 19.00,,"71,085751",
02/01/2006 20.00,,"62,439324","42,97924"
02/01/2006 21.00,,"66,354999",
02/01/2006 22.00,,"53,541104","34,18803"
02/01/2006 23.00,,"49,792856",
03/01/2006 0.00,,"39,922539","35,164822"
03/01/2006 1.00,,"40,143166",
03/01/2006 2.00,,"23,056674","40,537231"
03/01/2006 3.00,,"13,730182",
03/01/2006 4.00,,"14,148103","21,97802"
03/01/2006 5.00,,"18,325952",
03/01/2006 6.00,,"19,316209","11,23321"
03/01/2006 7.00,,"35,644747",
03/01/2006 8.00,,"47,639676","19,53602"
03/01/2006 9.00,,"48,195171",
03/01/2006 10.00,,"53,28283","26,86202"
03/01/2006 11.00,,"51,717591",
03/01/2006 12.00,,"45,068591","30,28083"
03/01/2006 13.00,"4,812095","32,729728",
03/01/2006 14.00,"3,988275","46,367756","29,30402"
03/01/2006 15.00,"1,96762","40,393657",
03/01/2006 16.00,"2,09137","43,333336","22,46641"
03/01/2006 17.00,"1,896906","45,459253",
03/01/2006 18.00,"1,229011","47,560521","24,42001"
03/01/2006 19.00,"2,936403","55,138789",
03/01/2006 20.00,"2,33003","61,802074","26,37361"
03/01/2006 21.00,"2,506815","64,151214",
03/01/2006 22.00,"2,648243","62,456187","33,699631"
03/01/2006 23.00,"1,200372","56,156319",
04/01/2006 0.00,"1,797906","47,761681","39,56044"
04/01/2006 1.00,,"47,464463",
04/01/2006 2.00,"1,483539",,"24,42001"
04/01/2006 3.00,"0,959796","13,739267",
04/01/2006 4.00,"0,37615","10,381676","22,954821"
04/01/2006 5.00,"0,441186","10,926784",
04/01/2006 6.00,"0,543917","11,490059","11,23321"
04/01/2006 7.00,"1,207023","20,436277",
04/01/2006 8.00,"3,242529","58,839026","10,25641"
04/01/2006 9.00,"7,993725","69,864443",
04/01/2006 10.00,"14,854841","83,964524","24,42001"
04/01/2006 11.00,"7,738889","62,097972",
04/01/2006 12.00,"5,985118","48,792193","25,88522"
04/01/2006 13.00,"5,638257","34,563623",
04/01/2006 14.00,"8,922816","30,23132","14,65201"
04/01/2006 15.00,"7,859228","19,856138",
04/01/2006 16.00,"5,663033","31,109979","14,16361"
04/01/2006 17.00,"5,686039","51,9629",
04/01/2006 18.00,"5,339179","60,112225","22,954821"
04/01/2006 19.00,"5,788681","57,303633",
04/01/2006 20.00,"4,558742","40,610401","26,86202"
04/01/2006 21.00,"5,32856","48,335338",
04/01/2006 22.00,"2,516511","23,509646","25,39682"
04/01/2006 23.00,"2,507663","27,995082",
05/01/2006 0.00,"1,560874","18,630955","30,28083"
05/01/2006 1.00,"1,736074","16,743845",
05/01/2006 2.00,"1,319045","11,976762","23,93162"
05/01/2006 3.00,"1,23401","9,304446",
05/01/2006 4.00,"1,278607","11,474485","16,11721"
05/01/2006 5.00,"0,834944","10,389468",
05/01/2006 6.00,"0,981387","12,21816","10,74481"
05/01/2006 7.00,"1,584057","21,221497",
05/01/2006 8.00,"2,314765","30,209255","17,094"
05/01/2006 9.00,"1,930475","32,458475",
05/01/2006 10.00,"2,090013","20,623175","12,21001"
05/01/2006 11.00,"2,918233","23,200743",
05/01/2006 12.00,"3,542935","23,848395","20,51281"
05/01/2006 13.00,"4,472027","25,408433",
05/01/2006 14.00,"5,238305","26,353267","17,094"
05/01/2006 15.00,"5,969191","27,740711",
05/01/2006 16.00,"2,656316","14,98133","22,954821"
05/01/2006 17.00,"2,307687","17,867804",
05/01/2006 18.00,"2,479347","15,156549","18,55921"
05/01/2006 19.00,"2,484656","15,407032",
05/01/2006 20.00,"3,642039","27,429208","19,0476"
05/01/2006 21.00,"3,484535","40,122401",
05/01/2006 22.00,"2,58199","28,974982","27,35042"
05/01/2006 23.00,"2,120098","26,697217",
06/01/2006 0.00,"1,88119","18,612779","28,327221"
06/01/2006 1.00,,"20,0573",
06/01/2006 2.00,"3,933056",,"16,60561"
06/01/2006 3.00,"3,150315","14,162375",
06/01/2006 4.00,"2,763341","11,911865","14,16361"
06/01/2006 5.00,"3,58478","7,683404",
06/01/2006 6.00,"3,255853","8,238892","7,326007"
06/01/2006 7.00,,,
06/01/2006 8.00,"3,862698","12,341463","11,23321"
06/01/2006 9.00,"5,70258","18,848989",
06/01/2006 10.00,"5,319124","7,373211","15,14041"
06/01/2006 11.00,"5,092217","6,604872",
