, Brindisi,,
,Via Dei Mille,,
Parm,SO2,NO2,PM10
,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
01/01/2008 1.00,"2,93209","29,491529",
01/01/2008 2.00,"3,221217","27,647251","22,954821"
01/01/2008 3.00,"3,042639","25,439579",
01/01/2008 4.00,"2,22798","26,7115","15,62881"
01/01/2008 5.00,"2,675277","24,55832",
01/01/2008 6.00,"3,401497","23,959997","19,0476"
01/01/2008 7.00,"2,690584","22,778936",
01/01/2008 8.00,"2,603845","20,712734","9,27961"
01/01/2008 9.00,"1,867421","22,240327",
01/01/2008 10.00,"1,957561","23,312366","6,837607"
01/01/2008 11.00,"1,598704","23,838012",
01/01/2008 12.00,"1,562988","22,612822","6,349206"
01/01/2008 13.00,"1,598704","23,490181",
01/01/2008 14.00,"2,168454","21,055365","3,907204"
01/01/2008 15.00,"1,923547","19,262998",
01/01/2008 16.00,"2,078315","22,715344","2,930403"
01/01/2008 17.00,"2,170155","25,638159",
01/01/2008 18.00,"2,154848","26,592095","4,884005"
01/01/2008 19.00,"1,275561","20,795791",
01/01/2008 20.00,"1,993277","25,800393","3,907204"
01/01/2008 21.00,"2,549421","27,251409",
01/01/2008 22.00,"2,023891","35,605817","8,302809"
01/01/2008 23.00,"1,547681","35,000994",
02/01/2008 0.00,"1,598704","26,608958","4,395605"
02/01/2008 1.00,,"24,877605",
02/01/2008 2.00,"1,669176",,"4,395605"
02/01/2008 3.00,"1,806736","32,424727",
02/01/2008 4.00,"1,793428","30,690774","4,884005"
02/01/2008 5.00,"1,904034","26,37145",
02/01/2008 6.00,"1,750929","33,743356","4,395605"
02/01/2008 7.00,"1,949329","27,756274",
02/01/2008 8.00,"1,741311","33,829035","5,860806"
02/01/2008 9.00,"1,987912","32,524669",
02/01/2008 10.00,"2,408981","25,401951","11,72161"
02/01/2008 11.00,"3,152143","22,559592",
02/01/2008 12.00,"3,261184","24,422051","8,302809"
02/01/2008 13.00,"3,368548","23,529109",
02/01/2008 14.00,"3,242731","23,477198","9,76801"
02/01/2008 15.00,"3,205824","25,570667",
02/01/2008 16.00,"3,101815","29,413672","9,27961"
02/01/2008 17.00,"2,460986","33,646036",
02/01/2008 18.00,"1,815124","29,298149","18,07081"
02/01/2008 19.00,"1,427607","29,777067",
02/01/2008 20.00,"1,280428","38,061398","17,582411"
02/01/2008 21.00,"1,419219","33,3592",
02/01/2008 22.00,"1,565167","34,907554","11,72161"
02/01/2008 23.00,"1,292172","34,000349",
03/01/2008 0.00,"1,422574","31,109979","12,21001"
03/01/2008 1.00,"1,43264","31,896499",
03/01/2008 2.00,"1,600396","37,394283","5,860806"
03/01/2008 3.00,"2,23787","36,618164",
03/01/2008 4.00,"1,620526","34,811514","10,25641"
03/01/2008 5.00,"1,538326","33,000984",
03/01/2008 6.00,"1,565167","32,821869","13,67521"
03/01/2008 7.00,"1,390701","35,07369",
03/01/2008 8.00,"2,145604","40,319681","12,69841"
03/01/2008 9.00,"3,499398","45,777236",
03/01/2008 10.00,"3,75271","48,574148","21,001221"
03/01/2008 11.00,"3,858396",,
03/01/2008 12.00,"2,025155",,"19,0476"
03/01/2008 13.00,"1,944296","40,419623",
03/01/2008 14.00,"2,145604","34,981531","18,07081"
03/01/2008 15.00,"1,986236","36,468895",
03/01/2008 16.00,"2,719331","40,683093","16,60561"
03/01/2008 17.00,"2,518023","40,744087",
03/01/2008 18.00,"2,313361","42,352155","23,93162"
03/01/2008 19.00,"2,056693","42,31969",
03/01/2008 20.00,"2,846826","41,00236","34,67643"
03/01/2008 21.00,"2,721008","40,740188",
03/01/2008 22.00,"2,113731","40,335246","34,67643"
03/01/2008 23.00,"3,09175","40,002996",
04/01/2008 0.00,"3,269571","39,169767","32,234421"
04/01/2008 1.00,,"40,901138",
04/01/2008 2.00,"2,263892",,"23,93162"
04/01/2008 3.00,"1,115884","34,758285",
04/01/2008 4.00,"1,738074","30,271567","16,60561"
04/01/2008 5.00,"1,442195","28,547976",
04/01/2008 6.00,"1,782033","30,213155","18,55921"
04/01/2008 7.00,"2,175974","36,026324",
04/01/2008 8.00,"1,842899","38,548099","21,48962"
04/01/2008 9.00,"2,022117","39,838184",
04/01/2008 10.00,"1,885168","38,079563","27,35042"
04/01/2008 11.00,"2,520884","40,575354",
04/01/2008 12.00,"1,494609","37,620111","26,37361"
04/01/2008 13.00,"2,554698","39,456603",
04/01/2008 14.00,"2,710246","38,385847","23,93162"
04/01/2008 15.00,"2,718699","33,224212",
04/01/2008 16.00,"2,285871","32,657054","19,0476"
04/01/2008 17.00,"2,255438","38,496168",
04/01/2008 18.00,"2,380553","35,971811","25,39682"
04/01/2008 19.00,"2,395769","39,322916",
04/01/2008 20.00,"2,532718","41,039989","28,81562"
04/01/2008 21.00,"2,062695","38,884248",
04/01/2008 22.00,"1,886858","35,727804","21,48962"
