, Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NO2,NOX,PM10



01/01/2009 1.00,"0,5","54,6","28,8",
01/01/2009 2.00,"2,2","80,1","120,2","82,5"
01/01/2009 3.00,"3,7","93,8","218,0",
01/01/2009 4.00,"3,3","84,0","178,9","107,9"
01/01/2009 5.00,"6,0","117,2","338,9",
01/01/2009 6.00,"4,6","109,9","223,2","117,2"
01/01/2009 7.00,"2,2","100,6","124,8",
01/01/2009 8.00,"0,8","78,2","51,3","69,4"
01/01/2009 9.00,"0,1","59,5","30,0",
01/01/2009 10.00,"0,3","50,8","20,8","44,0"
01/01/2009 11.00,"0,5","38,1","9,9",
01/01/2009 12.00,"1,7","52,9","36,5","40,0"
01/01/2009 13.00,"2,0","43,7","22,6",
01/01/2009 14.00,"2,2","53,3","34,4","32,7"
01/01/2009 15.00,"1,8","31,4","2,1",
01/01/2009 16.00,"1,8","26,6","0,1","24,9"
01/01/2009 17.00,"1,8","48,6","18,5",
01/01/2009 18.00,"1,8","73,4","70,2","35,7"
01/01/2009 19.00,"2,0","72,2","59,0",
01/01/2009 20.00,"1,8","68,5","62,2","36,1"
01/01/2009 21.00,"1,5","65,1","49,5",
01/01/2009 22.00,"1,8","40,9","12,4","27,8"
01/01/2009 23.00,"1,4","40,2","11,8",
02/01/2009 0.00,"1,7","48,5","28,5","18,6"
02/01/2009 1.00,,"44,8","29,3",
02/01/2009 2.00,"0,5","45,5","36,5","14,7"
02/01/2009 3.00,"0,5","43,1","32,9",
02/01/2009 4.00,"0,7","41,5","26,5","13,2"
02/01/2009 5.00,"0,4","27,7","10,3",
02/01/2009 6.00,"0,0","16,3","0,8","9,3"
02/01/2009 7.00,"0,2","32,2","4,9",
02/01/2009 8.00,"0,5","52,3","40,3","6,3"
02/01/2009 9.00,"0,3","58,0","46,5",
02/01/2009 10.00,"0,4","56,3","54,2","12,2"
02/01/2009 11.00,"1,0","44,8","41,9",
02/01/2009 12.00,"1,6","44,0","42,3","8,3"
02/01/2009 13.00,"1,5","43,9","32,8",
02/01/2009 14.00,"0,8","40,7","24,1","15,1"
02/01/2009 15.00,"1,2","50,6","41,7",
02/01/2009 16.00,"0,8","50,3","34,4","12,7"
02/01/2009 17.00,"1,0","71,1","65,2",
02/01/2009 18.00,"1,1","95,0","114,1","19,0"
02/01/2009 19.00,"0,8","91,4","99,3",
02/01/2009 20.00,"1,2","101,8","125,9","24,9"
02/01/2009 21.00,"3,7","137,7","295,2",
02/01/2009 22.00,"4,3","122,6","275,7","39,6"
02/01/2009 23.00,"2,1","102,2","178,7",
03/01/2009 0.00,"1,6","98,2","147,3","35,7"
03/01/2009 1.00,"0,3","64,2","39,6",
03/01/2009 2.00,"0,3","51,8","31,2","27,8"
03/01/2009 3.00,"0,3","44,5","25,0",
03/01/2009 4.00,"0,3","25,3","5,4","23,0"
03/01/2009 5.00,"0,2","15,5","0,7",
03/01/2009 6.00,"0,3",,,"13,2"
03/01/2009 7.00,"0,3","41,3","13,0",
03/01/2009 8.00,"0,5","46,6","34,3","9,8"
03/01/2009 9.00,"0,8","50,7","44,0",
03/01/2009 10.00,"0,8","56,7","44,0","12,2"
03/01/2009 11.00,"0,4","34,7","12,2",
03/01/2009 12.00,"0,5","36,7","24,4","8,3"
03/01/2009 13.00,"0,8","43,2","35,6",
03/01/2009 14.00,"0,3","24,1","2,9","11,7"
03/01/2009 15.00,"0,3",,,
03/01/2009 16.00,"0,4","24,5","3,5","16,1"
03/01/2009 17.00,"0,5","27,5","3,2",
03/01/2009 18.00,"0,4","21,0","3,1","9,3"
03/01/2009 19.00,"0,4","27,1","7,5",
03/01/2009 20.00,"1,2","44,4","39,2","12,2"
03/01/2009 21.00,"3,0","67,1","91,7",
03/01/2009 22.00,"2,2","45,9","41,5","17,1"
03/01/2009 23.00,"1,3","30,1","14,7",
04/01/2009 0.00,"1,0","22,9","6,9","16,6"
04/01/2009 1.00,,"48,5","52,2",
04/01/2009 2.00,"3,7","63,4","73,9","13,7"
04/01/2009 3.00,"3,9","67,1","78,9",
04/01/2009 4.00,"3,6","52,8","51,3","13,2"
04/01/2009 5.00,"2,6","20,5","6,5",
04/01/2009 6.00,"0,4",,,"8,3"
04/01/2009 7.00,"0,9",,,
04/01/2009 8.00,"1,0",,,"5,9"
04/01/2009 9.00,"1,2",,,
04/01/2009 10.00,"2,0","27,2","14,7","11,7"
04/01/2009 11.00,"1,3","20,6","2,8",
04/01/2009 12.00,"1,8","21,1","5,5","8,3"
04/01/2009 13.00,"2,5","40,1","30,4",
04/01/2009 14.00,"2,8","41,2","34,5","16,6"
04/01/2009 15.00,"1,8","20,0","2,5",
04/01/2009 16.00,"2,1","33,6","15,2","10,7"
04/01/2009 17.00,"1,8","30,9","5,4",
04/01/2009 18.00,"1,7","36,9","11,4","15,1"
04/01/2009 19.00,"0,8","32,3","8,1",
04/01/2009 20.00,"1,2","30,4","9,5","18,1"
04/01/2009 21.00,"1,6","40,6","21,9",
04/01/2009 22.00,"0,9","44,5","21,6","16,6"
04/01/2009 23.00,"1,6","36,9","16,1",
05/01/2009 0.00,"2,6","48,8","44,3","23,0"
05/01/2009 1.00,"1,7","32,5","8,4",
05/01/2009 2.00,"1,7","30,3","9,7","21,0"
05/01/2009 3.00,"1,6","21,1","2,3",
05/01/2009 4.00,"1,3","17,7","2,1","12,2"
05/01/2009 5.00,"0,9",,,
05/01/2009 6.00,"1,3",,,"17,6"
05/01/2009 7.00,"0,9","33,3","7,6",
05/01/2009 8.00,"1,3","56,4","36,9","15,6"
05/01/2009 9.00,"1,8","61,0","52,6",
05/01/2009 10.00,"1,9","43,5","36,1","17,6"
05/01/2009 11.00,"3,0","50,5","53,6",
05/01/2009 12.00,"4,0","47,9","49,5","18,6"
05/01/2009 13.00,"4,4","36,1","23,2",
05/01/2009 14.00,"4,4","20,2","4,3","13,7"
05/01/2009 15.00,"3,5","29,4","9,2",
05/01/2009 16.00,"3,9","45,2","28,7","13,2"
05/01/2009 17.00,"3,4","71,8","67,9",
05/01/2009 18.00,"3,5","109,8","152,7","18,1"
05/01/2009 19.00,"3,2","80,9","85,0",
05/01/2009 20.00,"1,8","55,6","37,4","25,4"
05/01/2009 21.00,"2,2","62,9","50,9",
05/01/2009 22.00,"2,3","54,2","37,8","19,0"
05/01/2009 23.00,"2,7","46,4","29,1",
06/01/2009 0.00,"1,7","37,9","14,6","18,1"
06/01/2009 1.00,,"32,0","10,3",
06/01/2009 2.00,"0,4","43,9","24,8","8,3"
06/01/2009 3.00,"0,2","25,9","1,4",
06/01/2009 4.00,"0,1","26,9","7,2","10,7"
06/01/2009 5.00,"0,0",,,
06/01/2009 6.00,"0,3","22,9","1,5","9,8"
06/01/2009 7.00,"0,0","15,1","0,2",
06/01/2009 8.00,"0,1","21,2","2,9","12,2"
06/01/2009 9.00,"0,1","39,4","14,6",
06/01/2009 10.00,"0,2","39,4","12,2","12,7"
06/01/2009 11.00,"0,6","38,6","19,3",
06/01/2009 12.00,"2,4","47,7","41,3","15,1"
06/01/2009 13.00,"2,5","45,8","32,8",
06/01/2009 14.00,"1,1","34,1","10,8","16,1"
06/01/2009 15.00,"1,0","55,0","34,0",
06/01/2009 16.00,"1,3","49,7","33,9","14,2"
06/01/2009 17.00,"1,9","106,8","150,8",
06/01/2009 18.00,"1,7","115,3","180,7","33,7"
06/01/2009 19.00,"3,1","119,5","239,2",
06/01/2009 20.00,"3,5","125,5","285,1","43,0"
06/01/2009 21.00,"5,5","130,6","354,1",
06/01/2009 22.00,"4,3","111,6","276,5","45,9"
06/01/2009 23.00,"1,0","89,3","131,3",
07/01/2009 0.00,"1,0","85,6","118,8","65,4"
07/01/2009 1.00,"0,7","78,3","94,3",
07/01/2009 2.00,"1,1","81,5","113,4","58,6"
07/01/2009 3.00,"0,1","65,6","60,0",
07/01/2009 4.00,"0,1","47,7","21,4","63,0"
07/01/2009 5.00,"0,0","33,7","2,6",
07/01/2009 6.00,"0,2","52,1","29,5","39,1"
07/01/2009 7.00,"0,2","88,6","79,9",
07/01/2009 8.00,"2,2","112,5","198,3","34,2"
07/01/2009 9.00,"4,1","124,8","276,8",
07/01/2009 10.00,"3,5","119,2","243,9","46,9"
07/01/2009 11.00,"2,4","115,4","184,0",
07/01/2009 12.00,"1,9","83,1","102,0","31,7"
07/01/2009 13.00,"2,2","70,2","71,9",
07/01/2009 14.00,"2,1","79,5","93,4","23,4"
07/01/2009 15.00,,,,
07/01/2009 16.00,,,,"23,4"
07/01/2009 17.00,"0,2","61,8","90,6",
07/01/2009 18.00,"0,2","57,6","86,7","20,5"
07/01/2009 19.00,"0,4","86,5","133,5",
07/01/2009 20.00,"0,5","104,4","178,2","23,9"
07/01/2009 21.00,"0,7","101,8","180,4",
07/01/2009 22.00,"0,3","82,2","122,1","32,7"
07/01/2009 23.00,"0,0","52,5","66,8",
08/01/2009 0.00,"0,0","37,7","48,6","24,4"
08/01/2009 1.00,,"30,4","39,9",
08/01/2009 2.00,"0,0",,,"16,1"
08/01/2009 3.00,"0,0","27,8","34,3",
08/01/2009 4.00,"0,0","20,2","21,8","10,7"
08/01/2009 5.00,"0,0","16,3","18,6",
08/01/2009 6.00,"0,1","23,4","26,6","13,7"
08/01/2009 7.00,"0,5","61,5","113,2",
08/01/2009 8.00,"2,1","81,5","202,5","15,6"
08/01/2009 9.00,"1,3","77,0","179,8",
08/01/2009 10.00,"4,1","103,8","334,3","18,1"
08/01/2009 11.00,"6,9","125,9","423,5",
08/01/2009 12.00,"5,8","119,9","374,5","38,1"
08/01/2009 13.00,"4,3","110,2","288,5",
08/01/2009 14.00,"1,9","86,2","154,1","38,1"
08/01/2009 15.00,"5,2","85,8","137,9",
08/01/2009 16.00,"3,1","41,7","58,8","23,0"
08/01/2009 17.00,"0,2","41,1","59,0",
08/01/2009 18.00,"2,3","75,4","129,0","29,8"
08/01/2009 19.00,"1,0","64,3","104,5",
08/01/2009 20.00,"1,5","81,9","151,0","23,0"
08/01/2009 21.00,"1,4","100,6","191,8",
08/01/2009 22.00,"0,9","82,7","137,3","23,0"
08/01/2009 23.00,"0,2","58,0","98,0",
09/01/2009 0.00,"0,6","60,0","113,9","25,4"
09/01/2009 1.00,"0,7","62,9","115,1",
