"NetC","SIMAGE Brindisi","","","",""
"Stat","Via Dei Mille","","","",""
Parm,SO2,NOX,NO2,PM10
,,,,,,
,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
01/01/2011 1.00,"5,2","79,3","45,5",
01/01/2011 2.00,"5,6","131,9","64,3","36,4"
01/01/2011 3.00,7,"200,1","80,8",
01/01/2011 4.00,"7,1","223,3","86,4","56,7"
01/01/2011 5.00,7,"223,8","86,7",
01/01/2011 6.00,"5,5","112,8","68,8","55,7"
01/01/2011 7.00,"5,2",98,"61,9",
01/01/2011 8.00,5,"82,9",52,"35,2"
01/01/2011 9.00,"5,2","69,5","41,2",
01/01/2011 10.00,"5,4","95,3","53,3","26,9"
01/01/2011 11.00,"5,1","34,5","24,5",
01/01/2011 12.00,5,"33,6","22,8",21
01/01/2011 13.00,"5,2","36,8","25,6",
01/01/2011 14.00,5,41,"29,1","15,4"
01/01/2011 15.00,,,,
01/01/2011 16.00,"4,7","45,5","31,7","8,8"
01/01/2011 17.00,"5,6","139,5","79,2",
01/01/2011 18.00,"6,5","219,4",104,"8,3"
01/01/2011 19.00,"6,9","225,3","105,3",
01/01/2011 20.00,7,"249,1","115,7","10,7"
01/01/2011 21.00,"7,6","250,7","112,4",
01/01/2011 22.00,"6,4","192,2","95,8","22,5"
01/01/2011 23.00,"7,1","228,8","103,6",
02/01/2011 0.00,7,"237,8","103,8","29,3"
02/01/2011 1.00,,"198,1","91,1",
02/01/2011 2.00,"6,1",,,"29,3"
02/01/2011 3.00,"5,3","90,2","56,1",
02/01/2011 4.00,"4,9",42,"31,6","20,3"
02/01/2011 5.00,5,"18,1","14,3",
02/01/2011 6.00,"5,1","12,3","10,2","15,1"
02/01/2011 7.00,"4,9","13,1",11,
02/01/2011 8.00,"5,1","16,8","13,2","8,3"
02/01/2011 9.00,"5,2","31,8","22,6",
02/01/2011 10.00,"5,2","33,4","22,1","5,4"
02/01/2011 11.00,"5,2",25,"16,9",
02/01/2011 12.00,"5,1",27,"19,1","8,8"
02/01/2011 13.00,"4,8","28,9","18,4",
02/01/2011 14.00,"4,8","21,4","14,3","5,6"
02/01/2011 15.00,"4,7","16,2","11,3",
02/01/2011 16.00,"4,1","19,3","12,9","8,1"
02/01/2011 17.00,"4,3","19,7","13,1",
02/01/2011 18.00,"4,7","24,2","16,6","8,1"
02/01/2011 19.00,"4,8","27,2","18,9",
02/01/2011 20.00,"4,8","27,1","19,6","8,5"
02/01/2011 21.00,"4,3","35,7","23,3",
02/01/2011 22.00,"4,3","27,8","19,3",12
02/01/2011 23.00,"4,1","29,6","20,4",
03/01/2011 0.00,"3,5","29,2","23,3","11,2"
03/01/2011 1.00,"3,3","30,2","22,8",
03/01/2011 2.00,"3,9","25,3","19,5","9,3"
03/01/2011 3.00,"3,8","17,3","14,2",
03/01/2011 4.00,"3,6","12,4","11,1","14,4"
03/01/2011 5.00,"3,6","10,5","9,6",
03/01/2011 6.00,"3,6","18,6","16,8","10,5"
03/01/2011 7.00,"3,3","28,2",25,
03/01/2011 8.00,"4,7","40,1","32,8","16,8"
03/01/2011 9.00,"3,5","32,5","25,8",
