,ILVA 1 ARIA,ILVA 1 ARIA
Stazione,COKERIA,COKERIA
,IPA2,IPA
Unit,ng/m3,ng/m3
,,,,,,
,,,,,
,,,,,
,,,,,
9/1/13 1:00,,28
9/1/13 2:00,,15
9/1/13 3:00,,29
9/1/13 4:00,,12
9/1/13 5:00,,12
9/1/13 6:00,,14
9/1/13 7:00,,35
9/1/13 8:00,,14
9/1/13 9:00,,6
9/1/13 10:00,,5
9/1/13 11:00,,4
9/1/13 12:00,,3
9/1/13 13:00,,5
9/1/13 14:00,,3
9/1/13 15:00,,5
9/1/13 16:00,,4
9/1/13 17:00,,7
9/1/13 18:00,,3
9/1/13 19:00,,5
9/1/13 20:00,,4
9/1/13 21:00,,2
9/1/13 22:00,,4
9/1/13 23:00,,7
9/2/13 0:00,,12
9/2/13 1:00,,8
9/2/13 2:00,,10
9/2/13 3:00,,6
9/2/13 4:00,,8
9/2/13 5:00,,14
9/2/13 6:00,,15
9/2/13 7:00,,22
9/2/13 8:00,,21
9/2/13 9:00,,14
9/2/13 10:00,,10
9/2/13 11:00,,5
9/2/13 12:00,,6
9/2/13 13:00,,6
9/2/13 14:00,,6
9/2/13 15:00,,12
9/2/13 16:00,,8
9/2/13 17:00,,6
9/2/13 18:00,,6
9/2/13 19:00,,8
9/2/13 20:00,,8
9/2/13 21:00,,6
9/2/13 22:00,,13
9/2/13 23:00,,13
9/3/13 0:00,,7
9/3/13 1:00,,8
9/3/13 2:00,,11
9/3/13 3:00,,10
9/3/13 4:00,,15
9/3/13 5:00,,7
9/3/13 6:00,,8
9/3/13 7:00,,9
9/3/13 8:00,,12
9/3/13 9:00,,26
9/3/13 10:00,,39
9/3/13 11:00,,49
9/3/13 12:00,,32
9/3/13 13:00,,21
9/3/13 14:00,,10
9/3/13 15:00,,44
9/3/13 16:00,,111
9/3/13 17:00,,190
9/3/13 18:00,,249
9/3/13 19:00,,106
9/3/13 20:00,,129
9/3/13 21:00,,140
9/3/13 22:00,,41
9/3/13 23:00,,343
9/4/13 0:00,,240
9/4/13 1:00,,180
9/4/13 2:00,,24
9/4/13 3:00,,13
9/4/13 4:00,,73
9/4/13 5:00,,132
9/4/13 6:00,,134
9/4/13 7:00,,103
9/4/13 8:00,,63
9/4/13 9:00,,65
9/4/13 10:00,,44
9/4/13 11:00,,51
9/4/13 12:00,,87
9/4/13 13:00,,51
9/4/13 14:00,,56
9/4/13 15:00,,60
9/4/13 16:00,,45
9/4/13 17:00,,104
9/4/13 18:00,,59
9/4/13 19:00,,10
9/4/13 20:00,,8
9/4/13 21:00,,28
9/4/13 22:00,,13
9/4/13 23:00,,13
9/5/13 0:00,,12
9/5/13 1:00,,14
9/5/13 2:00,,14
9/5/13 3:00,,10
9/5/13 4:00,,21
9/5/13 5:00,,7
9/5/13 6:00,,23
9/5/13 7:00,,63
9/5/13 8:00,,39
9/5/13 9:00,,16
9/5/13 10:00,,12
9/5/13 11:00,,8
9/5/13 12:00,,26
9/5/13 13:00,,9
9/5/13 14:00,,9
9/5/13 15:00,,7
9/5/13 16:00,,8
9/5/13 17:00,,7
9/5/13 18:00,,7
9/5/13 19:00,,8
9/5/13 20:00,,15
9/5/13 21:00,,11
9/5/13 22:00,,7
9/5/13 23:00,,6
9/6/13 0:00,,11
9/6/13 1:00,,25
9/6/13 2:00,,14
9/6/13 3:00,,6
9/6/13 4:00,,4
9/6/13 5:00,,8
9/6/13 6:00,,14
9/6/13 7:00,,32
9/6/13 8:00,,17
9/6/13 9:00,,13
9/6/13 10:00,,8
9/6/13 11:00,,10
9/6/13 12:00,,8
9/6/13 13:00,,12
9/6/13 14:00,,7
9/6/13 15:00,,8
9/6/13 16:00,,9
9/6/13 17:00,,8
9/6/13 18:00,,10
9/6/13 19:00,,9
9/6/13 20:00,,9
9/6/13 21:00,,8
9/6/13 22:00,,8
9/6/13 23:00,,13
9/7/13 0:00,,7
9/7/13 1:00,,10
9/7/13 2:00,,9
9/7/13 3:00,,5
9/7/13 4:00,,10
9/7/13 5:00,,13
9/7/13 6:00,,15
9/7/13 7:00,,13
9/7/13 8:00,,
9/7/13 9:00,,
9/7/13 10:00,,
9/7/13 11:00,,
9/7/13 12:00,,
9/7/13 13:00,,
9/7/13 14:00,,
9/7/13 15:00,,
9/7/13 16:00,,
9/7/13 17:00,,
9/7/13 18:00,,
9/7/13 19:00,,
9/7/13 20:00,,
9/7/13 21:00,,
9/7/13 22:00,,
9/7/13 23:00,,
9/8/13 0:00,,
9/8/13 1:00,,
9/8/13 2:00,,
9/8/13 3:00,,
9/8/13 4:00,,
9/8/13 5:00,,
9/8/13 6:00,,
9/8/13 7:00,,
9/8/13 8:00,,
9/8/13 9:00,,
9/8/13 10:00,,
9/8/13 11:00,,
9/8/13 12:00,,
9/8/13 13:00,,
9/8/13 14:00,,
9/8/13 15:00,,
9/8/13 16:00,,
9/8/13 17:00,,
9/8/13 18:00,,
9/8/13 19:00,,
9/8/13 20:00,,
9/8/13 21:00,,
9/8/13 22:00,,
9/8/13 23:00,,
9/9/13 0:00,,
9/9/13 1:00,,
9/9/13 2:00,,
9/9/13 3:00,,
9/9/13 4:00,,
9/9/13 5:00,,
9/9/13 6:00,,
9/9/13 7:00,,
9/9/13 8:00,,
9/9/13 9:00,,
9/9/13 10:00,,
9/9/13 11:00,,
9/9/13 12:00,,
9/9/13 13:00,,
9/9/13 14:00,,11
9/9/13 15:00,,7
9/9/13 16:00,,6
9/9/13 17:00,,9
9/9/13 18:00,,9
9/9/13 19:00,,5
9/9/13 20:00,,7
9/9/13 21:00,,14
9/9/13 22:00,,8
9/9/13 23:00,,13
9/10/13 0:00,,17
9/10/13 1:00,,23
9/10/13 2:00,,12
9/10/13 3:00,,10
9/10/13 4:00,,19
9/10/13 5:00,,19
9/10/13 6:00,,26
9/10/13 7:00,,44
9/10/13 8:00,,75
9/10/13 9:00,,24
9/10/13 10:00,,14
9/10/13 11:00,,15
9/10/13 12:00,,13
9/10/13 13:00,,15
9/10/13 14:00,,10
9/10/13 15:00,,14
9/10/13 16:00,,21
9/10/13 17:00,,34
9/10/13 18:00,,13
9/10/13 19:00,,13
9/10/13 20:00,,12
9/10/13 21:00,,13
9/10/13 22:00,,6
9/10/13 23:00,,8
9/11/13 0:00,,5
9/11/13 1:00,,29
9/11/13 2:00,,15
9/11/13 3:00,,14
9/11/13 4:00,,33
9/11/13 5:00,,24
9/11/13 6:00,,37
9/11/13 7:00,,19
9/11/13 8:00,,15
9/11/13 9:00,,16
9/11/13 10:00,,15
9/11/13 11:00,,8
9/11/13 12:00,,7
9/11/13 13:00,,10
9/11/13 14:00,,7
9/11/13 15:00,,8
9/11/13 16:00,,9
9/11/13 17:00,,10
9/11/13 18:00,,12
9/11/13 19:00,,7
9/11/13 20:00,,
9/11/13 21:00,,
9/11/13 22:00,,
9/11/13 23:00,,
9/12/13 0:00,,
9/12/13 1:00,,
9/12/13 2:00,,
9/12/13 3:00,,
9/12/13 4:00,,
9/12/13 5:00,,
9/12/13 6:00,,
9/12/13 7:00,,
9/12/13 8:00,,
9/12/13 9:00,,
9/12/13 10:00,,
9/12/13 11:00,,20
9/12/13 12:00,,14
9/12/13 13:00,,30
9/12/13 14:00,,17
9/12/13 15:00,,7
9/12/13 16:00,,8
9/12/13 17:00,,16
9/12/13 18:00,,15
9/12/13 19:00,,10
9/12/13 20:00,,30
9/12/13 21:00,,23
9/12/13 22:00,,20
9/12/13 23:00,,90
9/13/13 0:00,,51
9/13/13 1:00,,24
9/13/13 2:00,,8
9/13/13 3:00,,9
9/13/13 4:00,,19
9/13/13 5:00,,13
9/13/13 6:00,,12
9/13/13 7:00,,24
9/13/13 8:00,,23
9/13/13 9:00,,35
9/13/13 10:00,,38
9/13/13 11:00,,76
9/13/13 12:00,,10
9/13/13 13:00,,14
9/13/13 14:00,,11
9/13/13 15:00,,9
9/13/13 16:00,,5
9/13/13 17:00,,7
9/13/13 18:00,,13
9/13/13 19:00,,8
9/13/13 20:00,,17
9/13/13 21:00,,11
9/13/13 22:00,,12
9/13/13 23:00,,26
9/14/13 0:00,,40
9/14/13 1:00,,21
9/14/13 2:00,,21
9/14/13 3:00,,23
9/14/13 4:00,,11
9/14/13 5:00,,30
9/14/13 6:00,,27
9/14/13 7:00,,17
9/14/13 8:00,,26
9/14/13 9:00,,22
9/14/13 10:00,,11
9/14/13 11:00,,5
9/14/13 12:00,,5
9/14/13 13:00,,3
9/14/13 14:00,,4
9/14/13 15:00,,3
9/14/13 16:00,,3
9/14/13 17:00,,4
9/14/13 18:00,,5
9/14/13 19:00,,4
9/14/13 20:00,,7
9/14/13 21:00,,9
9/14/13 22:00,,6
9/14/13 23:00,,8
9/15/13 0:00,,12
9/15/13 1:00,,27
9/15/13 2:00,,21
9/15/13 3:00,,26
9/15/13 4:00,,17
9/15/13 5:00,,4
9/15/13 6:00,,11
9/15/13 7:00,,11
9/15/13 8:00,,14
9/15/13 9:00,,6
9/15/13 10:00,,3
9/15/13 11:00,,3
9/15/13 12:00,,4
9/15/13 13:00,,5
9/15/13 14:00,,3
9/15/13 15:00,,3
9/15/13 16:00,,4
9/15/13 17:00,,4
