,ILVA 1 ARIA,ILVA 1 ARIA
Stazione,COKERIA,COKERIA
,IPA2,IPA
Unit,ng/m3,ng/m3
01/09/2013 01.00.00,,28
01/09/2013 02.00.00,,15
01/09/2013 03.00.00,,29
01/09/2013 04.00.00,,12
01/09/2013 05.00.00,,12
01/09/2013 06.00.00,,14
01/09/2013 07.00.00,,35
01/09/2013 08.00.00,,14
01/09/2013 09.00.00,,6
01/09/2013 10.00.00,,5
01/09/2013 11.00.00,,4
01/09/2013 12.00.00,,3
01/09/2013 13.00.00,,5
01/09/2013 14.00.00,,3
01/09/2013 15.00.00,,5
01/09/2013 16.00.00,,4
01/09/2013 17.00.00,,7
01/09/2013 18.00.00,,3
01/09/2013 19.00.00,,5
01/09/2013 20.00.00,,4
01/09/2013 21.00.00,,2
01/09/2013 22.00.00,,4
01/09/2013 23.00.00,,7
02/09/2013 00.00.00,,12
02/09/2013 01.00.00,,8
02/09/2013 02.00.00,,10
02/09/2013 03.00.00,,6
02/09/2013 04.00.00,,8
02/09/2013 05.00.00,,14
02/09/2013 06.00.00,,15
02/09/2013 07.00.00,,22
02/09/2013 08.00.00,,21
02/09/2013 09.00.00,,14
02/09/2013 10.00.00,,10
02/09/2013 11.00.00,,5
02/09/2013 12.00.00,,6
02/09/2013 13.00.00,,6
02/09/2013 14.00.00,,6
02/09/2013 15.00.00,,12
02/09/2013 16.00.00,,8
02/09/2013 17.00.00,,6
02/09/2013 18.00.00,,6
02/09/2013 19.00.00,,8
02/09/2013 20.00.00,,8
02/09/2013 21.00.00,,6
02/09/2013 22.00.00,,13
02/09/2013 23.00.00,,13
03/09/2013 00.00.00,,7
03/09/2013 01.00.00,,8
03/09/2013 02.00.00,,11
03/09/2013 03.00.00,,10
03/09/2013 04.00.00,,15
03/09/2013 05.00.00,,7
03/09/2013 06.00.00,,8
03/09/2013 07.00.00,,9
03/09/2013 08.00.00,,12
03/09/2013 09.00.00,,26
03/09/2013 10.00.00,,39
03/09/2013 11.00.00,,49
03/09/2013 12.00.00,,32
03/09/2013 13.00.00,,21
03/09/2013 14.00.00,,10
03/09/2013 15.00.00,,44
03/09/2013 16.00.00,,111
03/09/2013 17.00.00,,190
03/09/2013 18.00.00,,249
03/09/2013 19.00.00,,106
03/09/2013 20.00.00,,129
03/09/2013 21.00.00,,140
03/09/2013 22.00.00,,41
03/09/2013 23.00.00,,343
04/09/2013 00.00.00,,240
04/09/2013 01.00.00,,180
04/09/2013 02.00.00,,24
04/09/2013 03.00.00,,13
04/09/2013 04.00.00,,73
04/09/2013 05.00.00,,132
04/09/2013 06.00.00,,134
04/09/2013 07.00.00,,103
04/09/2013 08.00.00,,63
04/09/2013 09.00.00,,65
04/09/2013 10.00.00,,44
04/09/2013 11.00.00,,51
04/09/2013 12.00.00,,87
04/09/2013 13.00.00,,51
04/09/2013 14.00.00,,56
04/09/2013 15.00.00,,60
04/09/2013 16.00.00,,45
04/09/2013 17.00.00,,104
04/09/2013 18.00.00,,59
04/09/2013 19.00.00,,10
04/09/2013 20.00.00,,8
04/09/2013 21.00.00,,28
04/09/2013 22.00.00,,13
04/09/2013 23.00.00,,13
05/09/2013 00.00.00,,12
05/09/2013 01.00.00,,14
05/09/2013 02.00.00,,14
05/09/2013 03.00.00,,10
05/09/2013 04.00.00,,21
05/09/2013 05.00.00,,7
05/09/2013 06.00.00,,23
05/09/2013 07.00.00,,63
05/09/2013 08.00.00,,39
05/09/2013 09.00.00,,16
05/09/2013 10.00.00,,12
05/09/2013 11.00.00,,8
05/09/2013 12.00.00,,26
05/09/2013 13.00.00,,9
05/09/2013 14.00.00,,9
05/09/2013 15.00.00,,7
05/09/2013 16.00.00,,8
05/09/2013 17.00.00,,7
05/09/2013 18.00.00,,7
05/09/2013 19.00.00,,8
05/09/2013 20.00.00,,15
05/09/2013 21.00.00,,11
05/09/2013 22.00.00,,7
05/09/2013 23.00.00,,6
06/09/2013 00.00.00,,11
06/09/2013 01.00.00,,25
06/09/2013 02.00.00,,14
06/09/2013 03.00.00,,6
06/09/2013 04.00.00,,4
06/09/2013 05.00.00,,8
06/09/2013 06.00.00,,14
06/09/2013 07.00.00,,32
06/09/2013 08.00.00,,17
06/09/2013 09.00.00,,13
06/09/2013 10.00.00,,8
06/09/2013 11.00.00,,10
06/09/2013 12.00.00,,8
06/09/2013 13.00.00,,12
06/09/2013 14.00.00,,7
06/09/2013 15.00.00,,8
06/09/2013 16.00.00,,9
06/09/2013 17.00.00,,8
06/09/2013 18.00.00,,10
06/09/2013 19.00.00,,9
06/09/2013 20.00.00,,9
06/09/2013 21.00.00,,8
06/09/2013 22.00.00,,8
06/09/2013 23.00.00,,13
07/09/2013 00.00.00,,7
07/09/2013 01.00.00,,10
07/09/2013 02.00.00,,9
07/09/2013 03.00.00,,5
07/09/2013 04.00.00,,10
07/09/2013 05.00.00,,13
07/09/2013 06.00.00,,15
07/09/2013 07.00.00,,13
07/09/2013 08.00.00,,
07/09/2013 09.00.00,,
07/09/2013 10.00.00,,
07/09/2013 11.00.00,,
07/09/2013 12.00.00,,
07/09/2013 13.00.00,,
07/09/2013 14.00.00,,
07/09/2013 15.00.00,,
07/09/2013 16.00.00,,
07/09/2013 17.00.00,,
07/09/2013 18.00.00,,
07/09/2013 19.00.00,,
07/09/2013 20.00.00,,
07/09/2013 21.00.00,,
07/09/2013 22.00.00,,
07/09/2013 23.00.00,,
08/09/2013 00.00.00,,
08/09/2013 01.00.00,,
08/09/2013 02.00.00,,
08/09/2013 03.00.00,,
08/09/2013 04.00.00,,
08/09/2013 05.00.00,,
08/09/2013 06.00.00,,
08/09/2013 07.00.00,,
08/09/2013 08.00.00,,
08/09/2013 09.00.00,,
08/09/2013 10.00.00,,
08/09/2013 11.00.00,,
08/09/2013 12.00.00,,
08/09/2013 13.00.00,,
08/09/2013 14.00.00,,
08/09/2013 15.00.00,,
08/09/2013 16.00.00,,
08/09/2013 17.00.00,,
08/09/2013 18.00.00,,
08/09/2013 19.00.00,,
08/09/2013 20.00.00,,
08/09/2013 21.00.00,,
08/09/2013 22.00.00,,
08/09/2013 23.00.00,,
09/09/2013 00.00.00,,
09/09/2013 01.00.00,,
09/09/2013 02.00.00,,
09/09/2013 03.00.00,,
09/09/2013 04.00.00,,
09/09/2013 05.00.00,,
09/09/2013 06.00.00,,
09/09/2013 07.00.00,,
09/09/2013 08.00.00,,
09/09/2013 09.00.00,,
09/09/2013 10.00.00,,
09/09/2013 11.00.00,,
09/09/2013 12.00.00,,
09/09/2013 13.00.00,,
09/09/2013 14.00.00,,11
09/09/2013 15.00.00,,7
09/09/2013 16.00.00,,6
09/09/2013 17.00.00,,9
09/09/2013 18.00.00,,9
09/09/2013 19.00.00,,5
09/09/2013 20.00.00,,7
09/09/2013 21.00.00,,14
09/09/2013 22.00.00,,8
09/09/2013 23.00.00,,13
10/09/2013 00.00.00,,17
10/09/2013 01.00.00,,23
10/09/2013 02.00.00,,12
10/09/2013 03.00.00,,10
10/09/2013 04.00.00,,19
10/09/2013 05.00.00,,19
10/09/2013 06.00.00,,26
10/09/2013 07.00.00,,44
10/09/2013 08.00.00,,75
10/09/2013 09.00.00,,24
10/09/2013 10.00.00,,14
10/09/2013 11.00.00,,15
10/09/2013 12.00.00,,13
10/09/2013 13.00.00,,15
10/09/2013 14.00.00,,10
10/09/2013 15.00.00,,14
10/09/2013 16.00.00,,21
10/09/2013 17.00.00,,34
10/09/2013 18.00.00,,13
10/09/2013 19.00.00,,13
10/09/2013 20.00.00,,12
10/09/2013 21.00.00,,13
10/09/2013 22.00.00,,6
10/09/2013 23.00.00,,8
11/09/2013 00.00.00,,5
11/09/2013 01.00.00,,29
11/09/2013 02.00.00,,15
11/09/2013 03.00.00,,14
11/09/2013 04.00.00,,33
11/09/2013 05.00.00,,24
11/09/2013 06.00.00,,37
11/09/2013 07.00.00,,19
11/09/2013 08.00.00,,15
11/09/2013 09.00.00,,16
11/09/2013 10.00.00,,15
11/09/2013 11.00.00,,8
11/09/2013 12.00.00,,7
11/09/2013 13.00.00,,10
11/09/2013 14.00.00,,7
11/09/2013 15.00.00,,8
11/09/2013 16.00.00,,9
11/09/2013 17.00.00,,10
11/09/2013 18.00.00,,12
11/09/2013 19.00.00,,7
11/09/2013 20.00.00,,
11/09/2013 21.00.00,,
11/09/2013 22.00.00,,
11/09/2013 23.00.00,,
12/09/2013 00.00.00,,
12/09/2013 01.00.00,,
12/09/2013 02.00.00,,
12/09/2013 03.00.00,,
12/09/2013 04.00.00,,
12/09/2013 05.00.00,,
12/09/2013 06.00.00,,
12/09/2013 07.00.00,,
12/09/2013 08.00.00,,
12/09/2013 09.00.00,,
12/09/2013 10.00.00,,
12/09/2013 11.00.00,,20
12/09/2013 12.00.00,,14
12/09/2013 13.00.00,,30
12/09/2013 14.00.00,,17
12/09/2013 15.00.00,,7
12/09/2013 16.00.00,,8
12/09/2013 17.00.00,,16
12/09/2013 18.00.00,,15
12/09/2013 19.00.00,,10
12/09/2013 20.00.00,,30
12/09/2013 21.00.00,,23
12/09/2013 22.00.00,,20
12/09/2013 23.00.00,,90
13/09/2013 00.00.00,,51
13/09/2013 01.00.00,,24
