NetC,Provincia di FOGGIA,,,,,
Stat,MANDORLI,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE
PtId,"1,000",4,,,,
Unit,ug/m3 293K,ug/m3 293K,,,,
Field,Aver,Aver,,,,
,,,,,,
,,,,,,
01/01/2005 1.00,"3,89",,"3,4373127","13,79898807",,
01/01/2005 2.00,"3,81",,"3,4082576","18,03874611",,
01/01/2005 3.00,"3,71",,"3,24010965","21,36375675",,
01/01/2005 4.00,"3,64",,"3,15963495","22,3603191",,
01/01/2005 5.00,"3,67",,"3,22622402","22,75598745",,
01/01/2005 6.00,"3,64",,"3,14660442","18,34052976",,
01/01/2005 7.00,"3,46",,"3,13987538","15,79212275",,
01/01/2005 8.00,"3,49",,"3,12198331","20,7709026",,
01/01/2005 9.00,"3,43",,"3,08001419","19,3303949",,
01/01/2005 10.00,"3,42",,"3,09872409","19,68448346",,
01/01/2005 11.00,"3,66",,"3,12326714","20,9559987",,
01/01/2005 12.00,"3,37",,"3,18522767","19,83470895",,
01/01/2005 13.00,"3,39",,"3,21615026","18,99373067",,
01/01/2005 14.00,"3,39",,"3,31716275","17,59881071",,
01/01/2005 15.00,"3,48",,"3,21440043","23,45479605",,
01/01/2005 16.00,"3,33",,"3,2185222","21,54749625",,
01/01/2005 17.00,"3,36",,"3,18355589","24,7826481",,
01/01/2005 18.00,"3,50",,"3,16714104","25,77250725",,
01/01/2005 19.00,"3,46",,"3,3847246","24,80142105",,
01/01/2005 20.00,"3,48",,"3,37391223","18,13665672",,
01/01/2005 21.00,"3,31",,"3,33373255","19,19358378",,
01/01/2005 22.00,"3,56",,"3,27414396","19,7421629",,
01/01/2005 23.00,"3,35",,"3,25131229","18,20908719",,
02/01/2005 0.00,"3,12",,"3,2179397","20,75212965",,
02/01/2005 1.00,"3,13",,"3,18631694","22,30128705",,
02/01/2005 2.00,"3,32",,"3,15593957","20,1002634",,
02/01/2005 3.00,"3,17",,"3,14221004","22,85657535",,
02/01/2005 4.00,"3,30",,"3,1168876",,,
02/01/2005 5.00,"3,37",,"3,11443761","23,29292175",,
02/01/2005 6.00,"3,39",,"3,114165","22,28269365",,
02/01/2005 7.00,"3,24",,"3,06640116","22,2719406",,
02/01/2005 8.00,"3,46",,"3,0564043","21,23615655",,
02/01/2005 9.00,"3,43",,"3,14889947","17,19258681",,
02/01/2005 10.00,"3,65",,"4,01876769","11,49665633",,
02/01/2005 11.00,"3,76",,"3,46776813","20,984607",,
02/01/2005 12.00,"3,80",,"3,31580203","27,85169625",,
02/01/2005 13.00,"3,44",,"3,232875","29,2896723",,
02/01/2005 14.00,"3,61",,"3,19763492","29,0273697",,
02/01/2005 15.00,"3,45",,"3,06554605","30,55815315",,
02/01/2005 16.00,"3,60",,"3,06251123","30,7720371",,
02/01/2005 17.00,"3,58",,"3,14154716","21,78901095",,
02/01/2005 18.00,"3,54",,"3,4328391","5,70023969",,
02/01/2005 19.00,"3,53",,"3,54824283","1,64406554",,
02/01/2005 20.00,"3,54",,"3,67236077","0,55008534",,
02/01/2005 21.00,"3,47",,"3,68694657","4,11419673",,
02/01/2005 22.00,"3,53",,"3,50366993","3,07240973",,
02/01/2005 23.00,"3,38",,"3,46710641","4,31404386",,
03/01/2005 0.00,"3,28",,"3,33680582","7,48720508",,
03/01/2005 1.00,"3,29",,"3,27756673","11,66260242",,
