,Regione Puglia,,,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,BENZENE,TEMP,PM10
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,
01/01/2006 1.00,"1,58189468","80,22824656","30,21600712","33,94323888","0,43645677","43,78017525","0,23477445","8,38325977","46,43778992"
01/01/2006 2.00,"1,44427221","82,34490704","24,36373636","45,05172944","0,57252061","25,58409945","0,2310624","8,48650169","46,43778992"
01/01/2006 3.00,"2,02090714","153,76022936","64,52702507","56,56256216","0,61122424","34,7194638","0,29274345","8,54626274","46,43778992"
01/01/2006 4.00,"1,23121173","71,83682272","17,10479972","45,609804","0,4753934","47,82439935","0,2154006","8,72357941","46,43778992"
01/01/2006 5.00,"1,08263515","31,15462512","5,95027","22,03526464","0,40451946","51,92835375","0,26426745","9,46662712","46,43778992"
01/01/2006 6.00,"0,90970142","34,33869784","8,88274138","20,82823816","0,37095697","54,29099235","0,3580857","9,22120571","46,43778992"
01/01/2006 7.00,"0,76534538","30,4244132","6,84327538","19,93271472","0,34690671","57,7363374","0,2807937","9,53778362","46,43778992"
01/01/2006 8.00,"0,82547653","36,60451344","10,9897898","20,15854104","0,31566491","58,6294191","0,322389","10,80165005","46,43778992"
01/01/2006 9.00,"0,8008397","24,58933336","6,30764149","14,92812164","0,31601324","57,27040515","0,21707865","11,33380032","46,43778992"
01/01/2006 10.00,"0,7444379","23,752776","6,49773168","13,7872886","0,35986035","47,9005485","0,37674765","12,26231003","46,43778992"
01/01/2006 11.00,"0,73367906","26,1029108","7,27076942","14,95148628","0,41097589","51,9403038","0,21351915","13,05025959","46,43778992"
01/01/2006 12.00,"0,58957117","32,22851904","8,38174542","19,37462104","0,41047377","62,1300456","0,21351915","13,80992985","46,43778992"
01/01/2006 13.00,"0,77411701","43,74692328","12,61357958","24,46228096","0,39968587","63,14408415","0,21524805","13,79106998","46,43778992"
01/01/2006 14.00,"0,84408559","56,86972496","15,99382248","32,58696168","0,43490965","59,08493745","0,23558805","14,12040043","46,43778992"
01/01/2006 15.00,"0,6666018","20,91888608","6,25948485","11,31744348","0,38924631","67,6931031","0,2231298","13,97787952","46,43778992"
01/01/2006 16.00,"0,55286256","24,14188712","7,1077142","13,32135714","0,34880217","63,1680042","0,43227585","13,78775024","46,43778992"
01/01/2006 17.00,"0,5871558","28,74743624","7,23697572","17,64975995","0,33584853","64,1088462","0,33260985","13,12847042","46,43778992"
01/01/2006 18.00,"0,67266312","44,48101656","11,05990986","27,76535656","0,39806186","56,5804344","0,39912165","12,82464981","46,43778992"
01/01/2006 19.00,"0,65310113","46,60029648","12,51135052","27,71474592","0,44894557","46,3638","0,1763478","12,19087982","46,43778992"
01/01/2006 20.00,"0,71339499","50,12545088","15,31287319","26,65827032","0,58195478","29,94493005","0,201366","12,06422997","46,43778992"
01/01/2006 21.00,"0,64579195","56,04873128","14,733305","33,45393896","0,63747868","35,7185598","0,12381975","11,7612896","46,43778992"
01/01/2006 22.00,"0,63762951","35,01051728","8,99679574","21,21371648","0,51359491","52,71988995","0,09178425","11,75911999","46,43778992"
01/01/2006 23.00,"0,54483029","39,87936792","10,25984089","24,1455964","0,46186076","54,5254647","0,0956997","11,72445965","46,43778992"
02/01/2006 0.00,"0,5957464","49,161822","13,79637155","28,642716","0,41758843","62,3943831","0,31338855","11,7227602","46,43778992"
02/01/2006 1.00,,"29,13522808","7,40510125","17,77954078","0,38514784","61,37735205",0,"10,42008972","9,73015881"
02/01/2006 2.00,"0,87406879",,,,"0,3577715","61,3056717","0,08659755","9,45387363","9,73015881"
02/01/2006 3.00,"1,094711","14,34583734","5,55572668","5,83912563",,"61,65812835","0,11720925","8,81908894","9,73015881"
02/01/2006 4.00,"0,90069283","13,06831733","5,15442337","5,15904253","0,26116271","68,2412094","0,13449825","8,64780998","9,73015881"
02/01/2006 5.00,"0,92888712","12,38481174","4,91871045","4,83717071","0,23478012",,0,"8,47842979","9,73015881"
02/01/2006 6.00,"0,89527934","28,25458","6,89227749","17,71465706","0,22607641","62,6757579",0,"7,79025984","9,73015881"
02/01/2006 7.00,"0,91608309","25,3843812","5,96125357","16,24416462","0,26468451","53,56816395",0,"7,15683079","9,73015881"
02/01/2006 8.00,"0,81084393","43,31632176","8,69940869","29,98212936","0,32603807","52,0509864","0,1550925","7,13899088","9,73015881"
02/01/2006 9.00,"0,78312966","31,05086088","8,72475397","17,66922794","0,44070086","47,74631505",0,"7,21381092","9,73015881"
02/01/2006 10.00,"0,80079292","35,48520952","10,9678239","18,71661198","0,54580833","49,67647755","0,0895977","9,22805691","9,73015881"
02/01/2006 11.00,"1,01336016","37,13105912","11,65806209","19,36553904","0,53958024","61,92314415","0,2314692","10,63560009","9,73015881"
02/01/2006 12.00,"1,26066405","50,09174232","14,28891161","28,2754208","0,47470488","69,8636631","0,1803141","11,40299034","9,73015881"
02/01/2006 13.00,"1,03758306","49,33950416","14,60657239","27,0178028","0,45965658","69,35643435","0,337644","12,09834957","9,73015881"
02/01/2006 14.00,"1,09594869","51,8193108","15,08730336","28,9736832","0,50983196","62,2358604",0,"12,64747047","9,73015881"
02/01/2006 15.00,"1,14696141","30,19875896","8,98412373","16,91127481","0,55861284","39,45569355","0,09117405","12,04693985","9,73015881"
02/01/2006 16.00,"1,17421396","39,96236784","11,06075283","22,99828168","0,65551871","23,69136315","0,17263575","11,13348961","9,73015881"
02/01/2006 17.00,"1,12806047","50,18642456","10,98894558","33,35269856","0,8858893","8,34000972","0,12280275","10,19596958","9,73015881"
02/01/2006 18.00,"1,12379212","74,62532176","21,69233814","42,68182456","1,34361081","4,53059712","0,1439055","10,32376957","9,73015881"
02/01/2006 19.00,"1,24521785","61,50640144","14,80174036","38,810254","1,35680211","12,44267336","0,10185255","9,62773132","9,73015881"
02/01/2006 20.00,"1,13748297","57,35348008","12,16835195","38,73887904","1,21784557","10,4796173","0,3153717","8,83998203","9,73015881"
02/01/2006 21.00,"1,26060811","73,29980864","14,58124582","50,95055536","1,25513838","2,53312332","0,0978354","8,11904812","9,73015881"
02/01/2006 22.00,"1,12177846","52,08649368","10,7092996","35,67069264","1,25521527","2,26978731",0,"7,55908298","9,73015881"
02/01/2006 23.00,"1,03551347","55,00208336","11,18917762","37,85111832","1,1027191","5,17846539",0,"7,9072051","9,73015881"
03/01/2006 0.00,"1,0554304","28,55028992","7,00379795","17,81069873","0,82697176","14,32494189",0,"6,33794689","9,73015881"
03/01/2006 1.00,"0,91140896","19,36123704","5,30818596","11,22009974","0,57273264","35,7046347",0,"6,53038979","13,51702023"
03/01/2006 2.00,"1,13375058","23,28198424","5,56670901","14,74642237","0,43118398","46,2111825","0,09005535","6,74989891","13,51702023"
03/01/2006 3.00,"1,01881128","15,65059378","5,00657407","7,97023318","0,33861075","49,5777051","0,28847205","6,57441378","13,51702023"
03/01/2006 4.00,"0,93605595","12,81929654","4,94912478","5,22523406","0,28793325","55,9950615","0,0998694","6,32471895","13,51702023"
03/01/2006 5.00,"1,06200835","18,5882403","5,21525328","10,62308347","0,28371711","26,580582",0,"6,3268218","13,51702023"
03/01/2006 6.00,"0,9697573","42,4512756","8,54649157","29,44610016","0,34425867","19,04257425",0,"6,14808083","13,51702023"
03/01/2006 7.00,"0,97367377","46,6651324","7,5064811","35,16582904","0,49613622","4,87921938","0,08771625","5,10941601","13,51702023"
03/01/2006 8.00,"1,32850812","102,12896376","29,67868729","56,92985736","0,84426385","2,17402731",0,"5,12257624","13,51702023"
03/01/2006 9.00,"1,65887955","185,34283656","77,49966583","66,41469664","1,16859985","6,73006268",0,"5,53323889","13,51702023"
03/01/2006 10.00,"1,59678153","124,35259864","43,36946288","58,30559872","1,21804012","9,10608174","0,08547885","8,2247324","13,51702023"
03/01/2006 11.00,"1,06596245","53,5222336","12,38716927","34,52987872",,,"0,3733407","9,21340466","13,51702023"
03/01/2006 12.00,"1,33460503","68,32851304","17,02792217","42,2210708","0,79041406","40,9040436","0,2701152","9,33265591","13,51702023"
03/01/2006 13.00,"1,51798132","93,66100256","29,49282194","49,12054192","0,64905878","47,73135255","0,21840075","9,56559563","13,51702023"
03/01/2006 14.00,"1,49451608","57,6051184","14,88116179","34,80113416","0,53203686","50,91385635","0,23304555","10,4976902","13,51702023"
03/01/2006 15.00,"1,28359231","35,3684628","8,16799964","22,84513048","0,47741351","52,8200589","0,4331403","9,7596674","13,51702023"
03/01/2006 16.00,"1,13589442","43,91426152","10,16099494","28,33513256","0,53586622","41,6551611","0,2415375","9,70696068","13,51702023"
03/01/2006 17.00,"1,19756733","51,11764504","10,33756391","35,27227008","0,56600127","39,3913548","0,3001167","9,25736046","13,51702023"
03/01/2006 18.00,"1,19531366","83,33838224","26,24607039","43,07636576","0,74395269","18,98122002","0,39179925","8,06505299","13,51702023"
03/01/2006 19.00,"1,47591108","118,24127304","44,83527397","49,4463276","1,20635634","5,42534465","0,5110425","6,81915712","13,51702023"
03/01/2006 20.00,"1,27701537","118,30092744","42,83805383","52,57418752","1,35250792","1,83438255","0,34379685","6,73002386","13,51702023"
03/01/2006 21.00,"1,17397395","105,76956472","33,25323773","54,75851368","1,36620249","1,7520888","0,21229875","6,80579376","13,51702023"
03/01/2006 22.00,"1,19276404","111,55665336","33,43150885","60,27576176","1,1899543","1,51867779","0,2048238","7,92409515","13,51702023"
03/01/2006 23.00,"1,11836032","52,92433208","10,18296085","37,31770856","1,01014587","2,82339383","0,19846755","8,94661617","13,51702023"
04/01/2006 0.00,"0,93716448","34,42687928","6,94043289","23,78868336","0,82503669","14,43117963","0,22826565","7,57516003","13,51702023"
04/01/2006 1.00,,"39,04541088","7,9365103","27,03206632","0,6445712","34,3849422","0,25409745","7,58689499","6,68769503"
04/01/2006 2.00,"0,88406691",,,,"0,5147436","35,68817595","0,19358595","7,43291283","6,68769503"
04/01/2006 3.00,"0,75854369","18,0370279","5,16963054","10,12599789",,"44,9229312","0,19978965","7,15113401","6,68769503"
04/01/2006 4.00,"0,68103914","18,59991306","5,22285624","10,5945201","0,38561733","37,9280223","0,2132649","7,13315821","6,68769503"
04/01/2006 5.00,"0,67890242","13,4081237","4,87139802","5,93387097","0,36854309",,"0,1957725","7,41799021","6,68769503"
04/01/2006 6.00,"0,92432588","16,25498272","4,98122879","8,61397873","0,37001565","33,05038695","0,295947","7,46255589","6,68769503"
04/01/2006 7.00,"0,72343583","21,70227072","5,63598734","13,05918753","0,44160141","9,93111998","0,2779461","7,13695621","6,68769503"
04/01/2006 8.00,"0,97179638","54,03973552","11,71719982","36,11846392","0,67111456","4,56702782","0,1803141","7,07312489","6,68769503"
04/01/2006 9.00,"0,81709645","71,31025792","15,95157412","47,10755008","1,04356972","6,56491658",0,"7,82220888","6,68769503"
04/01/2006 10.00,"0,92461064","89,59108112","23,02297443","54,28477744","1,1754384","9,05928702","0,08751285","8,3571434","6,68769503"
04/01/2006 11.00,"0,95604611","69,71108024","17,22815296","43,37098584","1,16328046","15,53895924","0,1859076","8,38217354","6,68769503"
04/01/2006 12.00,"0,9371177","59,11479536","15,63814067","35,42282096","1,16366841","20,2450605","0,1998405","9,00454521","6,68769503"
04/01/2006 13.00,"0,76371717","75,33216904","20,46984169","43,9381424","1,04082032","35,55969795","0,2000439","9,88258076","6,68769503"
