,,,,,
Stat, via dei Mandorli,,,,
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,CH4
,,,,,
,,,,
,,,,
,,,,
,,,,
01/01/2011 1.00,4.57657729,"28,77122152","36,7160404","0,92078338","34,4581587",,"4,506327","750,08318"
01/01/2011 2.00,4.39958268,"35,69017592","49,27723032","1,11593486","32,60937225",,"3,8193435","751,89961"
01/01/2011 3.00,4.51336566,"33,60318968","42,90520352","0,95242012","34,3865382",,"3,039813","753,53033"
01/01/2011 4.00,4.28399453,"23,96389904","28,3803896","0,9467722","37,39218525",,"3,3128775","752,38471"
01/01/2011 5.00,4.70480777,"16,80225257","20,23150296","0,85901042","39,0990873",,"3,6423855","760,2252"
01/01/2011 6.00,4.65965704,"13,40571267","15,87367256","0,83503705","40,2951297",,"2,323845","761,54036"
01/01/2011 7.00,4.49891612,"20,86458528","24,60749736","0,86600159","34,6081827",,"2,1484125","750,64129"
01/01/2011 8.00,4.29121828,"21,5680292","26,34672904","0,84352757","35,46501525",,"2,0202705","746,36065"
01/01/2011 9.00,3.99863552,"16,96578593","20,5985496","0,83096887","35,12714205",,"1,954674","757,70121"
01/01/2011 10.00,4.50794708,"20,66990544","36,46570224","1,05451956","28,4076828",,"2,6752185","765,38245"
01/01/2011 11.00,4.48085522,"34,1418192","55,18626632","1,03117529","36,54482895",,"1,7070345","769,47052"
01/01/2011 12.00,4.00586028,"32,74399424","57,82817232","1,03504658","44,03597415",,"1,694322","777,28798"
01/01/2011 13.00,4.5043347,"51,90319024","96,18881952","1,28687764","45,71041755",,"4,9614345","772,00431"
01/01/2011 14.00,4.7210635,"52,21727448","95,02412472","1,30954854","52,17310035",,"3,2152455","768,7365"
01/01/2011 15.00,4.98474923,"20,71791576","30,5593048","1,11522421","66,61075575",,"3,7623915","767,77022"
01/01/2011 16.00,4.24245415,"15,85739953","22,11210792","0,95901519","68,91230745",,"4,571415","756,47915"
01/01/2011 17.00,4.8637425,"23,1994432","34,29978864","0,95866103","64,13488095",,"5,1241545","739,17088"
01/01/2011 18.00,4.74815435,"27,41622536","41,27229816","0,97722414","62,1374271",,"2,574027","736,03586"
01/01/2011 19.00,4.31289157,"33,36438088","51,39521008","1,03101801","54,9719856",,"2,234349","734,04989"
01/01/2011 20.00,4.33456384,"53,75264872","80,65366656","1,22747313","32,0876997",,"2,6660655","728,27818"
01/01/2011 21.00,4.58560724,"59,69172224","88,84016224","1,34801801","11,69823512",,"2,984895","752,83943"
01/01/2011 22.00,4.52961935,"64,47307976","104,2949156","1,37135995","11,84554592",,"3,7440855","752,30827"
01/01/2011 23.00,4.29302447,"60,04733512","100,87866872","1,39892967","16,13778243",,"5,3438265","747,3235"
02/01/2011 0.00,4.5223956,"51,52031224","85,88954472","1,18730626","20,06916135",,"5,5594305","742,9135"
02/01/2011 1.00,,"62,11355704","114,16356976","1,36247333","12,27665943",,"5,4902745","742,91987"
02/01/2011 2.00,4.22258807,,,"1,11123525","15,64179551",,"4,858209","747,42983"
02/01/2011 3.00,,,,,,,,
02/01/2011 4.00,,,,,,,,
02/01/2011 5.00,,,,,,,,
02/01/2011 6.00,,,,,,,,
02/01/2011 7.00,,,,,,,,
