
Stat, via dei Mandorli,,,,
,SO2,NO2,NOX,CO,O3,PM10,BENZENE

,,,,

01/01/2012 1.00,"5,42904195","22,431106","30,08851304","0,53314478","40,76225895","22,7999897","0,7897005"
01/01/2012 2.00,"5,56630339","24,9476804","37,17388792","0,56028578","41,59680735","22,7999897","1,04430645"
01/01/2012 3.00,"5,24121018","25,17350672","43,31892208","0,63985295","40,02662265","22,7999897","1,374984"
01/01/2012 4.00,"5,10936732","11,00595","15,67004838","0,57898403","45,0907506","22,7999897","1,0982583"
01/01/2012 5.00,"5,45071422","11,12405615","15,24334352","0,52537423","40,7473563","22,7999897","0,8719758"
01/01/2012 6.00,"5,19425326","17,10335815","21,93960728","0,52446669","40,94109075","22,7999897","0,8244819"
01/01/2012 7.00,"5,18883468","11,08642034","14,46386127","0,51641887","46,2992019","22,7999897","0,84690675"
01/01/2012 8.00,"5,48502983","18,44016163","24,77739768","0,52415098","37,6178397","22,7999897","0,6354216"
01/01/2012 9.00,"5,24301638","25,12809672","32,82382024","0,52620138","27,2904429","22,7999897","0,8775693"
01/01/2012 10.00,"4,92514896","18,00666917","24,974544","0,58407275","35,00448945","22,7999897","1,0303227"
01/01/2012 11.00,"4,99558536","20,14295824","31,18053272","0,58833316","34,3487928","22,7999897","1,0106946"
01/01/2012 12.00,"5,13104061","20,01187152","31,13126048","0,58324444","46,78963275","22,7999897","1,2910815"
01/01/2012 13.00,"5,34054464","22,17931472","35,90282856","0,61081882","56,3637774","22,7999897","1,0671381"
01/01/2012 14.00,"5,09853119","35,77453336","60,33004344","0,65772289","48,06447765","22,7999897","1,203111"
01/01/2012 15.00,"5,09672499","32,4883216","51,13192768","0,71101814","52,0556148","22,7999897","1,3470165"
01/01/2012 16.00,"5,3658293","13,08774134","18,24973026","0,6421014","65,19685935","22,7999897","1,71873"
01/01/2012 17.00,"5,51573306","23,86785928","33,73301448","0,5850199","55,96140585","22,7999897","0,8684163"
01/01/2012 18.00,"5,36944168","59,62812912","89,29150896","0,75983514","24,9941181","22,7999897","1,0155762"
01/01/2012 19.00,"5,29900528","44,67145176","61,32613808","0,72746794","20,9487768","22,7999897","1,981116"
01/01/2012 20.00,"5,1328468","46,69482576","83,82087544","0,83224338","29,2751886","22,7999897","1,8961965"
01/01/2012 21.00,"4,93056652","40,28073496","48,8712936","0,70300993","29,4729729","22,7999897","2,607588"
01/01/2012 22.00,"5,3459622","55,53723304","69,68385336","0,66833487","20,48950785","22,7999897","1,813311"
01/01/2012 23.00,"5,29539289","33,74207736","40,96752536","0,66056316","36,7128678","22,7999897","1,7548335"
02/01/2012 0.00,"5,48141745","37,0775996","42,61339408","0,65555366","32,02942575","22,7999897","1,4782095"
02/01/2012 1.00,"4,99016678","26,3013764","29,86283968","0,64770272","39,3329811","31,2999897","1,391256"
02/01/2012 2.00,"4,94501504",,,"0,62202263","50,8471635","31,2999897","1,2565035"
02/01/2012 3.00,"4,25870886","50,4262276","70,68639144",,"33,09427695","31,2999897","0,96569235"
02/01/2012 4.00,"5,1147859","23,29550208","26,63207592","0,65685496","36,3281121","31,2999897","1,1690415"
